"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.19.145";"";"0.2";"AUDUSD_H1";"H1";"-3900.01";"";"524";"0.09";"-9.52";"-0.86";"-195.0";"-0.98";"59.4";"3900.01";"0.05";"-1.0";"0.0";"16.01";"8.62";"18.6";"13.58";"13.82";"13.03";"0.06";"-14.3";"";"2";"0.0";"-5676.7";"-1.0";"-1.43";"-0.44";"0.0";"14.3";"0.0";"-1.0";"-1.0";"0.0";"7.15";"0.0";"5.5";"5.5";"0.0"
"Strategy 1.19.146";"";"0.2";"AUDUSD_H1";"H1";"-4261.36";"";"587";"0.04";"-11.27";"-0.92";"-213.07";"-0.98";"72.87";"4262.64";"0.04";"-1.0";"0.0";"8.09";"7.89";"13.57";"12.1";"12.16";"0.29";"0.06";"-10.37";"";"2";"0.0";"0.0";"-1.0";"-1.04";"0.0";"0.0";"10.37";"0.0";"-1.0";"-1.0";"0.0";"5.18";"0.0";"15.0";"15.0";"0.0"
"Strategy 1.19.143";"";"0.2";"AUDUSD_H1";"H1";"-1243.09";"";"153";"0.2";"-4.01";"-0.66";"-62.15";"-0.94";"88.58";"1265.35";"0.22";"-0.98";"0.0";"10.85";"12.38";"2.54";"2.68";"2.65";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.144";"";"0.21";"AUDUSD_H1";"H1";"-1389.65";"";"155";"0.31";"-2.58";"-0.64";"-69.48";"-0.95";"51.39";"1507.2";"0.08";"-0.92";"0.0";"51.96";"14.08";"25.42";"8.75";"10.04";"3.62";"0.06";"-7.09";"";"1";"0.0";"0.0";"-1.0";"-0.71";"0.0";"0.0";"7.09";"0.0";"-1.0";"-1.0";"0.0";"7.09";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.141";"";"0.2";"AUDUSD_H1";"H1";"-1814.06";"";"242";"0.15";"-5.98";"-0.76";"-90.7";"-0.93";"27.07";"1902.97";"0.12";"-0.95";"0.0";"11.97";"9.84";"27.38";"24.47";"24.79";"14.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.142";"";"0.16";"AUDUSD_H1";"H1";"-637.95";"";"59";"0.31";"-2.23";"-0.42";"-31.9";"-0.82";"0.0";"655.37";"0.64";"-0.97";"-0.62";"12.55";"25.74";"2.3";"2.97";"2.71";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.140";"";"0.2";"AUDUSD_H1";"H1";"-3279.09";"";"444";"0.1";"-8.12";"-0.85";"-163.95";"-0.96";"86.57";"3279.09";"0.06";"-1.0";"0.0";"14.69";"8.7";"29.64";"23.5";"23.84";"27.42";"0.06";"-14.46";"";"2";"0.0";"0.0";"-1.0";"-1.45";"0.0";"1.0";"14.46";"0.0";"-1.0";"-1.0";"0.0";"7.23";"0.0";"10.0";"10.0";"0.0"
"Strategy 1.3.180(3)";"";"0.06";"AUDUSD_H1";"H1";"-201.01";"";"17";"0.17";"-1.51";"-0.69";"-10.05";"-0.47";"82.82";"212.44";"0.21";"-0.95";"-0.51";"13.38";"17.22";"31.67";"20.29";"22.29";"0.88";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.149";"";"0.2";"AUDUSD_H1";"H1";"-4854.85";"";"664";"0.0";"-12.3";"-1.0";"-242.74";"-0.98";"99.68";"4854.85";"0.0";"-1.0";"0.0";"0.0";"7.31";"0.0";"7.83";"7.83";"4.7";"0.06";"-6.94";"";"1";"0.0";"0.0";"-1.0";"-0.69";"0.0";"0.0";"6.94";"0.0";"-1.0";"-1.0";"0.0";"6.94";"0.0";"1.0";"1.0";"0.0"
"Strategy 1.19.147";"";"0.2";"AUDUSD_H1";"H1";"-4066.64";"";"526";"0.03";"-10.08";"-0.95";"-203.33";"-0.91";"49.05";"4066.64";"0.02";"-1.0";"0.0";"14.75";"8.17";"37.1";"20.33";"20.65";"26.84";"0.06";"-25.06";"";"4";"0.0";"-37.11";"-1.0";"-2.51";"-0.39";"40.08";"25.06";"0.0";"-1.0";"-1.0";"0.0";"6.26";"0.0";"6.5";"6.5";"0.0"
"Strategy 1.19.148";"";"0.2";"AUDUSD_H1";"H1";"-4473.06";"";"584";"0.07";"-10.82";"-0.92";"-223.65";"-0.92";"95.67";"4473.06";"0.02";"-1.0";"0.0";"32.7";"8.36";"30.8";"11.69";"12.02";"15.87";"0.06";"-14.21";"";"2";"0.0";"-22562.92";"-1.0";"-1.42";"-0.39";"99.86";"14.21";"0.0";"-1.0";"-1.0";"0.0";"7.11";"0.0";"4.5";"4.5";"0.0"
"Strategy 1.21.133(1)";"";"0.2";"AUDUSD_H1";"H1";"-3123.61";"";"434";"0.07";"-9.56";"-0.89";"-156.18";"-0.93";"0.0";"3123.61";"0.05";"-1.0";"0.0";"10.57";"8.1";"11.95";"10.1";"10.19";"0.0";"0.06";"-7.17";"";"1";"0.0";"0.0";"-1.0";"-0.72";"0.0";"0.0";"7.17";"0.0";"-1.0";"-1.0";"0.0";"7.17";"0.0";"7.0";"7.0";"0.0"
"Strategy 1.19.129(1)";"";"0.2";"AUDUSD_H1";"H1";"-3308.37";"";"426";"0.05";"-10.04";"-0.91";"-165.42";"-0.93";"82.4";"3343.44";"0.04";"-0.99";"0.0";"12.29";"8.5";"20.53";"15.48";"15.66";"12.73";"0.06";"-10.44";"";"2";"0.0";"0.0";"-1.0";"-1.04";"0.0";"0.0";"10.44";"0.0";"-1.0";"-1.0";"0.0";"5.22";"0.0";"5.0";"5.0";"0.0"
"Strategy 1.0.94(8)";"";"0.2";"AUDUSD_H1";"H1";"-3245.02";"";"401";"0.04";"-8.95";"-0.94";"-162.25";"-0.88";"92.3";"3245.02";"0.02";"-1.0";"0.0";"23.49";"8.57";"3.83";"5.62";"5.59";"1.37";"0.06";"-3.52";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.52";"0.0";"-1.0";"-1.0";"0.0";"3.52";"0.0";"4.0";"4.0";"0.0"
"Strategy 1.3.111(1)";"";"0.2";"AUDUSD_H1";"H1";"-2982.19";"";"387";"0.04";"-10.13";"-0.89";"-149.11";"-0.89";"0.0";"2982.19";"0.08";"-1.0";"0.0";"4.63";"8.63";"2.96";"2.5";"2.53";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.192(2)";"";"0.2";"AUDUSD_H1";"H1";"-2237.66";"";"310";"0.1";"-8.26";"-0.81";"-111.88";"-0.97";"92.38";"2253.88";"0.11";"-0.99";"0.0";"7.71";"8.91";"23.35";"28.54";"27.94";"22.72";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.134";"";"0.2";"AUDUSD_H1";"H1";"-2412.14";"";"304";"0.12";"-7.17";"-0.84";"-120.61";"-0.91";"87.55";"2492.05";"0.05";"-0.97";"0.0";"21.1";"9.44";"41.53";"23.67";"24.56";"19.78";"0.06";"-3.48";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.48";"0.0";"-1.0";"-1.0";"0.0";"3.48";"0.0";"5.0";"5.0";"0.0"
"Strategy 1.19.135";"";"0.2";"AUDUSD_H1";"H1";"-2394.53";"";"321";"0.16";"-6.84";"-0.75";"-119.73";"-0.97";"63.38";"2394.53";"0.11";"-1.0";"0.0";"14.69";"9.91";"12.03";"7.99";"8.39";"2.35";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.132";"";"0.2";"AUDUSD_H1";"H1";"-5236.66";"";"689";"0.08";"-9.33";"-0.91";"-261.83";"-0.91";"99.83";"5297.31";"0.01";"-0.99";"0.0";"49.48";"8.36";"15.56";"11.7";"11.75";"17.63";"0.06";"-17.55";"";"3";"0.0";"0.0";"-1.0";"-1.75";"0.0";"23.77";"17.55";"0.0";"-1.0";"-1.0";"0.0";"5.85";"0.0";"4.0";"4.0";"0.0"
"Strategy 1.19.133";"";"0.2";"AUDUSD_H1";"H1";"-851.08";"";"83";"0.56";"-1.06";"-0.38";"-42.55";"-0.71";"34.56";"1465.6";"0.14";"-0.58";"-0.68";"109.9";"26.71";"9.5";"6.0";"6.42";"0.59";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.130";"";"0.2";"AUDUSD_H1";"H1";"-5397.64";"";"713";"0.08";"-9.57";"-0.91";"-269.88";"-0.93";"86.12";"5486.13";"0.01";"-0.98";"0.0";"55.16";"8.28";"19.75";"9.2";"9.32";"13.61";"0.06";"-24.58";"";"4";"0.0";"0.0";"-1.0";"-2.46";"0.0";"40.62";"24.58";"0.0";"-1.0";"-1.0";"0.0";"6.14";"0.0";"6.0";"6.0";"0.0"
"Strategy 1.19.131";"";"0.2";"AUDUSD_H1";"H1";"-2944.37";"";"384";"0.15";"-6.53";"-0.81";"-147.22";"-0.97";"80.07";"3029.19";"0.05";"-0.97";"0.0";"27.59";"9.5";"12.74";"9.05";"9.23";"5.58";"0.06";"-3.52";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.52";"0.0";"-1.0";"-1.0";"0.0";"3.52";"0.0";"3.0";"3.0";"0.0"
"Strategy 1.13.182(1)";"";"0.2";"AUDUSD_H1";"H1";"-3109.77";"";"421";"0.0";"-10.76";"-0.98";"-155.49";"-0.96";"88.88";"3114.0";"0.01";"-1.0";"0.0";"1.11";"7.51";"8.5";"8.96";"8.96";"3.53";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.0.130";"";"0.27";"AUDUSD_H1";"H1";"7.01";"";"2";"5.0";"0.79";"99999.0";"0.35";"0.25";"92.05";"0.0";"99999.0";"10.0";"0.0";"3.51";"0.0";"3.0";"0.0";"3.0";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.4.166(1)";"";"0.2";"AUDUSD_H1";"H1";"-2028.13";"";"263";"0.08";"-7.0";"-0.81";"-101.41";"-0.92";"46.52";"2028.13";"0.13";"-1.0";"0.0";"5.72";"9.51";"9.94";"9.18";"9.27";"2.94";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.138";"";"0.2";"AUDUSD_H1";"H1";"-2365.71";"";"292";"0.13";"-5.71";"-0.84";"-118.29";"-0.89";"85.59";"2412.74";"0.04";"-0.98";"0.0";"29.09";"9.7";"16.25";"10.45";"10.68";"4.8";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.139";"";"0.2";"AUDUSD_H1";"H1";"-2892.43";"";"395";"0.12";"-7.85";"-0.83";"-144.62";"-0.95";"0.0";"2892.43";"0.06";"-1.0";"0.0";"15.74";"8.84";"45.54";"26.45";"27.56";"31.05";"0.06";"-14.44";"";"2";"0.0";"-3821.49";"-1.0";"-1.44";"-0.44";"0.0";"14.44";"0.0";"-1.0";"-1.0";"0.0";"7.22";"0.0";"2.5";"2.5";"0.0"
"Strategy 1.19.136";"";"0.17";"AUDUSD_H1";"H1";"-906.6";"";"98";"0.11";"-4.21";"-0.8";"-45.33";"-0.92";"29.25";"906.6";"0.11";"-1.0";"-0.77";"10.71";"11.52";"17.4";"7.27";"8.31";"0.29";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.19.137";"";"0.2";"AUDUSD_H1";"H1";"-6977.71";"";"945";"0.01";"-13.89";"-0.99";"-348.89";"-0.97";"69.73";"6977.71";"0.01";"-1.0";"0.0";"7.06";"7.48";"18.67";"7.08";"7.15";"1.96";"0.06";"-10.53";"";"2";"0.0";"-43.84";"-1.0";"-1.05";"-0.39";"46.86";"10.53";"0.0";"-1.0";"-1.0";"0.0";"5.26";"0.0";"4.0";"4.0";"0.0"
"Strategy 1.19.130(1)";"";"0.2";"AUDUSD_H1";"H1";"-1295.66";"";"157";"0.05";"-6.04";"-0.89";"-64.78";"-0.89";"51.18";"1323.31";"0.07";"-0.98";"0.0";"6.32";"9.24";"3.9";"3.56";"3.59";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.0.94(9)";"";"0.2";"AUDUSD_H1";"H1";"-3871.25";"";"519";"0.02";"-10.93";"-0.94";"-193.56";"-0.95";"92.98";"3877.55";"0.04";"-1.0";"0.0";"3.17";"7.93";"3.27";"4.43";"4.38";"0.59";"0.06";"-13.87";"";"2";"0.0";"-22023.21";"-1.0";"-1.39";"-0.44";"99.86";"13.87";"0.0";"-1.0";"-1.0";"0.0";"6.93";"0.0";"2.5";"2.5";"0.0"
