<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,2023.11.01,00:00:00,0.633746,0.634518,0.632619,0.632847,100.0000
AUDUSD,2023.11.01,01:00:00,0.632735,0.633633,0.632107,0.632439,100.0000
AUDUSD,2023.11.01,02:00:00,0.632479,0.633513,0.632079,0.633513,100.0000
AUDUSD,2023.11.01,03:00:00,0.633388,0.634196,0.633296,0.633657,100.0000
AUDUSD,2023.11.01,04:00:00,0.633629,0.633673,0.633000,0.633228,100.0000
AUDUSD,2023.11.01,05:00:00,0.633060,0.633392,0.632979,0.633028,100.0000
AUDUSD,2023.11.01,06:00:00,0.633156,0.634196,0.633156,0.633987,100.0000
AUDUSD,2023.11.01,07:00:00,0.634019,0.634719,0.633368,0.633637,100.0000
AUDUSD,2023.11.01,08:00:00,0.633738,0.634397,0.633517,0.634228,100.0000
AUDUSD,2023.11.01,09:00:00,0.634300,0.634880,0.633288,0.633557,100.0000
AUDUSD,2023.11.01,10:00:00,0.633649,0.634317,0.633397,0.634236,100.0000
AUDUSD,2023.11.01,11:00:00,0.634119,0.634639,0.633818,0.634397,100.0000
AUDUSD,2023.11.01,12:00:00,0.634268,0.636837,0.634268,0.636092,100.0000
AUDUSD,2023.11.01,13:00:00,0.635930,0.636456,0.634618,0.636132,100.0000
AUDUSD,2023.11.01,14:00:00,0.637946,0.639550,0.636298,0.638447,100.0000
AUDUSD,2023.11.01,15:00:00,0.638268,0.638651,0.636310,0.636416,100.0000
AUDUSD,2023.11.01,16:00:00,0.636359,0.636699,0.635627,0.636051,100.0000
AUDUSD,2023.11.01,17:00:00,0.636039,0.636598,0.635688,0.636460,100.0000
AUDUSD,2023.11.01,18:00:00,0.637170,0.638508,0.635748,0.637950,100.0000
AUDUSD,2023.11.01,19:00:00,0.637889,0.640041,0.637889,0.639206,100.0000
AUDUSD,2023.11.01,20:00:00,0.639190,0.639550,0.638460,0.639550,100.0000
AUDUSD,2023.11.01,21:00:00,0.639509,0.640307,0.639182,0.640307,100.0000
AUDUSD,2023.11.01,22:00:00,0.640127,0.641330,0.639930,0.640808,100.0000
AUDUSD,2023.11.01,23:00:00,0.640800,0.642219,0.640705,0.642187,100.0000
AUDUSD,2023.11.02,00:00:00,0.642550,0.643501,0.642248,0.643426,100.0000
AUDUSD,2023.11.02,01:00:00,0.643256,0.643791,0.643050,0.643650,100.0000
AUDUSD,2023.11.02,02:00:00,0.643608,0.644039,0.643128,0.643679,100.0000
AUDUSD,2023.11.02,03:00:00,0.643608,0.643832,0.643058,0.643290,100.0000
AUDUSD,2023.11.02,04:00:00,0.643236,0.643294,0.642327,0.642550,100.0000
AUDUSD,2023.11.02,05:00:00,0.642438,0.642921,0.642290,0.642385,100.0000
AUDUSD,2023.11.02,06:00:00,0.642277,0.642880,0.642158,0.642839,100.0000
AUDUSD,2023.11.02,07:00:00,0.642690,0.643335,0.642228,0.643045,100.0000
AUDUSD,2023.11.02,08:00:00,0.642797,0.643749,0.641840,0.643294,100.0000
AUDUSD,2023.11.02,09:00:00,0.643070,0.644745,0.643000,0.644413,100.0000
AUDUSD,2023.11.02,10:00:00,0.644317,0.644662,0.643579,0.644662,100.0000
AUDUSD,2023.11.02,11:00:00,0.644529,0.644745,0.643617,0.643820,100.0000
AUDUSD,2023.11.02,12:00:00,0.643857,0.645745,0.643699,0.645469,100.0000
AUDUSD,2023.11.02,13:00:00,0.645378,0.645378,0.643277,0.643828,100.0000
AUDUSD,2023.11.02,14:00:00,0.643886,0.643886,0.641869,0.642707,100.0000
AUDUSD,2023.11.02,15:00:00,0.642690,0.642839,0.641470,0.642240,100.0000
