<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BNBUSDT,2023.09.21,10:00:00,211.650000,211.740000,209.200000,209.600000,142588.2600
BNBUSDT,2023.09.21,11:00:00,209.590000,210.800000,209.450000,210.630000,69150.3500
BNBUSDT,2023.09.21,12:00:00,210.630000,212.300000,210.480000,211.430000,104853.7100
BNBUSDT,2023.09.21,13:00:00,211.430000,211.450000,209.330000,209.980000,75324.1900
BNBUSDT,2023.09.21,14:00:00,209.970000,211.200000,209.880000,210.930000,40305.3400
BNBUSDT,2023.09.21,15:00:00,210.930000,211.250000,210.290000,210.700000,35251.7900
BNBUSDT,2023.09.21,16:00:00,210.710000,210.960000,210.530000,210.800000,16069.0500
BNBUSDT,2023.09.21,17:00:00,210.800000,211.370000,210.760000,211.130000,21945.0000
BNBUSDT,2023.09.21,18:00:00,211.130000,211.210000,210.680000,210.910000,16409.0100
BNBUSDT,2023.09.21,19:00:00,210.910000,210.960000,210.540000,210.730000,13385.8100
BNBUSDT,2023.09.21,20:00:00,210.740000,210.770000,209.930000,210.510000,17555.9400
BNBUSDT,2023.09.21,21:00:00,210.520000,210.870000,210.160000,210.860000,9759.4500
BNBUSDT,2023.09.21,22:00:00,210.870000,210.950000,210.420000,210.840000,9817.5900
BNBUSDT,2023.09.21,23:00:00,210.840000,211.080000,210.770000,210.910000,11439.1300
BNBUSDT,2023.09.22,00:00:00,210.900000,211.590000,209.700000,211.520000,41759.1300
BNBUSDT,2023.09.22,01:00:00,211.510000,211.690000,210.790000,211.600000,24477.1200
BNBUSDT,2023.09.22,02:00:00,211.600000,212.340000,211.420000,211.560000,38608.3700
BNBUSDT,2023.09.22,03:00:00,211.570000,212.240000,211.470000,211.960000,24771.8500
BNBUSDT,2023.09.22,04:00:00,211.960000,212.040000,211.310000,211.340000,17737.1100
BNBUSDT,2023.09.22,05:00:00,211.340000,211.400000,210.960000,211.250000,17714.2700
BNBUSDT,2023.09.22,06:00:00,211.250000,211.350000,210.650000,210.750000,21338.4400
BNBUSDT,2023.09.22,07:00:00,210.750000,211.660000,210.480000,211.590000,29955.0300
BNBUSDT,2023.09.22,08:00:00,211.600000,211.950000,211.190000,211.240000,27981.7500
BNBUSDT,2023.09.22,09:00:00,211.240000,211.390000,210.930000,211.150000,19355.5200
BNBUSDT,2023.09.22,10:00:00,211.160000,211.230000,210.730000,210.850000,15118.1900
BNBUSDT,2023.09.22,11:00:00,210.850000,211.280000,210.820000,211.230000,13787.4600
BNBUSDT,2023.09.22,12:00:00,211.220000,211.400000,210.720000,210.750000,14332.7100
BNBUSDT,2023.09.22,13:00:00,210.740000,210.800000,210.300000,210.540000,26231.2000
BNBUSDT,2023.09.22,14:00:00,210.550000,211.040000,210.300000,210.980000,22504.0900
BNBUSDT,2023.09.22,15:00:00,210.980000,211.270000,210.700000,210.730000,21422.2300
BNBUSDT,2023.09.22,16:00:00,210.740000,210.880000,210.080000,210.230000,28457.3700
BNBUSDT,2023.09.22,17:00:00,210.230000,210.980000,209.760000,210.870000,51568.2300
BNBUSDT,2023.09.22,18:00:00,210.880000,211.070000,210.620000,211.040000,18068.0900
BNBUSDT,2023.09.22,19:00:00,211.050000,211.290000,210.560000,210.620000,16118.8100
BNBUSDT,2023.09.22,20:00:00,210.620000,210.800000,210.250000,210.390000,12187.9100
BNBUSDT,2023.09.22,21:00:00,210.400000,211.250000,210.180000,211.130000,16754.9400
BNBUSDT,2023.09.22,22:00:00,211.140000,211.390000,211.060000,211.360000,11313.5500
BNBUSDT,2023.09.22,23:00:00,211.350000,211.400000,210.960000,211.150000,10796.2700
BNBUSDT,2023.09.23,00:00:00,211.160000,211.790000,211.140000,211.500000,18652.4900
BNBUSDT,2023.09.23,01:00:00,211.490000,211.640000,211.200000,211.350000,11089.3900
BNBUSDT,2023.09.23,02:00:00,211.350000,211.370000,210.700000,210.780000,12717.4900
BNBUSDT,2023.09.23,03:00:00,210.790000,210.840000,210.140000,210.200000,22256.7300
BNBUSDT,2023.09.23,04:00:00,210.200000,210.660000,209.940000,210.540000,19752.5200
BNBUSDT,2023.09.23,05:00:00,210.550000,210.900000,210.440000,210.520000,9553.2100
BNBUSDT,2023.09.23,06:00:00,210.520000,210.970000,210.510000,210.830000,9153.5000
BNBUSDT,2023.09.23,07:00:00,210.840000,211.060000,210.660000,211.050000,11785.0400
BNBUSDT,2023.09.23,08:00:00,211.060000,211.190000,210.880000,210.990000,15850.2100
BNBUSDT,2023.09.23,09:00:00,210.990000,211.060000,210.610000,210.840000,9990.2300
BNBUSDT,2023.09.23,10:00:00,210.840000,210.870000,210.720000,210.790000,5513.9100
BNBUSDT,2023.09.23,11:00:00,210.790000,210.870000,210.620000,210.850000,6225.7700
BNBUSDT,2023.09.23,12:00:00,210.850000,211.000000,210.780000,210.910000,8985.1200
BNBUSDT,2023.09.23,13:00:00,210.920000,210.940000,210.610000,210.750000,7131.8300
BNBUSDT,2023.09.23,14:00:00,210.760000,210.940000,210.600000,210.630000,8431.9600
BNBUSDT,2023.09.23,15:00:00,210.630000,210.680000,210.260000,210.630000,13196.4600
BNBUSDT,2023.09.23,16:00:00,210.640000,210.780000,210.400000,210.710000,12053.5000
BNBUSDT,2023.09.23,17:00:00,210.700000,210.860000,210.300000,210.390000,12638.9500
BNBUSDT,2023.09.23,18:00:00,210.380000,210.740000,210.270000,210.410000,13059.7000
BNBUSDT,2023.09.23,19:00:00,210.410000,210.800000,210.340000,210.740000,9597.9400
BNBUSDT,2023.09.23,20:00:00,210.740000,210.880000,210.440000,210.450000,6187.1700
BNBUSDT,2023.09.23,21:00:00,210.440000,210.570000,210.360000,210.370000,4338.5700
BNBUSDT,2023.09.23,22:00:00,210.360000,210.550000,210.270000,210.300000,6898.9700
BNBUSDT,2023.09.23,23:00:00,210.290000,210.590000,210.130000,210.520000,8729.1300
BNBUSDT,2023.09.24,00:00:00,210.530000,210.620000,210.160000,210.340000,11832.6500
BNBUSDT,2023.09.24,01:00:00,210.330000,210.480000,209.960000,210.470000,15185.3300
BNBUSDT,2023.09.24,02:00:00,210.460000,210.740000,210.300000,210.360000,10882.5000
BNBUSDT,2023.09.24,03:00:00,210.360000,210.390000,210.090000,210.170000,10107.6300
BNBUSDT,2023.09.24,04:00:00,210.180000,210.200000,209.880000,210.200000,14107.7500
BNBUSDT,2023.09.24,05:00:00,210.200000,210.500000,210.170000,210.410000,11522.2800
BNBUSDT,2023.09.24,06:00:00,210.410000,210.580000,210.240000,210.540000,7793.8000
BNBUSDT,2023.09.24,07:00:00,210.530000,210.620000,210.380000,210.460000,8297.9900
BNBUSDT,2023.09.24,08:00:00,210.460000,210.970000,210.440000,210.880000,11612.6400
BNBUSDT,2023.09.24,09:00:00,210.870000,210.990000,210.590000,210.670000,14074.8100
BNBUSDT,2023.09.24,10:00:00,210.680000,210.750000,210.500000,210.570000,6383.1300
BNBUSDT,2023.09.24,11:00:00,210.570000,210.900000,210.530000,210.890000,7919.5100
BNBUSDT,2023.09.24,12:00:00,210.900000,210.970000,210.720000,210.930000,7466.1300
BNBUSDT,2023.09.24,13:00:00,210.920000,211.030000,210.660000,210.670000,9675.9100
BNBUSDT,2023.09.24,14:00:00,210.670000,210.800000,210.600000,210.680000,9088.1900
BNBUSDT,2023.09.24,15:00:00,210.670000,210.800000,210.480000,210.760000,11112.7400
BNBUSDT,2023.09.24,16:00:00,210.760000,210.760000,210.400000,210.580000,8756.9900
BNBUSDT,2023.09.24,17:00:00,210.580000,211.220000,210.500000,210.990000,18536.6500
BNBUSDT,2023.09.24,18:00:00,211.000000,211.360000,209.600000,210.430000,62519.2000
BNBUSDT,2023.09.24,19:00:00,210.430000,210.600000,209.240000,209.560000,44293.9700
BNBUSDT,2023.09.24,20:00:00,209.560000,209.720000,208.550000,209.710000,39486.0900
BNBUSDT,2023.09.24,21:00:00,209.720000,209.850000,209.280000,209.800000,14573.1500
BNBUSDT,2023.09.24,22:00:00,209.800000,209.860000,209.520000,209.800000,8755.9700
BNBUSDT,2023.09.24,23:00:00,209.810000,209.810000,206.000000,208.340000,88898.0500
BNBUSDT,2023.09.25,00:00:00,208.340000,208.570000,206.520000,208.530000,78973.9100
BNBUSDT,2023.09.25,01:00:00,208.530000,209.480000,208.320000,208.330000,45763.7000
BNBUSDT,2023.09.25,02:00:00,208.330000,208.990000,208.180000,208.890000,22823.4700
BNBUSDT,2023.09.25,03:00:00,208.880000,209.320000,208.870000,208.910000,20903.1100
BNBUSDT,2023.09.25,04:00:00,208.910000,209.350000,208.740000,209.210000,16418.7300
BNBUSDT,2023.09.25,05:00:00,209.210000,209.500000,208.690000,208.880000,22796.0600
BNBUSDT,2023.09.25,06:00:00,208.870000,209.280000,208.340000,209.180000,31920.4900
BNBUSDT,2023.09.25,07:00:00,209.180000,210.140000,208.970000,209.570000,37196.0100
BNBUSDT,2023.09.25,08:00:00,209.570000,209.790000,209.010000,209.180000,22044.7400
BNBUSDT,2023.09.25,09:00:00,209.190000,209.260000,208.700000,208.760000,23728.5000
BNBUSDT,2023.09.25,10:00:00,208.760000,208.990000,208.620000,208.900000,15083.6700
BNBUSDT,2023.09.25,11:00:00,208.900000,209.130000,207.760000,208.260000,43925.1600
BNBUSDT,2023.09.25,12:00:00,208.270000,208.700000,207.820000,208.230000,37515.0300
BNBUSDT,2023.09.25,13:00:00,208.240000,209.260000,208.050000,209.100000,25292.1800
BNBUSDT,2023.09.25,14:00:00,209.100000,209.140000,208.200000,208.600000,31267.8700
BNBUSDT,2023.09.25,15:00:00,208.610000,209.650000,208.600000,209.090000,42439.8800
BNBUSDT,2023.09.25,16:00:00,209.100000,210.500000,209.100000,210.130000,69089.3300
BNBUSDT,2023.09.25,17:00:00,210.120000,210.620000,209.700000,210.200000,28898.8300
BNBUSDT,2023.09.25,18:00:00,210.210000,210.300000,209.780000,209.860000,13188.1000
BNBUSDT,2023.09.25,19:00:00,209.860000,210.110000,209.570000,210.070000,13677.2300
BNBUSDT,2023.09.25,20:00:00,210.070000,210.690000,209.820000,209.840000,24047.4400
BNBUSDT,2023.09.25,21:00:00,209.840000,210.010000,209.730000,209.860000,10683.3900
BNBUSDT,2023.09.25,22:00:00,209.870000,210.170000,209.840000,209.960000,9842.0200
BNBUSDT,2023.09.25,23:00:00,209.960000,210.310000,209.830000,210.060000,9349.6600
BNBUSDT,2023.09.26,00:00:00,210.070000,210.290000,209.820000,210.200000,15333.5200
BNBUSDT,2023.09.26,01:00:00,210.200000,212.450000,210.030000,211.740000,116832.3300
BNBUSDT,2023.09.26,02:00:00,211.730000,211.860000,211.090000,211.460000,31740.5200
BNBUSDT,2023.09.26,03:00:00,211.470000,211.850000,211.440000,211.600000,16461.8500
BNBUSDT,2023.09.26,04:00:00,211.600000,211.650000,211.190000,211.530000,19597.3000
BNBUSDT,2023.09.26,05:00:00,211.530000,211.780000,211.460000,211.680000,14221.8000
BNBUSDT,2023.09.26,06:00:00,211.680000,212.180000,211.570000,212.130000,49538.7700
BNBUSDT,2023.09.26,07:00:00,212.130000,212.730000,211.800000,212.620000,51273.9600
BNBUSDT,2023.09.26,08:00:00,212.630000,214.000000,212.620000,212.850000,97131.8800
BNBUSDT,2023.09.26,09:00:00,212.860000,213.280000,212.360000,212.750000,38738.2900
BNBUSDT,2023.09.26,10:00:00,212.750000,212.900000,211.970000,212.180000,35519.9400
BNBUSDT,2023.09.26,11:00:00,212.180000,212.660000,211.900000,212.650000,26828.1300
