<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTCUSDT,2023.09.21,10:00:00,26738.500000,26792.800000,26622.500000,26636.800000,26489.1370
BTCUSDT,2023.09.21,11:00:00,26636.700000,26771.800000,26612.500000,26722.700000,17564.6810
BTCUSDT,2023.09.21,12:00:00,26722.800000,26769.800000,26528.000000,26630.100000,28817.4770
BTCUSDT,2023.09.21,13:00:00,26630.100000,26645.900000,26362.900000,26408.200000,45735.4370
BTCUSDT,2023.09.21,14:00:00,26408.200000,26587.000000,26360.100000,26569.700000,25645.9450
BTCUSDT,2023.09.21,15:00:00,26569.800000,26647.100000,26524.500000,26567.700000,14659.5500
BTCUSDT,2023.09.21,16:00:00,26567.600000,26594.100000,26530.800000,26567.300000,10535.0080
BTCUSDT,2023.09.21,17:00:00,26567.300000,26685.700000,26564.500000,26636.000000,11951.7990
BTCUSDT,2023.09.21,18:00:00,26636.100000,26675.900000,26585.800000,26593.600000,7272.1900
BTCUSDT,2023.09.21,19:00:00,26593.600000,26612.400000,26541.300000,26589.100000,6972.8900
BTCUSDT,2023.09.21,20:00:00,26589.100000,26597.400000,26484.000000,26580.200000,8267.1590
BTCUSDT,2023.09.21,21:00:00,26580.200000,26611.200000,26545.500000,26600.000000,3674.9590
BTCUSDT,2023.09.21,22:00:00,26600.100000,26608.400000,26534.500000,26576.500000,3282.3150
BTCUSDT,2023.09.21,23:00:00,26576.500000,26607.500000,26541.300000,26552.600000,3726.0110
BTCUSDT,2023.09.22,00:00:00,26552.600000,26640.000000,26452.900000,26629.200000,15155.5200
BTCUSDT,2023.09.22,01:00:00,26629.200000,26655.900000,26552.400000,26615.100000,10077.0300
BTCUSDT,2023.09.22,02:00:00,26615.100000,26632.700000,26544.400000,26557.900000,6091.4480
BTCUSDT,2023.09.22,03:00:00,26558.000000,26628.200000,26536.100000,26616.800000,5782.9400
BTCUSDT,2023.09.22,04:00:00,26616.900000,26650.000000,26606.600000,26631.300000,4660.9320
BTCUSDT,2023.09.22,05:00:00,26631.200000,26658.800000,26594.400000,26653.800000,3650.5450
BTCUSDT,2023.09.22,06:00:00,26653.700000,26675.900000,26587.500000,26607.100000,5635.3740
BTCUSDT,2023.09.22,07:00:00,26607.200000,26697.500000,26559.400000,26660.900000,8803.7140
BTCUSDT,2023.09.22,08:00:00,26660.900000,26737.700000,26650.000000,26660.100000,11191.7910
BTCUSDT,2023.09.22,09:00:00,26660.100000,26663.000000,26607.900000,26625.700000,5576.3670
BTCUSDT,2023.09.22,10:00:00,26625.800000,26645.300000,26573.000000,26580.600000,8664.9110
BTCUSDT,2023.09.22,11:00:00,26580.600000,26640.000000,26580.600000,26630.000000,4100.5420
BTCUSDT,2023.09.22,12:00:00,26630.100000,26640.100000,26564.600000,26574.600000,5750.5700
BTCUSDT,2023.09.22,13:00:00,26574.600000,26609.000000,26540.600000,26598.000000,10186.9180
BTCUSDT,2023.09.22,14:00:00,26598.000000,26683.400000,26575.000000,26666.900000,13650.9880
BTCUSDT,2023.09.22,15:00:00,26666.900000,26688.200000,26613.500000,26619.900000,7858.2610
BTCUSDT,2023.09.22,16:00:00,26619.900000,26632.500000,26565.000000,26585.200000,6716.4010
