<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CL,2024.03.26,04:00:00,81.930000,82.080002,81.709999,81.730003,5752.0000
CL,2024.03.26,08:00:00,81.720001,82.269997,81.610001,82.150002,27187.0000
CL,2024.03.26,12:00:00,82.150002,82.360001,81.430000,82.080002,98815.0000
CL,2024.03.26,16:00:00,82.089996,82.180000,81.379997,81.500000,64662.0000
CL,2024.03.26,20:00:00,81.500000,81.500000,81.169998,81.269997,7904.0000
CL,2024.03.27,00:00:00,81.279999,81.320000,80.809998,80.980003,8733.0000
CL,2024.03.27,04:00:00,80.980003,81.050003,80.750000,80.930000,11892.0000
CL,2024.03.27,08:00:00,80.919998,81.360001,80.550003,81.300003,36327.0000
CL,2024.03.27,12:00:00,81.290001,81.599998,80.910004,81.379997,102730.0000
CL,2024.03.27,16:00:00,81.370003,81.739998,81.019997,81.730003,67057.0000
CL,2024.03.27,20:00:00,81.730003,81.760002,81.349998,81.730003,2319.0000
CL,2024.03.28,00:00:00,81.730003,81.970001,81.680000,81.709999,7433.0000
CL,2024.03.28,04:00:00,81.699997,81.930000,81.650002,81.820000,8692.0000
CL,2024.03.28,08:00:00,81.820000,82.599998,81.519997,82.400002,45029.0000
CL,2024.03.28,12:00:00,82.400002,82.800003,82.220001,82.610001,106730.0000
CL,2024.03.28,16:00:00,82.599998,83.209999,82.470001,82.970001,93052.0000
CL,2024.03.28,20:00:00,82.989998,83.150002,82.959999,83.110001,3596.0000
CL,2024.03.31,20:00:00,83.139999,83.360001,83.059998,83.180000,5534.0000
CL,2024.04.01,00:00:00,83.180000,83.540001,82.970001,83.489998,9468.0000
CL,2024.04.01,04:00:00,83.489998,83.620003,83.320000,83.589996,9010.0000
CL,2024.04.01,08:00:00,83.589996,83.589996,82.800003,82.849998,24479.0000
CL,2024.04.01,12:00:00,82.849998,84.400002,82.599998,84.239998,144410.0000
