<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CL,2026.06.08,04:00:00,93.540001,93.720001,93.529999,93.680000,100.0000
CL,2026.06.08,04:05:00,93.669998,93.870003,93.660004,93.870003,224.0000
CL,2026.06.08,04:10:00,93.879997,93.889999,93.769997,93.790001,209.0000
CL,2026.06.08,04:15:00,93.779999,93.930000,93.699997,93.879997,171.0000
CL,2026.06.08,04:20:00,93.879997,93.989998,93.839996,93.839996,217.0000
CL,2026.06.08,04:25:00,93.839996,94.080002,93.839996,93.970001,342.0000
CL,2026.06.08,04:30:00,93.980003,94.559998,93.919998,94.449997,796.0000
CL,2026.06.08,04:35:00,94.449997,94.559998,94.279999,94.330002,309.0000
CL,2026.06.08,04:40:00,94.320000,94.510002,94.279999,94.410004,300.0000
CL,2026.06.08,04:45:00,94.410004,94.470001,94.290001,94.410004,196.0000
CL,2026.06.08,04:50:00,94.400002,94.430000,94.269997,94.419998,209.0000
CL,2026.06.08,04:55:00,94.419998,94.599998,94.410004,94.470001,417.0000
CL,2026.06.08,05:00:00,94.459999,94.459999,94.199997,94.330002,217.0000
CL,2026.06.08,05:05:00,94.339996,94.629997,94.339996,94.459999,242.0000
CL,2026.06.08,05:10:00,94.459999,94.629997,94.430000,94.519997,200.0000
CL,2026.06.08,05:15:00,94.519997,94.519997,94.250000,94.260002,206.0000
CL,2026.06.08,05:20:00,94.250000,94.309998,94.120003,94.209999,233.0000
CL,2026.06.08,05:25:00,94.209999,94.250000,94.139999,94.209999,115.0000
CL,2026.06.08,05:30:00,94.209999,94.730003,94.080002,94.599998,616.0000
CL,2026.06.08,05:35:00,94.620003,94.839996,94.500000,94.599998,614.0000
CL,2026.06.08,05:40:00,94.589996,94.849998,94.540001,94.660004,254.0000
CL,2026.06.08,05:45:00,94.669998,94.769997,94.610001,94.730003,138.0000
CL,2026.06.08,05:50:00,94.720001,94.730003,94.510002,94.650002,397.0000
CL,2026.06.08,05:55:00,94.660004,94.720001,94.470001,94.480003,335.0000
CL,2026.06.08,06:00:00,94.459999,94.599998,94.260002,94.550003,863.0000
CL,2026.06.08,06:05:00,94.519997,94.680000,94.449997,94.570000,356.0000
CL,2026.06.08,06:10:00,94.559998,94.559998,94.250000,94.320000,621.0000
CL,2026.06.08,06:15:00,94.330002,94.669998,94.330002,94.529999,376.0000
CL,2026.06.08,06:20:00,94.529999,94.550003,94.349998,94.410004,256.0000
