<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGEUSDT,2021.01.01,00:00:00,0.004679,0.004698,0.004617,0.004624,22480031.0000
DOGEUSDT,2021.01.01,00:15:00,0.004624,0.004658,0.004622,0.004648,6675142.0000
DOGEUSDT,2021.01.01,00:30:00,0.004646,0.004662,0.004644,0.004662,3196267.0000
DOGEUSDT,2021.01.01,00:45:00,0.004663,0.004716,0.004663,0.004690,14149213.0000
DOGEUSDT,2021.01.01,01:00:00,0.004695,0.004742,0.004695,0.004712,21734510.0000
DOGEUSDT,2021.01.01,01:15:00,0.004713,0.004757,0.004705,0.004748,14771217.0000
DOGEUSDT,2021.01.01,01:30:00,0.004748,0.004770,0.004733,0.004763,17751462.0000
DOGEUSDT,2021.01.01,01:45:00,0.004762,0.004780,0.004735,0.004747,46608039.0000
DOGEUSDT,2021.01.01,02:00:00,0.004750,0.004752,0.004733,0.004740,8866750.0000
DOGEUSDT,2021.01.01,02:15:00,0.004737,0.004740,0.004731,0.004732,2940194.0000
DOGEUSDT,2021.01.01,02:30:00,0.004732,0.004752,0.004731,0.004749,4408499.0000
DOGEUSDT,2021.01.01,02:45:00,0.004746,0.004775,0.004745,0.004767,9805932.0000
DOGEUSDT,2021.01.01,03:00:00,0.004766,0.004788,0.004760,0.004778,18986644.0000
DOGEUSDT,2021.01.01,03:15:00,0.004778,0.004810,0.004775,0.004803,29147819.0000
DOGEUSDT,2021.01.01,03:30:00,0.004802,0.004914,0.004798,0.004896,100123289.0000
DOGEUSDT,2021.01.01,03:45:00,0.004896,0.005021,0.004893,0.004991,250890431.0000
DOGEUSDT,2021.01.01,04:00:00,0.004993,0.005020,0.004845,0.004862,191881260.0000
DOGEUSDT,2021.01.01,04:15:00,0.004869,0.004899,0.004819,0.004847,43881770.0000
DOGEUSDT,2021.01.01,04:30:00,0.004850,0.004864,0.004815,0.004848,29715981.0000
DOGEUSDT,2021.01.01,04:45:00,0.004849,0.004939,0.004846,0.004909,35994421.0000
DOGEUSDT,2021.01.01,05:00:00,0.004909,0.004921,0.004873,0.004889,23680184.0000
DOGEUSDT,2021.01.01,05:15:00,0.004888,0.004916,0.004870,0.004910,18859022.0000
DOGEUSDT,2021.01.01,05:30:00,0.004910,0.004919,0.004894,0.004907,7948350.0000
DOGEUSDT,2021.01.01,05:45:00,0.004907,0.004962,0.004903,0.004956,17112272.0000
DOGEUSDT,2021.01.01,06:00:00,0.004956,0.004976,0.004906,0.004911,20911179.0000
DOGEUSDT,2021.01.01,06:15:00,0.004914,0.004914,0.004827,0.004855,23134879.0000
DOGEUSDT,2021.01.01,06:30:00,0.004854,0.004869,0.004822,0.004855,11676120.0000
DOGEUSDT,2021.01.01,06:45:00,0.004854,0.004863,0.004851,0.004860,2641272.0000
DOGEUSDT,2021.01.01,07:00:00,0.004860,0.004870,0.004813,0.004824,22605130.0000
DOGEUSDT,2021.01.01,07:15:00,0.004823,0.004858,0.004819,0.004825,9990208.0000
DOGEUSDT,2021.01.01,07:30:00,0.004824,0.004875,0.004823,0.004871,5869919.0000
DOGEUSDT,2021.01.01,07:45:00,0.004871,0.004875,0.004856,0.004864,3403639.0000
DOGEUSDT,2021.01.01,08:00:00,0.004868,0.004877,0.004834,0.004840,5172487.0000
DOGEUSDT,2021.01.01,08:15:00,0.004836,0.004840,0.004777,0.004822,22559754.0000
DOGEUSDT,2021.01.01,08:30:00,0.004823,0.004910,0.004823,0.004875,46902376.0000
DOGEUSDT,2021.01.01,08:45:00,0.004875,0.004915,0.004866,0.004892,12813502.0000
DOGEUSDT,2021.01.01,09:00:00,0.004892,0.004919,0.004888,0.004911,13508751.0000
DOGEUSDT,2021.01.01,09:15:00,0.004910,0.004921,0.004889,0.004908,15672125.0000
DOGEUSDT,2021.01.01,09:30:00,0.004907,0.004907,0.004800,0.004834,90017993.0000
DOGEUSDT,2021.01.01,09:45:00,0.004835,0.004849,0.004824,0.004829,10104358.0000
DOGEUSDT,2021.01.01,10:00:00,0.004831,0.004870,0.004826,0.004834,28111120.0000
DOGEUSDT,2021.01.01,10:15:00,0.004836,0.004845,0.004786,0.004841,25723291.0000
DOGEUSDT,2021.01.01,10:30:00,0.004841,0.004867,0.004829,0.004838,14545502.0000
DOGEUSDT,2021.01.01,10:45:00,0.004834,0.004883,0.004831,0.004882,11535221.0000
DOGEUSDT,2021.01.01,11:00:00,0.004881,0.004906,0.004869,0.004878,17008266.0000
DOGEUSDT,2021.01.01,11:15:00,0.004877,0.004903,0.004877,0.004896,5187040.0000
DOGEUSDT,2021.01.01,11:30:00,0.004896,0.004921,0.004881,0.004915,12380558.0000
DOGEUSDT,2021.01.01,11:45:00,0.004915,0.004930,0.004896,0.004904,12160689.0000
DOGEUSDT,2021.01.01,12:00:00,0.004904,0.004978,0.004903,0.004947,35985752.0000
DOGEUSDT,2021.01.01,12:15:00,0.004947,0.005009,0.004921,0.005003,38422538.0000
DOGEUSDT,2021.01.01,12:30:00,0.005006,0.005008,0.004922,0.004966,52188632.0000
DOGEUSDT,2021.01.01,12:45:00,0.004969,0.004981,0.004911,0.004927,30102124.0000
DOGEUSDT,2021.01.01,13:00:00,0.004930,0.004983,0.004927,0.004980,9082020.0000
DOGEUSDT,2021.01.01,13:15:00,0.004980,0.004986,0.004973,0.004982,13073185.0000
DOGEUSDT,2021.01.01,13:30:00,0.004982,0.004988,0.004931,0.004932,36450834.0000
DOGEUSDT,2021.01.01,13:45:00,0.004932,0.004955,0.004906,0.004944,26448619.0000
DOGEUSDT,2021.01.01,14:00:00,0.004947,0.004963,0.004916,0.004950,18668235.0000
DOGEUSDT,2021.01.01,14:15:00,0.004953,0.004958,0.004946,0.004957,7143886.0000
DOGEUSDT,2021.01.01,14:30:00,0.004957,0.004976,0.004939,0.004968,16891784.0000
DOGEUSDT,2021.01.01,14:45:00,0.004968,0.004969,0.004936,0.004950,12177222.0000
DOGEUSDT,2021.01.01,15:00:00,0.004951,0.004980,0.004948,0.004974,16584594.0000
DOGEUSDT,2021.01.01,15:15:00,0.004973,0.004989,0.004962,0.004967,18685036.0000
DOGEUSDT,2021.01.01,15:30:00,0.004965,0.004967,0.004883,0.004930,39667566.0000
DOGEUSDT,2021.01.01,15:45:00,0.004930,0.004959,0.004923,0.004924,26228210.0000
DOGEUSDT,2021.01.01,16:00:00,0.004930,0.004964,0.004911,0.004949,27622786.0000
DOGEUSDT,2021.01.01,16:15:00,0.004944,0.004989,0.004930,0.004974,26988217.0000
DOGEUSDT,2021.01.01,16:30:00,0.004973,0.004998,0.004966,0.004980,24484327.0000
DOGEUSDT,2021.01.01,16:45:00,0.004982,0.005002,0.004968,0.004989,16854538.0000
DOGEUSDT,2021.01.01,17:00:00,0.004992,0.005061,0.004974,0.005060,96821012.0000
DOGEUSDT,2021.01.01,17:15:00,0.005060,0.005099,0.005015,0.005051,70562635.0000
DOGEUSDT,2021.01.01,17:30:00,0.005054,0.005054,0.004973,0.004985,44934897.0000
DOGEUSDT,2021.01.01,17:45:00,0.004990,0.005013,0.004926,0.004986,58280236.0000
DOGEUSDT,2021.01.01,18:00:00,0.004986,0.005079,0.004945,0.005072,57224369.0000
DOGEUSDT,2021.01.01,18:15:00,0.005073,0.005079,0.004967,0.004997,38983722.0000
DOGEUSDT,2021.01.01,18:30:00,0.004996,0.005057,0.004961,0.004985,83374422.0000
DOGEUSDT,2021.01.01,18:45:00,0.004984,0.005069,0.004918,0.005054,89920315.0000
DOGEUSDT,2021.01.01,19:00:00,0.005054,0.005060,0.005027,0.005032,31807451.0000
DOGEUSDT,2021.01.01,19:15:00,0.005033,0.005120,0.005029,0.005106,43845176.0000
DOGEUSDT,2021.01.01,19:30:00,0.005101,0.005138,0.005069,0.005133,30299545.0000
DOGEUSDT,2021.01.01,19:45:00,0.005133,0.005250,0.005125,0.005219,125019421.0000
DOGEUSDT,2021.01.01,20:00:00,0.005219,0.005287,0.005202,0.005284,85211604.0000
DOGEUSDT,2021.01.01,20:15:00,0.005279,0.005400,0.005273,0.005391,97758505.0000
DOGEUSDT,2021.01.01,20:30:00,0.005385,0.005499,0.005269,0.005292,244177663.0000
DOGEUSDT,2021.01.01,20:45:00,0.005291,0.005374,0.005147,0.005178,249110338.0000
DOGEUSDT,2021.01.01,21:00:00,0.005176,0.005319,0.005153,0.005197,268787036.0000
DOGEUSDT,2021.01.01,21:15:00,0.005196,0.005339,0.005184,0.005323,144194110.0000
DOGEUSDT,2021.01.01,21:30:00,0.005328,0.005379,0.005283,0.005352,113534362.0000
DOGEUSDT,2021.01.01,21:45:00,0.005349,0.005375,0.005327,0.005360,26711279.0000
DOGEUSDT,2021.01.01,22:00:00,0.005361,0.005361,0.005268,0.005299,45159729.0000
DOGEUSDT,2021.01.01,22:15:00,0.005295,0.005400,0.005273,0.005398,65972802.0000
DOGEUSDT,2021.01.01,22:30:00,0.005394,0.005530,0.005383,0.005408,176397527.0000
DOGEUSDT,2021.01.01,22:45:00,0.005412,0.005505,0.005402,0.005437,98735615.0000
DOGEUSDT,2021.01.01,23:00:00,0.005433,0.005447,0.005379,0.005437,36177259.0000
DOGEUSDT,2021.01.01,23:15:00,0.005437,0.005508,0.005420,0.005477,55394112.0000
DOGEUSDT,2021.01.01,23:30:00,0.005485,0.005596,0.005467,0.005547,96513604.0000
DOGEUSDT,2021.01.01,23:45:00,0.005543,0.005690,0.005524,0.005680,128496377.0000
DOGEUSDT,2021.01.02,00:00:00,0.005680,0.005875,0.005670,0.005860,304260388.0000
DOGEUSDT,2021.01.02,00:15:00,0.005859,0.005869,0.005581,0.005668,426545011.0000
DOGEUSDT,2021.01.02,00:30:00,0.005673,0.005779,0.005630,0.005711,169970868.0000
DOGEUSDT,2021.01.02,00:45:00,0.005711,0.005832,0.005701,0.005804,135121576.0000
DOGEUSDT,2021.01.02,01:00:00,0.005804,0.005837,0.005628,0.005645,220783444.0000
DOGEUSDT,2021.01.02,01:15:00,0.005644,0.005691,0.005564,0.005569,118240071.0000
DOGEUSDT,2021.01.02,01:30:00,0.005567,0.005646,0.005550,0.005611,109964878.0000
DOGEUSDT,2021.01.02,01:45:00,0.005611,0.005752,0.005583,0.005734,72882756.0000
DOGEUSDT,2021.01.02,02:00:00,0.005740,0.005793,0.005687,0.005776,110746620.0000
DOGEUSDT,2021.01.02,02:15:00,0.005772,0.005868,0.005754,0.005830,131325314.0000
DOGEUSDT,2021.01.02,02:30:00,0.005830,0.005996,0.005824,0.005973,254795312.0000
DOGEUSDT,2021.01.02,02:45:00,0.005973,0.006426,0.005972,0.006313,777034397.0000
DOGEUSDT,2021.01.02,03:00:00,0.006313,0.006777,0.006280,0.006330,1404598948.0000
DOGEUSDT,2021.01.02,03:15:00,0.006326,0.006457,0.006094,0.006415,916537286.0000
DOGEUSDT,2021.01.02,03:30:00,0.006421,0.006661,0.006301,0.006524,604824022.0000
DOGEUSDT,2021.01.02,03:45:00,0.006521,0.006769,0.006519,0.006643,432499327.0000
DOGEUSDT,2021.01.02,04:00:00,0.006646,0.006950,0.006619,0.006886,733642097.0000
DOGEUSDT,2021.01.02,04:15:00,0.006888,0.007236,0.006860,0.007185,840770669.0000
