<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGEUSDT,2021.11.03,00:00:00,0.274390,0.276590,0.270000,0.271850,378199113.0000
DOGEUSDT,2021.11.03,04:00:00,0.271840,0.276290,0.270150,0.274420,498559710.0000
DOGEUSDT,2021.11.03,08:00:00,0.274410,0.277900,0.272500,0.273720,596579878.0000
DOGEUSDT,2021.11.03,12:00:00,0.273710,0.273880,0.261000,0.266570,1009141016.0000
DOGEUSDT,2021.11.03,16:00:00,0.266580,0.272800,0.264920,0.270490,643645214.0000
DOGEUSDT,2021.11.03,20:00:00,0.270530,0.271910,0.267220,0.269190,291758019.0000
DOGEUSDT,2021.11.04,00:00:00,0.269190,0.271340,0.265980,0.269590,291896637.0000
DOGEUSDT,2021.11.04,04:00:00,0.269600,0.270380,0.263200,0.263940,304706929.0000
DOGEUSDT,2021.11.04,08:00:00,0.263960,0.266080,0.261100,0.262530,461576403.0000
DOGEUSDT,2021.11.04,12:00:00,0.262520,0.265020,0.253700,0.255720,791297450.0000
DOGEUSDT,2021.11.04,16:00:00,0.255720,0.264130,0.254010,0.261000,598237729.0000
DOGEUSDT,2021.11.04,20:00:00,0.261000,0.265400,0.259470,0.263110,454448935.0000
DOGEUSDT,2021.11.05,00:00:00,0.263110,0.263230,0.258000,0.261990,305089122.0000
DOGEUSDT,2021.11.05,04:00:00,0.261990,0.263470,0.260580,0.261860,214745494.0000
DOGEUSDT,2021.11.05,08:00:00,0.261820,0.271240,0.259430,0.260620,809224573.0000
DOGEUSDT,2021.11.05,12:00:00,0.260620,0.264270,0.256670,0.260970,538950477.0000
DOGEUSDT,2021.11.05,16:00:00,0.260960,0.262840,0.258870,0.260680,350068541.0000
DOGEUSDT,2021.11.05,20:00:00,0.260660,0.261480,0.258340,0.261060,208881126.0000
DOGEUSDT,2021.11.06,00:00:00,0.261070,0.267770,0.259820,0.263820,386983226.0000
DOGEUSDT,2021.11.06,04:00:00,0.263810,0.265740,0.259640,0.261260,289420671.0000
DOGEUSDT,2021.11.06,08:00:00,0.261270,0.262100,0.249520,0.255280,593859753.0000
DOGEUSDT,2021.11.06,12:00:00,0.255220,0.257620,0.252420,0.256620,337310998.0000
DOGEUSDT,2021.11.06,16:00:00,0.256610,0.263690,0.256030,0.261560,311231747.0000
DOGEUSDT,2021.11.06,20:00:00,0.261610,0.263830,0.260420,0.262070,277084902.0000
DOGEUSDT,2021.11.07,00:00:00,0.262080,0.264000,0.260300,0.262680,234333884.0000
DOGEUSDT,2021.11.07,04:00:00,0.262680,0.262770,0.258500,0.260070,200712137.0000
DOGEUSDT,2021.11.07,08:00:00,0.260060,0.267590,0.259100,0.263150,475600431.0000
DOGEUSDT,2021.11.07,12:00:00,0.263150,0.266600,0.261600,0.265670,405786694.0000
DOGEUSDT,2021.11.07,16:00:00,0.265680,0.270340,0.264350,0.265070,525520467.0000
DOGEUSDT,2021.11.07,20:00:00,0.265060,0.267980,0.263810,0.266790,268293524.0000
DOGEUSDT,2021.11.08,00:00:00,0.266790,0.274780,0.264670,0.269640,689286731.0000
DOGEUSDT,2021.11.08,04:00:00,0.269620,0.275690,0.269610,0.273210,653346684.0000
DOGEUSDT,2021.11.08,08:00:00,0.273210,0.297540,0.272810,0.284060,3751446241.0000
DOGEUSDT,2021.11.08,12:00:00,0.284050,0.284980,0.275420,0.280600,1314241509.0000
DOGEUSDT,2021.11.08,16:00:00,0.280610,0.284780,0.276330,0.281800,953186533.0000
DOGEUSDT,2021.11.08,20:00:00,0.281800,0.283580,0.277010,0.282150,671083590.0000
DOGEUSDT,2021.11.09,00:00:00,0.282150,0.290000,0.279310,0.284000,841674943.0000
DOGEUSDT,2021.11.09,04:00:00,0.283990,0.291000,0.278470,0.280240,804424470.0000
DOGEUSDT,2021.11.09,08:00:00,0.280240,0.282880,0.270100,0.276390,827517941.0000
DOGEUSDT,2021.11.09,12:00:00,0.276380,0.279620,0.271570,0.274490,839675052.0000
DOGEUSDT,2021.11.09,16:00:00,0.274490,0.277340,0.272430,0.275790,438017806.0000
DOGEUSDT,2021.11.09,20:00:00,0.275800,0.276690,0.273280,0.273960,284651670.0000
DOGEUSDT,2021.11.10,00:00:00,0.273960,0.276490,0.267590,0.270580,497976754.0000
DOGEUSDT,2021.11.10,04:00:00,0.270580,0.274100,0.265810,0.272440,403271636.0000
DOGEUSDT,2021.11.10,08:00:00,0.272480,0.275900,0.271540,0.272270,366193360.0000
DOGEUSDT,2021.11.10,12:00:00,0.272260,0.277770,0.268780,0.272120,804990539.0000
DOGEUSDT,2021.11.10,16:00:00,0.272120,0.273530,0.260100,0.261780,833004365.0000
DOGEUSDT,2021.11.10,20:00:00,0.261770,0.264660,0.230000,0.255320,2483867778.0000
DOGEUSDT,2021.11.11,00:00:00,0.255310,0.261950,0.253200,0.261220,533257909.0000
DOGEUSDT,2021.11.11,04:00:00,0.261270,0.264400,0.258820,0.261600,507821671.0000
DOGEUSDT,2021.11.11,08:00:00,0.261620,0.263100,0.258260,0.260920,459822378.0000
DOGEUSDT,2021.11.11,12:00:00,0.260920,0.271900,0.256000,0.266140,987246488.0000
DOGEUSDT,2021.11.11,16:00:00,0.266120,0.267270,0.260460,0.263480,443430790.0000
DOGEUSDT,2021.11.11,20:00:00,0.263480,0.263980,0.260580,0.260710,239076607.0000
DOGEUSDT,2021.11.12,00:00:00,0.260680,0.268940,0.258850,0.265740,615505358.0000
DOGEUSDT,2021.11.12,04:00:00,0.265770,0.266030,0.259240,0.260780,322305990.0000
DOGEUSDT,2021.11.12,08:00:00,0.260790,0.262670,0.253130,0.255110,734925206.0000
DOGEUSDT,2021.11.12,12:00:00,0.255110,0.257730,0.251610,0.254110,510873821.0000
DOGEUSDT,2021.11.12,16:00:00,0.254150,0.257880,0.248130,0.256100,554407956.0000
DOGEUSDT,2021.11.12,20:00:00,0.256090,0.260700,0.256010,0.259450,248462890.0000
DOGEUSDT,2021.11.13,00:00:00,0.259500,0.260970,0.255310,0.256630,209547577.0000
