<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,2021.01.01,00:00:00,737.180000,740.000000,730.440000,731.640000,46772.6090
ETHUSDT,2021.01.01,00:15:00,731.700000,732.990000,730.000000,732.360000,20375.1780
ETHUSDT,2021.01.01,00:30:00,732.360000,735.100000,732.210000,734.180000,14593.5250
ETHUSDT,2021.01.01,00:45:00,734.180000,736.350000,733.040000,734.600000,16351.2140
ETHUSDT,2021.01.01,01:00:00,734.610000,744.490000,734.000000,744.470000,42580.2010
ETHUSDT,2021.01.01,01:15:00,744.480000,744.620000,740.900000,743.410000,32808.0230
ETHUSDT,2021.01.01,01:30:00,743.390000,749.800000,741.780000,748.320000,57527.1370
ETHUSDT,2021.01.01,01:45:00,748.340000,750.400000,747.010000,749.330000,31168.7010
ETHUSDT,2021.01.01,02:00:00,749.370000,750.400000,745.110000,745.730000,24396.3670
ETHUSDT,2021.01.01,02:15:00,745.740000,747.930000,745.440000,746.350000,19551.3490
ETHUSDT,2021.01.01,02:30:00,746.350000,746.770000,743.230000,745.590000,23063.5390
ETHUSDT,2021.01.01,02:45:00,745.590000,748.000000,744.330000,745.150000,11509.4160
ETHUSDT,2021.01.01,03:00:00,745.150000,746.860000,744.290000,745.190000,9776.5390
ETHUSDT,2021.01.01,03:15:00,745.190000,746.510000,744.390000,746.350000,7720.7460
ETHUSDT,2021.01.01,03:30:00,746.340000,748.440000,745.210000,746.750000,15086.4070
ETHUSDT,2021.01.01,03:45:00,746.750000,747.960000,745.700000,745.880000,7710.8740
ETHUSDT,2021.01.01,04:00:00,745.900000,747.450000,744.600000,745.410000,10369.7020
ETHUSDT,2021.01.01,04:15:00,745.420000,748.040000,745.300000,746.370000,12433.1560
ETHUSDT,2021.01.01,04:30:00,746.370000,747.170000,740.410000,742.390000,26397.9140
ETHUSDT,2021.01.01,04:45:00,742.530000,744.450000,742.520000,743.400000,8865.2890
ETHUSDT,2021.01.01,05:00:00,743.460000,744.320000,740.460000,743.630000,14771.7370
ETHUSDT,2021.01.01,05:15:00,743.650000,743.920000,741.310000,742.320000,9464.7650
ETHUSDT,2021.01.01,05:30:00,742.320000,742.850000,740.420000,742.070000,8611.8190
ETHUSDT,2021.01.01,05:45:00,742.070000,743.220000,741.000000,741.610000,8300.2320
ETHUSDT,2021.01.01,06:00:00,741.730000,744.090000,741.730000,742.630000,11881.9030
ETHUSDT,2021.01.01,06:15:00,742.630000,743.690000,738.120000,738.450000,20677.7310
ETHUSDT,2021.01.01,06:30:00,738.480000,740.500000,737.800000,740.250000,13747.8180
ETHUSDT,2021.01.01,06:45:00,740.240000,740.880000,738.920000,740.760000,6658.8910
ETHUSDT,2021.01.01,07:00:00,740.760000,741.540000,735.100000,735.450000,36905.0540
ETHUSDT,2021.01.01,07:15:00,735.430000,739.490000,735.240000,736.810000,21199.5660
ETHUSDT,2021.01.01,07:30:00,736.750000,738.680000,735.550000,737.730000,11056.9980
ETHUSDT,2021.01.01,07:45:00,737.730000,738.680000,736.450000,738.180000,7275.0330
ETHUSDT,2021.01.01,08:00:00,738.180000,739.550000,733.270000,734.210000,30508.3980
ETHUSDT,2021.01.01,08:15:00,734.220000,734.430000,725.590000,731.010000,76252.9790
ETHUSDT,2021.01.01,08:30:00,731.020000,734.250000,727.370000,728.110000,29945.0620
ETHUSDT,2021.01.01,08:45:00,728.100000,732.840000,727.110000,731.010000,22861.3930
ETHUSDT,2021.01.01,09:00:00,731.010000,734.020000,730.000000,732.710000,15792.1980
ETHUSDT,2021.01.01,09:15:00,732.710000,735.230000,731.920000,734.010000,12680.1170
ETHUSDT,2021.01.01,09:30:00,734.000000,735.410000,733.330000,733.860000,16240.0570
ETHUSDT,2021.01.01,09:45:00,733.880000,735.500000,733.490000,734.380000,8562.3090
ETHUSDT,2021.01.01,10:00:00,734.380000,737.910000,733.810000,737.530000,21614.2680
ETHUSDT,2021.01.01,10:15:00,737.460000,737.460000,735.170000,736.000000,9335.7800
ETHUSDT,2021.01.01,10:30:00,736.010000,738.700000,735.740000,738.100000,12339.7450
ETHUSDT,2021.01.01,10:45:00,738.100000,739.520000,736.510000,737.690000,11376.0600
ETHUSDT,2021.01.01,11:00:00,737.690000,739.550000,736.700000,738.990000,12051.0430
ETHUSDT,2021.01.01,11:15:00,739.060000,741.900000,738.500000,741.500000,19628.0350
ETHUSDT,2021.01.01,11:30:00,741.490000,742.900000,739.210000,739.730000,15057.3700
ETHUSDT,2021.01.01,11:45:00,739.730000,740.800000,737.850000,739.880000,13157.1230
ETHUSDT,2021.01.01,12:00:00,739.890000,741.000000,735.330000,737.420000,28499.8210
ETHUSDT,2021.01.01,12:15:00,737.420000,741.900000,736.060000,741.360000,19854.3920
ETHUSDT,2021.01.01,12:30:00,741.360000,744.610000,740.000000,742.030000,52490.5060
ETHUSDT,2021.01.01,12:45:00,742.090000,742.280000,732.860000,734.030000,67160.6290
ETHUSDT,2021.01.01,13:00:00,733.970000,737.330000,733.820000,737.330000,21581.9900
ETHUSDT,2021.01.01,13:15:00,737.270000,738.880000,736.500000,738.880000,13333.5230
ETHUSDT,2021.01.01,13:30:00,738.880000,740.460000,737.170000,738.990000,15223.9890
ETHUSDT,2021.01.01,13:45:00,738.990000,743.300000,738.990000,741.060000,25804.1360
ETHUSDT,2021.01.01,14:00:00,741.080000,743.830000,738.260000,740.790000,28021.2630
ETHUSDT,2021.01.01,14:15:00,740.750000,741.870000,740.350000,741.080000,8961.7150
ETHUSDT,2021.01.01,14:30:00,741.080000,741.220000,738.010000,739.850000,14268.4330
ETHUSDT,2021.01.01,14:45:00,739.850000,740.030000,737.000000,738.810000,17905.3030
ETHUSDT,2021.01.01,15:00:00,738.800000,739.630000,736.590000,737.920000,9550.1610
ETHUSDT,2021.01.01,15:15:00,737.930000,740.850000,736.930000,740.110000,21529.7060
ETHUSDT,2021.01.01,15:30:00,740.120000,740.120000,734.130000,735.250000,28509.6240
ETHUSDT,2021.01.01,15:45:00,735.280000,737.800000,735.280000,736.060000,11166.8410
ETHUSDT,2021.01.01,16:00:00,736.110000,738.410000,733.620000,736.060000,21561.1800
ETHUSDT,2021.01.01,16:15:00,736.050000,737.780000,735.200000,736.460000,10014.3380
ETHUSDT,2021.01.01,16:30:00,736.480000,737.960000,735.700000,737.420000,7732.1550
ETHUSDT,2021.01.01,16:45:00,737.410000,738.430000,736.160000,736.590000,9201.0440
ETHUSDT,2021.01.01,17:00:00,736.570000,737.410000,735.160000,736.380000,9795.1640
ETHUSDT,2021.01.01,17:15:00,736.380000,736.980000,733.820000,734.740000,13108.6300
ETHUSDT,2021.01.01,17:30:00,734.670000,734.800000,729.620000,731.040000,40838.0230
ETHUSDT,2021.01.01,17:45:00,731.050000,731.060000,727.500000,729.020000,35550.1270
ETHUSDT,2021.01.01,18:00:00,728.800000,732.800000,726.520000,731.040000,36216.1300
ETHUSDT,2021.01.01,18:15:00,731.010000,731.390000,726.110000,727.870000,24502.2980
ETHUSDT,2021.01.01,18:30:00,727.750000,729.440000,720.600000,721.370000,61439.8320
ETHUSDT,2021.01.01,18:45:00,721.370000,725.760000,714.550000,725.140000,101065.1820
ETHUSDT,2021.01.01,19:00:00,725.150000,725.390000,721.640000,723.520000,25167.8030
ETHUSDT,2021.01.01,19:15:00,723.520000,726.120000,722.510000,724.420000,14329.9810
ETHUSDT,2021.01.01,19:30:00,724.420000,726.500000,722.650000,726.180000,13224.3560
ETHUSDT,2021.01.01,19:45:00,726.180000,729.000000,725.550000,725.680000,22455.9460
ETHUSDT,2021.01.01,20:00:00,725.690000,729.230000,722.880000,727.110000,26705.1520
ETHUSDT,2021.01.01,20:15:00,727.100000,730.000000,726.100000,728.820000,20167.6810
ETHUSDT,2021.01.01,20:30:00,728.820000,729.100000,727.400000,727.770000,8873.8520
ETHUSDT,2021.01.01,20:45:00,727.770000,731.560000,727.170000,730.010000,11153.2280
ETHUSDT,2021.01.01,21:00:00,730.090000,730.680000,728.740000,729.160000,11346.2420
ETHUSDT,2021.01.01,21:15:00,729.160000,730.940000,728.460000,730.390000,9726.4720
ETHUSDT,2021.01.01,21:30:00,730.390000,731.330000,728.600000,728.960000,12292.4580
ETHUSDT,2021.01.01,21:45:00,728.950000,729.960000,727.270000,728.890000,12682.4840
ETHUSDT,2021.01.01,22:00:00,728.890000,730.790000,726.600000,730.490000,11660.3420
ETHUSDT,2021.01.01,22:15:00,730.540000,732.860000,729.250000,732.350000,13181.7680
ETHUSDT,2021.01.01,22:30:00,732.360000,732.360000,729.250000,729.250000,6337.0780
ETHUSDT,2021.01.01,22:45:00,729.230000,730.670000,728.180000,729.530000,8177.3770
ETHUSDT,2021.01.01,23:00:00,729.570000,730.750000,728.580000,729.750000,6318.3070
ETHUSDT,2021.01.01,23:15:00,729.750000,730.910000,728.390000,729.510000,8000.5090
ETHUSDT,2021.01.01,23:30:00,729.500000,731.280000,728.910000,729.610000,9906.8350
ETHUSDT,2021.01.01,23:45:00,729.610000,730.070000,728.410000,729.770000,8685.8740
ETHUSDT,2021.01.02,00:00:00,729.700000,730.950000,724.640000,728.500000,33251.7460
ETHUSDT,2021.01.02,00:15:00,728.500000,728.510000,717.000000,718.520000,67917.5470
ETHUSDT,2021.01.02,00:30:00,718.510000,723.900000,717.000000,722.900000,34604.2400
ETHUSDT,2021.01.02,00:45:00,722.990000,723.200000,719.610000,720.800000,16793.5380
ETHUSDT,2021.01.02,01:00:00,720.810000,721.900000,715.600000,716.650000,26311.5010
ETHUSDT,2021.01.02,01:15:00,716.670000,722.210000,716.210000,720.770000,22531.1020
ETHUSDT,2021.01.02,01:30:00,720.790000,731.150000,720.570000,729.570000,67410.9670
ETHUSDT,2021.01.02,01:45:00,729.690000,732.570000,729.300000,730.200000,32476.2830
ETHUSDT,2021.01.02,02:00:00,730.190000,734.200000,730.110000,732.290000,28202.2480
ETHUSDT,2021.01.02,02:15:00,732.240000,734.620000,731.960000,734.470000,19015.5490
ETHUSDT,2021.01.02,02:30:00,734.400000,735.380000,731.740000,733.310000,23449.4880
ETHUSDT,2021.01.02,02:45:00,733.310000,734.190000,730.360000,730.690000,18034.2350
ETHUSDT,2021.01.02,03:00:00,730.680000,733.240000,730.500000,732.750000,12737.6700
ETHUSDT,2021.01.02,03:15:00,732.750000,732.750000,730.470000,731.530000,5407.4640
ETHUSDT,2021.01.02,03:30:00,731.540000,732.230000,729.550000,729.910000,10430.0910
ETHUSDT,2021.01.02,03:45:00,729.900000,731.860000,729.800000,731.420000,6722.1070
ETHUSDT,2021.01.02,04:00:00,731.440000,731.500000,727.050000,727.430000,16603.9020
ETHUSDT,2021.01.02,04:15:00,727.420000,729.600000,727.050000,728.870000,11336.0720
ETHUSDT,2021.01.02,04:30:00,728.870000,731.520000,727.710000,730.500000,18094.7780
ETHUSDT,2021.01.02,04:45:00,730.490000,731.050000,728.710000,730.210000,7431.8130
ETHUSDT,2021.01.02,05:00:00,730.200000,734.160000,730.030000,733.290000,24379.7470
ETHUSDT,2021.01.02,05:15:00,733.290000,733.410000,731.200000,732.640000,8359.8220
ETHUSDT,2021.01.02,05:30:00,732.630000,733.240000,731.680000,732.440000,10947.0700
ETHUSDT,2021.01.02,05:45:00,732.370000,732.840000,731.100000,732.840000,7162.6100
ETHUSDT,2021.01.02,06:00:00,732.840000,734.000000,731.280000,733.060000,13447.3250
ETHUSDT,2021.01.02,06:15:00,733.110000,733.590000,731.640000,732.830000,10157.0580
ETHUSDT,2021.01.02,06:30:00,732.820000,736.770000,732.490000,736.300000,31857.6650
ETHUSDT,2021.01.02,06:45:00,736.310000,741.700000,734.570000,737.880000,74392.7920
ETHUSDT,2021.01.02,07:00:00,737.870000,739.340000,735.600000,737.800000,25340.6670
ETHUSDT,2021.01.02,07:15:00,737.740000,737.870000,733.570000,736.010000,23823.8600
ETHUSDT,2021.01.02,07:30:00,736.010000,736.680000,734.300000,735.000000,10759.8070
ETHUSDT,2021.01.02,07:45:00,734.930000,736.700000,734.520000,735.820000,9880.2350
ETHUSDT,2021.01.02,08:00:00,735.760000,739.430000,732.060000,732.300000,38634.3420
ETHUSDT,2021.01.02,08:15:00,732.300000,733.320000,729.200000,732.400000,34206.3200
ETHUSDT,2021.01.02,08:30:00,732.380000,734.850000,731.020000,734.140000,13200.7360
ETHUSDT,2021.01.02,08:45:00,734.130000,735.200000,732.700000,734.510000,8316.4220
ETHUSDT,2021.01.02,09:00:00,734.510000,735.550000,733.060000,733.810000,14292.0820
ETHUSDT,2021.01.02,09:15:00,733.810000,735.240000,731.050000,731.050000,14270.8410
ETHUSDT,2021.01.02,09:30:00,731.110000,733.450000,730.000000,733.270000,18355.1020
ETHUSDT,2021.01.02,09:45:00,733.270000,733.860000,723.250000,726.310000,71761.4810
ETHUSDT,2021.01.02,10:00:00,726.290000,729.500000,724.000000,727.820000,32954.8760
ETHUSDT,2021.01.02,10:15:00,727.830000,734.410000,727.620000,732.990000,28298.4040
ETHUSDT,2021.01.02,10:30:00,733.000000,734.850000,730.660000,731.760000,16525.2860
ETHUSDT,2021.01.02,10:45:00,731.750000,731.960000,728.810000,729.420000,14492.1750
ETHUSDT,2021.01.02,11:00:00,729.410000,731.990000,729.020000,731.260000,8294.5450
ETHUSDT,2021.01.02,11:15:00,731.170000,731.320000,728.200000,728.660000,10833.7820
ETHUSDT,2021.01.02,11:30:00,728.660000,730.540000,728.290000,729.890000,6983.3360
ETHUSDT,2021.01.02,11:45:00,729.890000,731.500000,729.820000,730.500000,6923.8800
ETHUSDT,2021.01.02,12:00:00,730.470000,731.720000,729.380000,729.760000,9373.9550
ETHUSDT,2021.01.02,12:15:00,729.770000,743.970000,729.310000,740.820000,140075.4500
ETHUSDT,2021.01.02,12:30:00,740.740000,752.200000,737.620000,751.970000,111781.2260
ETHUSDT,2021.01.02,12:45:00,751.980000,758.770000,751.410000,753.780000,142461.4210
ETHUSDT,2021.01.02,13:00:00,753.780000,765.610000,750.550000,762.000000,110587.7190
ETHUSDT,2021.01.02,13:15:00,761.990000,772.000000,761.080000,765.220000,141441.5910
ETHUSDT,2021.01.02,13:30:00,765.240000,774.810000,762.500000,771.980000,119507.1620
ETHUSDT,2021.01.02,13:45:00,771.990000,773.000000,765.000000,772.350000,74444.6510
ETHUSDT,2021.01.02,14:00:00,772.430000,772.850000,762.900000,764.120000,65421.5270
ETHUSDT,2021.01.02,14:15:00,764.160000,764.920000,755.000000,755.240000,121781.4950
