<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,2026.05.26,23:00:00,1.163738,1.164009,1.163738,1.163738,100.0000
EURUSD,2026.05.26,23:15:00,1.163738,1.164144,1.163738,1.164009,100.0000
EURUSD,2026.05.26,23:30:00,1.164009,1.164551,1.164009,1.164280,100.0000
EURUSD,2026.05.26,23:45:00,1.164687,1.164687,1.164009,1.164009,100.0000
EURUSD,2026.05.27,00:00:00,1.164009,1.164551,1.164009,1.164280,100.0000
EURUSD,2026.05.27,00:15:00,1.164280,1.164687,1.164144,1.164144,100.0000
EURUSD,2026.05.27,00:30:00,1.164280,1.164687,1.164144,1.164280,100.0000
EURUSD,2026.05.27,00:45:00,1.164687,1.164687,1.164144,1.164144,100.0000
EURUSD,2026.05.27,01:00:00,1.164415,1.164551,1.164144,1.164280,100.0000
EURUSD,2026.05.27,01:15:00,1.164144,1.164551,1.164009,1.164009,100.0000
EURUSD,2026.05.27,01:30:00,1.164280,1.164280,1.163603,1.163738,100.0000
EURUSD,2026.05.27,01:45:00,1.163873,1.164009,1.163603,1.163738,100.0000
EURUSD,2026.05.27,02:00:00,1.164280,1.164415,1.163873,1.163873,100.0000
EURUSD,2026.05.27,02:15:00,1.164009,1.164415,1.163873,1.163873,100.0000
EURUSD,2026.05.27,02:30:00,1.163873,1.164415,1.163738,1.163738,100.0000
EURUSD,2026.05.27,02:45:00,1.163873,1.164415,1.163873,1.164144,100.0000
EURUSD,2026.05.27,03:00:00,1.164144,1.164822,1.164144,1.164280,100.0000
EURUSD,2026.05.27,03:15:00,1.164280,1.164687,1.164144,1.164280,100.0000
EURUSD,2026.05.27,03:30:00,1.164280,1.164551,1.164009,1.164144,100.0000
EURUSD,2026.05.27,03:45:00,1.164144,1.164551,1.164009,1.164551,100.0000
EURUSD,2026.05.27,04:00:00,1.164551,1.164687,1.164144,1.164415,100.0000
EURUSD,2026.05.27,04:15:00,1.164687,1.164687,1.164280,1.164280,100.0000
EURUSD,2026.05.27,04:30:00,1.164280,1.164822,1.164280,1.164415,100.0000
EURUSD,2026.05.27,04:45:00,1.164551,1.164958,1.164415,1.164551,100.0000
EURUSD,2026.05.27,05:00:00,1.164415,1.164958,1.164415,1.164958,100.0000
EURUSD,2026.05.27,05:15:00,1.164551,1.165094,1.164551,1.164687,100.0000
EURUSD,2026.05.27,05:30:00,1.164687,1.164687,1.164415,1.164415,100.0000
EURUSD,2026.05.27,05:45:00,1.164822,1.164822,1.164280,1.164280,100.0000
EURUSD,2026.05.27,06:00:00,1.164551,1.164822,1.164144,1.164144,100.0000
EURUSD,2026.05.27,06:15:00,1.164551,1.164687,1.164144,1.164280,100.0000
EURUSD,2026.05.27,06:30:00,1.164280,1.164958,1.164280,1.164687,100.0000
EURUSD,2026.05.27,06:45:00,1.165094,1.165501,1.164822,1.164958,100.0000
