<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GC,2026.06.08,04:00:00,4342.000000,4344.500000,4337.799805,4343.399902,282.0000
GC,2026.06.08,04:15:00,4343.299805,4346.399902,4340.200195,4344.000000,621.0000
GC,2026.06.08,04:30:00,4344.299805,4344.600098,4331.799805,4331.799805,699.0000
GC,2026.06.08,04:45:00,4332.200195,4338.000000,4331.799805,4337.200195,351.0000
GC,2026.06.08,05:00:00,4337.100098,4340.100098,4328.600098,4328.600098,622.0000
GC,2026.06.08,05:15:00,4328.799805,4339.000000,4328.600098,4336.200195,672.0000
GC,2026.06.08,05:30:00,4335.799805,4337.600098,4293.000000,4312.700195,5674.0000
GC,2026.06.08,05:45:00,4312.700195,4320.399902,4309.899902,4317.500000,1632.0000
GC,2026.06.08,06:00:00,4316.799805,4333.200195,4316.799805,4328.799805,2059.0000
GC,2026.06.08,06:15:00,4328.700195,4336.500000,4324.600098,4330.899902,1316.0000
GC,2026.06.08,06:30:00,4330.700195,4331.500000,4318.700195,4323.299805,1023.0000
GC,2026.06.08,06:45:00,4323.100098,4325.600098,4318.100098,4325.299805,788.0000
GC,2026.06.08,07:00:00,4325.100098,4333.799805,4320.000000,4330.200195,1153.0000
GC,2026.06.08,07:15:00,4330.500000,4342.000000,4324.600098,4331.399902,2055.0000
GC,2026.06.08,07:30:00,4331.700195,4336.600098,4326.600098,4326.899902,1409.0000
GC,2026.06.08,07:45:00,4327.200195,4327.799805,4319.299805,4319.899902,1162.0000
GC,2026.06.08,08:00:00,4319.299805,4322.399902,4314.700195,4316.500000,1654.0000
GC,2026.06.08,08:15:00,4316.700195,4318.399902,4309.600098,4312.100098,1720.0000
GC,2026.06.08,08:30:00,4312.799805,4316.500000,4310.700195,4315.100098,1321.0000
GC,2026.06.08,08:45:00,4315.100098,4318.299805,4310.200195,4313.100098,1878.0000
GC,2026.06.08,09:00:00,4313.500000,4316.799805,4308.799805,4313.700195,624.0000
GC,2026.06.08,09:15:00,4313.500000,4315.500000,4303.500000,4304.399902,1196.0000
GC,2026.06.08,09:30:00,4304.100098,4320.700195,4297.100098,4318.000000,4163.0000
GC,2026.06.08,09:45:00,4318.200195,4326.399902,4315.500000,4318.799805,1716.0000
GC,2026.06.08,10:00:00,4319.000000,4322.200195,4310.600098,4319.200195,1367.0000
GC,2026.06.08,10:15:00,4319.700195,4320.299805,4314.200195,4318.399902,749.0000
GC,2026.06.08,10:30:00,4318.200195,4330.299805,4316.600098,4329.200195,1849.0000
GC,2026.06.08,10:45:00,4329.500000,4329.500000,4321.399902,4326.399902,926.0000
GC,2026.06.08,11:00:00,4326.200195,4343.299805,4321.299805,4343.299805,1993.0000
GC,2026.06.08,11:15:00,4343.299805,4356.100098,4337.500000,4350.200195,4236.0000
GC,2026.06.08,11:30:00,4350.000000,4358.500000,4347.200195,4349.000000,1764.0000
GC,2026.06.08,11:45:00,4349.200195,4357.399902,4346.000000,4356.299805,1559.0000
GC,2026.06.08,12:00:00,4355.700195,4359.500000,4346.799805,4347.000000,2152.0000
GC,2026.06.08,12:15:00,4347.000000,4357.399902,4344.799805,4354.700195,1714.0000
GC,2026.06.08,12:30:00,4354.600098,4364.799805,4352.399902,4360.600098,3179.0000
GC,2026.06.08,12:45:00,4360.899902,4363.000000,4352.000000,4358.000000,1714.0000
GC,2026.06.08,13:00:00,4358.100098,4359.799805,4347.600098,4348.399902,2482.0000
GC,2026.06.08,13:15:00,4348.600098,4360.799805,4345.700195,4355.600098,1872.0000
GC,2026.06.08,13:30:00,4355.500000,4371.500000,4355.500000,4360.700195,4283.0000
GC,2026.06.08,13:45:00,4361.100098,4363.600098,4350.399902,4351.799805,3191.0000
GC,2026.06.08,14:00:00,4351.299805,4355.299805,4341.399902,4344.299805,4452.0000
GC,2026.06.08,14:15:00,4344.399902,4349.100098,4340.600098,4344.899902,2399.0000
GC,2026.06.08,14:30:00,4345.000000,4348.899902,4339.000000,4348.000000,2413.0000
GC,2026.06.08,14:45:00,4347.500000,4356.299805,4341.700195,4355.799805,2426.0000
GC,2026.06.08,15:00:00,4356.299805,4361.100098,4348.600098,4349.799805,2309.0000
GC,2026.06.08,15:15:00,4350.000000,4360.500000,4346.899902,4354.799805,2542.0000
GC,2026.06.08,15:30:00,4355.299805,4364.399902,4353.000000,4364.100098,1944.0000
GC,2026.06.08,15:45:00,4364.100098,4370.000000,4359.600098,4366.100098,2008.0000
GC,2026.06.08,16:00:00,4365.899902,4368.000000,4362.200195,4365.000000,1108.0000
GC,2026.06.08,16:15:00,4365.399902,4368.299805,4363.899902,4365.200195,894.0000
GC,2026.06.08,16:30:00,4365.200195,4371.000000,4364.899902,4368.500000,1152.0000
GC,2026.06.08,16:45:00,4368.299805,4370.600098,4362.200195,4365.000000,1104.0000
GC,2026.06.08,17:00:00,4365.100098,4366.799805,4360.200195,4363.100098,1118.0000
GC,2026.06.08,17:15:00,4363.299805,4364.799805,4357.700195,4363.299805,3166.0000
GC,2026.06.08,17:30:00,4363.600098,4364.000000,4356.600098,4358.600098,1578.0000
GC,2026.06.08,17:45:00,4358.600098,4363.799805,4358.299805,4363.399902,669.0000
GC,2026.06.08,18:00:00,4363.299805,4369.700195,4363.000000,4366.200195,1022.0000
GC,2026.06.08,18:15:00,4365.899902,4370.200195,4365.899902,4366.899902,994.0000
GC,2026.06.08,18:30:00,4366.700195,4368.899902,4360.299805,4360.899902,834.0000
GC,2026.06.08,18:45:00,4361.000000,4361.200195,4357.100098,4358.799805,1008.0000
GC,2026.06.08,19:00:00,4358.700195,4362.299805,4353.899902,4354.100098,816.0000
GC,2026.06.08,19:15:00,4354.000000,4355.899902,4350.299805,4352.000000,1051.0000
GC,2026.06.08,19:30:00,4351.700195,4354.799805,4348.399902,4349.100098,1057.0000
GC,2026.06.08,19:45:00,4349.100098,4354.000000,4346.600098,4350.299805,1581.0000
GC,2026.06.08,20:00:00,4350.500000,4353.799805,4350.399902,4352.000000,621.0000
GC,2026.06.08,20:15:00,4352.000000,4352.200195,4348.000000,4350.000000,321.0000
GC,2026.06.08,20:30:00,4350.899902,4352.399902,4349.200195,4350.000000,183.0000
GC,2026.06.08,20:45:00,4350.500000,4354.399902,4349.399902,4353.799805,271.0000
GC,2026.06.08,22:00:00,4354.700195,4358.600098,4347.600098,4348.500000,464.0000
GC,2026.06.08,22:15:00,4348.100098,4363.399902,4345.799805,4348.399902,228.0000
GC,2026.06.08,22:30:00,4349.299805,4350.700195,4348.299805,4350.700195,121.0000
GC,2026.06.08,22:45:00,4351.100098,4352.100098,4349.299805,4351.500000,202.0000
GC,2026.06.08,23:00:00,4350.899902,4352.399902,4348.399902,4351.200195,158.0000
GC,2026.06.08,23:15:00,4351.100098,4351.600098,4343.700195,4344.000000,301.0000
GC,2026.06.08,23:30:00,4343.899902,4345.299805,4337.700195,4343.299805,457.0000
GC,2026.06.08,23:45:00,4343.000000,4343.299805,4336.000000,4340.899902,978.0000
GC,2026.06.09,00:00:00,4340.899902,4347.500000,4338.799805,4346.299805,629.0000
GC,2026.06.09,00:15:00,4346.299805,4347.299805,4340.299805,4340.600098,403.0000
GC,2026.06.09,00:30:00,4341.000000,4347.100098,4338.799805,4342.299805,838.0000
GC,2026.06.09,00:45:00,4342.600098,4345.600098,4339.200195,4344.100098,582.0000
GC,2026.06.09,01:00:00,4344.000000,4352.600098,4342.500000,4348.200195,1011.0000
GC,2026.06.09,01:15:00,4347.899902,4362.399902,4346.700195,4359.799805,1226.0000
GC,2026.06.09,01:30:00,4359.899902,4362.899902,4357.299805,4360.000000,798.0000
GC,2026.06.09,01:45:00,4360.100098,4362.899902,4357.500000,4360.799805,1035.0000
GC,2026.06.09,02:00:00,4360.899902,4361.600098,4352.700195,4357.100098,824.0000
GC,2026.06.09,02:15:00,4357.100098,4360.600098,4354.600098,4360.200195,440.0000
GC,2026.06.09,02:30:00,4359.899902,4364.000000,4355.500000,4363.000000,591.0000
GC,2026.06.09,02:45:00,4363.600098,4365.700195,4359.000000,4360.399902,603.0000
GC,2026.06.09,03:00:00,4360.100098,4366.000000,4355.200195,4362.799805,948.0000
GC,2026.06.09,03:15:00,4364.299805,4366.500000,4357.700195,4360.700195,624.0000
GC,2026.06.09,03:30:00,4361.100098,4362.299805,4357.799805,4361.899902,465.0000
GC,2026.06.09,03:45:00,4362.299805,4366.399902,4359.000000,4359.799805,576.0000
GC,2026.06.09,04:00:00,4360.799805,4364.100098,4356.899902,4356.899902,643.0000
GC,2026.06.09,04:15:00,4356.600098,4357.299805,4353.200195,4355.000000,391.0000
GC,2026.06.09,04:30:00,4355.200195,4355.299805,4348.600098,4352.600098,876.0000
GC,2026.06.09,04:45:00,4352.299805,4357.299805,4350.899902,4356.500000,466.0000
GC,2026.06.09,05:00:00,4356.899902,4361.600098,4355.200195,4355.600098,570.0000
GC,2026.06.09,05:15:00,4355.600098,4359.799805,4354.799805,4356.799805,346.0000
GC,2026.06.09,05:30:00,4356.299805,4375.700195,4355.700195,4372.700195,1502.0000
GC,2026.06.09,05:45:00,4373.200195,4373.600098,4365.899902,4367.899902,920.0000
