<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GC,2024.03.26,04:00:00,2170.699951,2174.699951,2169.899902,2173.500000,8411.0000
GC,2024.03.26,08:00:00,2173.500000,2200.600098,2172.100098,2197.199951,49892.0000
GC,2024.03.26,12:00:00,2197.100098,2198.000000,2172.199951,2174.800049,85196.0000
GC,2024.03.26,16:00:00,2174.800049,2179.600098,2174.699951,2178.600098,37475.0000
GC,2024.03.26,20:00:00,2178.600098,2179.800049,2175.300049,2178.000000,1376.0000
GC,2024.03.27,00:00:00,2178.500000,2180.300049,2172.100098,2177.000000,2578.0000
GC,2024.03.27,04:00:00,2176.600098,2201.399902,2174.500000,2201.199951,28517.0000
GC,2024.03.27,08:00:00,2201.199951,2218.300049,2175.500000,2209.199951,47026.0000
GC,2024.03.27,12:00:00,2209.199951,2216.100098,2182.300049,2211.199951,70373.0000
GC,2024.03.27,16:00:00,2189.000000,2214.899902,2187.699951,2214.100098,30394.0000
GC,2024.03.27,20:00:00,2214.000000,2215.899902,2190.000000,2210.899902,4816.0000
GC,2024.03.28,00:00:00,2211.000000,2217.199951,2187.100098,2215.000000,14184.0000
GC,2024.03.28,04:00:00,2215.399902,2222.199951,2193.399902,2214.000000,17323.0000
GC,2024.03.28,08:00:00,2214.000000,2234.399902,2191.800049,2231.100098,52650.0000
GC,2024.03.28,12:00:00,2231.000000,2238.699951,2204.000000,2236.399902,91978.0000
GC,2024.03.28,16:00:00,2236.399902,2246.800049,2215.199951,2242.500000,50271.0000
GC,2024.03.28,20:00:00,2242.399902,2256.899902,2240.199951,2254.800049,9752.0000
GC,2024.03.31,20:00:00,2259.199951,2267.800049,2255.500000,2266.199951,12840.0000
GC,2024.04.01,00:00:00,2266.399902,2285.899902,2264.199951,2285.399902,32674.0000
GC,2024.04.01,04:00:00,2285.300049,2286.399902,2277.600098,2278.300049,17929.0000
GC,2024.04.01,08:00:00,2278.199951,2280.800049,2266.199951,2267.199951,25169.0000
GC,2024.04.01,12:00:00,2267.300049,2279.000000,2249.100098,2260.300049,87570.0000
GC,2024.04.01,16:00:00,2260.300049,2265.199951,2255.100098,2265.100098,29854.0000
GC,2024.04.01,20:00:00,2265.100098,2276.000000,2263.500000,2269.399902,8809.0000
GC,2024.04.02,00:00:00,2269.300049,2275.699951,2267.100098,2271.600098,21553.0000
GC,2024.04.02,04:00:00,2271.800049,2280.100098,2270.399902,2276.800049,19747.0000
