<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LINKUSDT,2023.09.21,10:00:00,6.724000,6.752000,6.679000,6.686000,2831037.5200
LINKUSDT,2023.09.21,11:00:00,6.686000,6.730000,6.675000,6.704000,1433140.5600
LINKUSDT,2023.09.21,12:00:00,6.704000,6.746000,6.689000,6.698000,2291600.5200
LINKUSDT,2023.09.21,13:00:00,6.697000,6.700000,6.603000,6.654000,3062079.2700
LINKUSDT,2023.09.21,14:00:00,6.654000,6.738000,6.645000,6.730000,1632115.2900
LINKUSDT,2023.09.21,15:00:00,6.730000,6.783000,6.725000,6.744000,1418584.0500
LINKUSDT,2023.09.21,16:00:00,6.743000,6.745000,6.704000,6.711000,1260243.1200
LINKUSDT,2023.09.21,17:00:00,6.710000,6.754000,6.709000,6.744000,737284.3700
LINKUSDT,2023.09.21,18:00:00,6.744000,6.764000,6.721000,6.750000,506961.1700
LINKUSDT,2023.09.21,19:00:00,6.750000,6.761000,6.710000,6.716000,770508.9700
LINKUSDT,2023.09.21,20:00:00,6.717000,6.730000,6.681000,6.718000,940919.1500
LINKUSDT,2023.09.21,21:00:00,6.718000,6.726000,6.669000,6.724000,619567.9700
LINKUSDT,2023.09.21,22:00:00,6.724000,6.727000,6.686000,6.708000,413327.3200
LINKUSDT,2023.09.21,23:00:00,6.708000,6.713000,6.658000,6.662000,530103.7100
LINKUSDT,2023.09.22,00:00:00,6.663000,6.706000,6.585000,6.694000,2342819.8900
LINKUSDT,2023.09.22,01:00:00,6.693000,6.716000,6.646000,6.691000,935476.1500
LINKUSDT,2023.09.22,02:00:00,6.692000,6.720000,6.659000,6.665000,616973.3900
LINKUSDT,2023.09.22,03:00:00,6.664000,6.713000,6.658000,6.694000,911216.3800
LINKUSDT,2023.09.22,04:00:00,6.695000,6.715000,6.664000,6.665000,662102.6400
LINKUSDT,2023.09.22,05:00:00,6.666000,6.700000,6.637000,6.698000,782811.7800
LINKUSDT,2023.09.22,06:00:00,6.699000,6.714000,6.670000,6.675000,753795.3000
LINKUSDT,2023.09.22,07:00:00,6.675000,6.700000,6.641000,6.691000,746600.0700
LINKUSDT,2023.09.22,08:00:00,6.691000,6.742000,6.687000,6.734000,1134349.3300
LINKUSDT,2023.09.22,09:00:00,6.733000,6.753000,6.703000,6.738000,794998.3900
LINKUSDT,2023.09.22,10:00:00,6.739000,6.764000,6.720000,6.725000,1060188.2800
LINKUSDT,2023.09.22,11:00:00,6.726000,6.786000,6.726000,6.781000,937371.5700
LINKUSDT,2023.09.22,12:00:00,6.781000,6.786000,6.738000,6.753000,839772.3400
LINKUSDT,2023.09.22,13:00:00,6.752000,6.758000,6.708000,6.732000,978107.6100
LINKUSDT,2023.09.22,14:00:00,6.733000,6.778000,6.715000,6.776000,1069880.4500
LINKUSDT,2023.09.22,15:00:00,6.776000,6.795000,6.757000,6.764000,935248.6700
LINKUSDT,2023.09.22,16:00:00,6.763000,6.790000,6.733000,6.741000,1221289.2000
LINKUSDT,2023.09.22,17:00:00,6.741000,6.824000,6.725000,6.820000,1436386.4900
LINKUSDT,2023.09.22,18:00:00,6.819000,6.930000,6.802000,6.909000,2497233.7100
