<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NQ,2024.03.26,04:00:00,18523.250000,18608.750000,18523.250000,18570.500000,17436.0000
NQ,2024.03.26,08:00:00,18570.250000,18619.000000,18565.250000,18613.500000,28669.0000
NQ,2024.03.26,12:00:00,18613.750000,18616.750000,18534.000000,18581.000000,228415.0000
NQ,2024.03.26,16:00:00,18580.250000,18588.750000,18439.250000,18450.500000,201940.0000
NQ,2024.03.26,20:00:00,18450.250000,18493.250000,18447.500000,18489.750000,19491.0000
NQ,2024.03.27,00:00:00,18489.500000,18502.000000,18481.750000,18496.250000,10577.0000
NQ,2024.03.27,04:00:00,18497.250000,18524.000000,18470.500000,18479.000000,18086.0000
NQ,2024.03.27,08:00:00,18478.500000,18541.750000,18478.500000,18521.750000,31111.0000
NQ,2024.03.27,12:00:00,18521.750000,18571.750000,18378.500000,18395.500000,286956.0000
NQ,2024.03.27,16:00:00,18396.000000,18507.750000,18392.000000,18507.000000,222640.0000
NQ,2024.03.27,20:00:00,18506.750000,18526.250000,18474.750000,18480.250000,21802.0000
NQ,2024.03.28,00:00:00,18480.250000,18505.250000,18479.500000,18493.500000,12266.0000
NQ,2024.03.28,04:00:00,18494.500000,18509.500000,18482.750000,18505.000000,10953.0000
NQ,2024.03.28,08:00:00,18505.500000,18514.750000,18462.000000,18491.250000,28298.0000
NQ,2024.03.28,12:00:00,18491.750000,18538.750000,18457.250000,18516.500000,227194.0000
NQ,2024.03.28,16:00:00,18516.750000,18518.000000,18448.750000,18463.000000,199150.0000
NQ,2024.03.28,20:00:00,18462.500000,18476.250000,18447.500000,18465.000000,19078.0000
NQ,2024.03.31,20:00:00,18503.000000,18612.000000,18500.500000,18608.500000,15010.0000
NQ,2024.04.01,00:00:00,18608.500000,18611.000000,18563.250000,18584.250000,18083.0000
NQ,2024.04.01,04:00:00,18584.750000,18602.750000,18567.000000,18597.000000,13428.0000
NQ,2024.04.01,08:00:00,18597.250000,18597.750000,18528.000000,18542.000000,22239.0000
NQ,2024.04.01,12:00:00,18542.250000,18607.000000,18420.500000,18425.250000,300455.0000
NQ,2024.04.01,16:00:00,18425.500000,18514.250000,18414.500000,18495.250000,177645.0000
NQ,2024.04.01,20:00:00,18495.250000,18505.750000,18458.500000,18470.250000,18155.0000
NQ,2024.04.02,00:00:00,18470.500000,18490.500000,18457.750000,18479.500000,11243.0000
NQ,2024.04.02,04:00:00,18479.000000,18500.000000,18447.000000,18463.750000,21686.0000
NQ,2024.04.02,08:00:00,18464.500000,18511.000000,18399.250000,18403.000000,43419.0000
NQ,2024.04.02,12:00:00,18403.250000,18414.500000,18201.500000,18233.250000,326189.0000
NQ,2024.04.02,16:00:00,18233.000000,18347.000000,18231.250000,18330.750000,184821.0000
NQ,2024.04.02,20:00:00,18330.750000,18348.750000,18324.250000,18328.500000,14578.0000
NQ,2024.04.03,00:00:00,18327.750000,18329.250000,18291.750000,18310.750000,15390.0000
NQ,2024.04.03,04:00:00,18310.000000,18311.250000,18263.250000,18273.000000,22154.0000
NQ,2024.04.03,08:00:00,18272.000000,18311.000000,18253.250000,18305.000000,33913.0000
NQ,2024.04.03,12:00:00,18304.500000,18451.750000,18232.500000,18403.750000,256756.0000
NQ,2024.04.03,16:00:00,18403.750000,18439.500000,18303.000000,18371.000000,239549.0000
NQ,2024.04.03,20:00:00,18371.000000,18485.000000,18369.000000,18446.500000,24648.0000
NQ,2024.04.04,00:00:00,18445.500000,18454.000000,18430.500000,18452.500000,9572.0000
NQ,2024.04.04,04:00:00,18453.250000,18461.750000,18410.750000,18440.250000,16372.0000
NQ,2024.04.04,08:00:00,18440.750000,18464.000000,18436.000000,18454.000000,22440.0000
NQ,2024.04.04,12:00:00,18454.500000,18568.000000,18442.250000,18534.750000,225279.0000
NQ,2024.04.04,16:00:00,18534.750000,18566.750000,18069.250000,18075.500000,449457.0000
NQ,2024.04.04,20:00:00,18075.250000,18118.750000,18055.250000,18091.500000,31770.0000
NQ,2024.04.05,00:00:00,18091.750000,18110.750000,18053.250000,18110.750000,19861.0000
NQ,2024.04.05,04:00:00,18110.000000,18140.000000,18096.750000,18135.500000,25721.0000
NQ,2024.04.05,08:00:00,18134.500000,18166.500000,18120.250000,18144.750000,28890.0000
NQ,2024.04.05,12:00:00,18144.500000,18366.750000,18051.500000,18356.750000,381385.0000
NQ,2024.04.05,16:00:00,18356.750000,18408.250000,18251.250000,18294.000000,312554.0000
NQ,2024.04.05,20:00:00,18293.500000,18311.750000,18282.500000,18311.000000,13783.0000
NQ,2024.04.07,20:00:00,18348.250000,18372.250000,18305.500000,18318.500000,8509.0000
NQ,2024.04.08,00:00:00,18319.500000,18333.500000,18270.250000,18284.000000,18469.0000
NQ,2024.04.08,04:00:00,18285.000000,18344.750000,18276.750000,18323.500000,21647.0000
NQ,2024.04.08,08:00:00,18323.500000,18333.500000,18246.500000,18302.000000,39184.0000
NQ,2024.04.08,12:00:00,18302.000000,18376.000000,18237.500000,18301.250000,251035.0000
NQ,2024.04.08,16:00:00,18301.250000,18332.000000,18252.000000,18297.000000,172345.0000
NQ,2024.04.08,20:00:00,18297.000000,18325.000000,18295.000000,18302.250000,10943.0000
NQ,2024.04.09,00:00:00,18301.500000,18306.750000,18285.000000,18303.000000,9121.0000
NQ,2024.04.09,04:00:00,18303.500000,18334.500000,18266.000000,18276.500000,18502.0000
NQ,2024.04.09,08:00:00,18276.000000,18344.500000,18253.500000,18340.750000,42418.0000
NQ,2024.04.09,12:00:00,18340.250000,18405.000000,18160.750000,18261.000000,356372.0000
NQ,2024.04.09,16:00:00,18261.250000,18365.250000,18215.500000,18362.000000,235367.0000
NQ,2024.04.09,20:00:00,18361.750000,18407.250000,18359.500000,18368.500000,27215.0000
NQ,2024.04.10,00:00:00,18369.000000,18385.250000,18366.750000,18378.500000,6984.0000
NQ,2024.04.10,04:00:00,18378.250000,18402.250000,18369.500000,18390.750000,12638.0000
NQ,2024.04.10,08:00:00,18391.000000,18411.500000,18341.250000,18382.500000,28140.0000
NQ,2024.04.10,12:00:00,18382.250000,18474.250000,18053.500000,18144.500000,454372.0000
NQ,2024.04.10,16:00:00,18144.750000,18225.000000,18114.000000,18191.750000,339158.0000
NQ,2024.04.10,20:00:00,18191.500000,18199.000000,18142.250000,18158.750000,22783.0000
NQ,2024.04.11,00:00:00,18159.250000,18205.500000,18150.750000,18199.250000,14114.0000
NQ,2024.04.11,04:00:00,18199.000000,18217.000000,18188.000000,18200.500000,18751.0000
NQ,2024.04.11,08:00:00,18201.000000,18211.250000,18112.000000,18125.000000,45018.0000
NQ,2024.04.11,12:00:00,18125.500000,18322.500000,18088.000000,18317.000000,343581.0000
NQ,2024.04.11,16:00:00,18317.000000,18518.750000,18287.750000,18482.000000,273368.0000
NQ,2024.04.11,20:00:00,18482.000000,18500.750000,18473.000000,18490.000000,18412.0000
NQ,2024.04.12,00:00:00,18491.000000,18500.000000,18474.750000,18489.750000,9428.0000
NQ,2024.04.12,04:00:00,18489.000000,18507.750000,18466.000000,18469.250000,19787.0000
NQ,2024.04.12,08:00:00,18469.250000,18481.750000,18360.000000,18412.250000,56911.0000
NQ,2024.04.12,12:00:00,18413.250000,18429.250000,18193.250000,18255.750000,341828.0000
NQ,2024.04.12,16:00:00,18255.750000,18268.000000,18120.250000,18181.000000,320918.0000
NQ,2024.04.12,20:00:00,18180.750000,18195.750000,18168.250000,18172.500000,16187.0000
NQ,2024.04.14,20:00:00,18151.000000,18255.000000,18146.750000,18237.500000,20507.0000
NQ,2024.04.15,00:00:00,18237.500000,18247.000000,18192.500000,18233.000000,22344.0000
