<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTY,2026.06.08,04:00:00,2845.199951,2846.000000,2842.699951,2843.399902,100.0000
RTY,2026.06.08,04:05:00,2843.199951,2844.000000,2841.800049,2843.500000,50.0000
RTY,2026.06.08,04:10:00,2843.199951,2843.199951,2841.699951,2842.399902,66.0000
RTY,2026.06.08,04:15:00,2842.399902,2844.699951,2841.300049,2841.300049,55.0000
RTY,2026.06.08,04:20:00,2841.399902,2841.399902,2839.800049,2840.199951,89.0000
RTY,2026.06.08,04:25:00,2840.100098,2841.800049,2840.100098,2841.399902,25.0000
RTY,2026.06.08,04:30:00,2841.899902,2842.500000,2838.199951,2839.199951,92.0000
RTY,2026.06.08,04:35:00,2839.100098,2840.300049,2838.500000,2839.100098,51.0000
RTY,2026.06.08,04:40:00,2839.300049,2839.300049,2836.000000,2837.000000,61.0000
RTY,2026.06.08,04:45:00,2836.500000,2839.199951,2836.500000,2837.500000,37.0000
RTY,2026.06.08,04:50:00,2838.100098,2839.699951,2838.000000,2838.000000,43.0000
RTY,2026.06.08,04:55:00,2837.800049,2837.800049,2835.300049,2835.800049,63.0000
RTY,2026.06.08,05:00:00,2836.100098,2840.100098,2836.000000,2840.100098,90.0000
RTY,2026.06.08,05:05:00,2839.100098,2839.100098,2836.399902,2836.800049,59.0000
RTY,2026.06.08,05:10:00,2837.300049,2837.300049,2833.399902,2833.399902,103.0000
RTY,2026.06.08,05:15:00,2834.000000,2837.199951,2833.199951,2836.800049,94.0000
RTY,2026.06.08,05:20:00,2836.300049,2837.300049,2835.899902,2836.000000,27.0000
RTY,2026.06.08,05:25:00,2835.899902,2836.899902,2833.800049,2836.199951,43.0000
RTY,2026.06.08,05:30:00,2834.800049,2835.100098,2831.800049,2832.000000,67.0000
RTY,2026.06.08,05:35:00,2831.399902,2832.500000,2828.600098,2831.600098,196.0000
RTY,2026.06.08,05:40:00,2831.600098,2831.600098,2828.100098,2829.000000,165.0000
RTY,2026.06.08,05:45:00,2829.300049,2829.500000,2827.300049,2827.899902,71.0000
RTY,2026.06.08,05:50:00,2827.899902,2830.500000,2827.800049,2827.800049,147.0000
RTY,2026.06.08,05:55:00,2828.399902,2830.000000,2828.100098,2830.000000,157.0000
RTY,2026.06.08,06:00:00,2830.000000,2833.800049,2828.899902,2832.800049,488.0000
RTY,2026.06.08,06:05:00,2832.399902,2833.300049,2830.399902,2831.899902,166.0000
RTY,2026.06.08,06:10:00,2832.300049,2832.699951,2830.100098,2830.300049,121.0000
RTY,2026.06.08,06:15:00,2830.300049,2832.300049,2829.500000,2832.199951,86.0000
RTY,2026.06.08,06:20:00,2832.899902,2835.199951,2832.800049,2834.199951,102.0000
RTY,2026.06.08,06:25:00,2834.199951,2838.100098,2831.899902,2837.600098,246.0000
RTY,2026.06.08,06:30:00,2837.300049,2838.500000,2835.500000,2835.500000,144.0000
RTY,2026.06.08,06:35:00,2835.699951,2836.500000,2832.699951,2834.300049,322.0000
RTY,2026.06.08,06:40:00,2833.800049,2836.000000,2833.000000,2835.899902,125.0000
RTY,2026.06.08,06:45:00,2835.899902,2836.199951,2834.199951,2834.300049,134.0000
RTY,2026.06.08,06:50:00,2834.300049,2836.000000,2833.399902,2834.699951,323.0000
RTY,2026.06.08,06:55:00,2834.699951,2836.100098,2833.800049,2835.300049,189.0000
RTY,2026.06.08,07:00:00,2835.300049,2838.399902,2834.300049,2837.000000,493.0000
RTY,2026.06.08,07:05:00,2837.000000,2839.300049,2835.800049,2838.899902,209.0000
RTY,2026.06.08,07:10:00,2839.000000,2842.699951,2838.500000,2841.300049,247.0000
RTY,2026.06.08,07:15:00,2841.300049,2844.399902,2838.399902,2843.500000,384.0000
RTY,2026.06.08,07:20:00,2843.399902,2849.100098,2843.399902,2848.899902,547.0000
RTY,2026.06.08,07:25:00,2848.899902,2849.800049,2847.800049,2849.100098,427.0000
RTY,2026.06.08,07:30:00,2849.300049,2850.800049,2848.500000,2849.100098,292.0000
RTY,2026.06.08,07:35:00,2849.000000,2852.100098,2848.500000,2851.800049,1187.0000
RTY,2026.06.08,07:40:00,2851.600098,2851.899902,2850.399902,2851.699951,154.0000
RTY,2026.06.08,07:45:00,2851.800049,2854.899902,2851.100098,2853.300049,435.0000
RTY,2026.06.08,07:50:00,2853.199951,2854.100098,2850.100098,2850.699951,333.0000
RTY,2026.06.08,07:55:00,2850.699951,2851.500000,2849.600098,2849.800049,170.0000
RTY,2026.06.08,08:00:00,2849.600098,2850.199951,2848.500000,2849.500000,835.0000
RTY,2026.06.08,08:05:00,2849.399902,2850.399902,2848.800049,2849.600098,366.0000
RTY,2026.06.08,08:10:00,2849.600098,2849.699951,2847.300049,2848.600098,579.0000
RTY,2026.06.08,08:15:00,2848.600098,2850.600098,2848.100098,2849.899902,239.0000
RTY,2026.06.08,08:20:00,2849.899902,2849.899902,2846.600098,2847.500000,223.0000
RTY,2026.06.08,08:25:00,2847.500000,2849.199951,2847.000000,2848.500000,157.0000
RTY,2026.06.08,08:30:00,2848.199951,2850.500000,2847.800049,2850.199951,250.0000
RTY,2026.06.08,08:35:00,2850.100098,2851.100098,2848.500000,2848.899902,280.0000
RTY,2026.06.08,08:40:00,2848.600098,2848.800049,2846.000000,2847.800049,184.0000
RTY,2026.06.08,08:45:00,2847.399902,2848.800049,2844.600098,2848.300049,192.0000
RTY,2026.06.08,08:50:00,2848.600098,2849.100098,2845.399902,2846.699951,193.0000
RTY,2026.06.08,08:55:00,2846.600098,2848.000000,2845.399902,2847.199951,137.0000
