<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SI,2024.03.26,04:00:00,24.780001,24.815001,24.775000,24.805000,100.0000
SI,2024.03.26,05:00:00,24.805000,24.815001,24.730000,24.754999,1311.0000
SI,2024.03.26,06:00:00,24.750000,24.809999,24.684999,24.719999,2200.0000
SI,2024.03.26,07:00:00,24.725000,24.750000,24.670000,24.715000,1437.0000
SI,2024.03.26,08:00:00,24.715000,24.805000,24.655001,24.785000,1690.0000
SI,2024.03.26,09:00:00,24.790001,24.980000,24.780001,24.875000,4545.0000
SI,2024.03.26,10:00:00,24.875000,24.924999,24.844999,24.915001,2767.0000
SI,2024.03.26,11:00:00,24.915001,25.004999,24.879999,25.004999,3431.0000
SI,2024.03.26,12:00:00,25.010000,25.055000,24.855000,24.889999,5484.0000
SI,2024.03.26,13:00:00,24.889999,24.955000,24.695000,24.735001,8236.0000
SI,2024.03.26,14:00:00,24.740000,24.795000,24.660000,24.715000,7409.0000
SI,2024.03.26,15:00:00,24.715000,24.740000,24.514999,24.594999,9016.0000
SI,2024.03.26,16:00:00,24.590000,24.665001,24.565001,24.635000,3469.0000
SI,2024.03.26,17:00:00,24.635000,24.674999,24.594999,24.605000,4766.0000
SI,2024.03.26,18:00:00,24.600000,24.635000,24.570000,24.575001,2066.0000
SI,2024.03.26,19:00:00,24.575001,24.594999,24.555000,24.565001,2291.0000
SI,2024.03.26,20:00:00,24.565001,24.622999,24.549999,24.605000,1271.0000
SI,2024.03.26,22:00:00,24.594999,24.594999,24.535000,24.535000,100.0000
SI,2024.03.26,23:00:00,24.535000,24.575001,24.535000,24.575001,246.0000
SI,2024.03.27,00:00:00,24.570000,24.610001,24.540001,24.559999,853.0000
SI,2024.03.27,01:00:00,24.559999,24.615000,24.445000,24.495001,2325.0000
SI,2024.03.27,02:00:00,24.495001,24.575001,24.480000,24.540001,1265.0000
SI,2024.03.27,03:00:00,24.535000,24.594999,24.530001,24.575001,1000.0000
SI,2024.03.27,04:00:00,24.570000,24.600000,24.549999,24.580000,432.0000
SI,2024.03.27,05:00:00,24.580000,24.594999,24.540001,24.559999,711.0000
SI,2024.03.27,06:00:00,24.555000,24.639999,24.555000,24.610001,1481.0000
SI,2024.03.27,07:00:00,24.610001,24.635000,24.535000,24.594999,1785.0000
SI,2024.03.27,08:00:00,24.594999,24.600000,24.525000,24.525000,1286.0000
SI,2024.03.27,09:00:00,24.520000,24.639999,24.510000,24.615000,3162.0000
SI,2024.03.27,10:00:00,24.610001,24.735001,24.605000,24.709999,3097.0000
SI,2024.03.27,11:00:00,24.705000,24.754999,24.629999,24.629999,3257.0000
SI,2024.03.27,12:00:00,24.625000,24.670000,24.570000,24.584999,4858.0000
SI,2024.03.27,13:00:00,24.580000,24.790001,24.549999,24.740000,9333.0000
SI,2024.03.27,14:00:00,24.740000,24.754999,24.665001,24.725000,4880.0000
SI,2024.03.27,15:00:00,24.719999,24.745001,24.594999,24.650000,3725.0000
SI,2024.03.27,16:00:00,24.655001,24.725000,24.629999,24.715000,2681.0000
SI,2024.03.27,17:00:00,24.719999,24.775000,24.684999,24.705000,4870.0000
SI,2024.03.27,18:00:00,24.709999,24.745001,24.680000,24.745001,1099.0000
SI,2024.03.27,19:00:00,24.745001,24.750000,24.695000,24.735001,1573.0000
SI,2024.03.27,20:00:00,24.740000,24.775000,24.725000,24.764999,858.0000
SI,2024.03.27,22:00:00,24.770000,24.770000,24.680000,24.695000,100.0000
SI,2024.03.27,23:00:00,24.695000,24.709999,24.670000,24.674999,518.0000
SI,2024.03.28,00:00:00,24.674999,24.705000,24.635000,24.674999,496.0000
SI,2024.03.28,01:00:00,24.670000,24.709999,24.645000,24.690001,854.0000
SI,2024.03.28,02:00:00,24.695000,24.799999,24.665001,24.790001,1558.0000
SI,2024.03.28,03:00:00,24.790001,24.834999,24.764999,24.799999,1054.0000
SI,2024.03.28,04:00:00,24.799999,24.840000,24.780001,24.799999,630.0000
SI,2024.03.28,05:00:00,24.799999,24.820000,24.735001,24.735001,1321.0000
SI,2024.03.28,06:00:00,24.730000,24.754999,24.700001,24.745001,1345.0000
SI,2024.03.28,07:00:00,24.740000,24.740000,24.590000,24.594999,1635.0000
SI,2024.03.28,08:00:00,24.594999,24.594999,24.525000,24.525000,2679.0000
SI,2024.03.28,09:00:00,24.525000,24.570000,24.504999,24.565001,1473.0000
SI,2024.03.28,10:00:00,24.565001,24.844999,24.559999,24.790001,4718.0000
SI,2024.03.28,11:00:00,24.795000,24.799999,24.605000,24.670000,3401.0000
SI,2024.03.28,12:00:00,24.665001,24.870001,24.639999,24.870001,5645.0000
