<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SUIUSDT,2026.07.18,15:45:00,0.733700,0.735200,0.733200,0.735100,349333.0000
SUIUSDT,2026.07.18,15:50:00,0.735200,0.735800,0.735000,0.735100,149811.6000
SUIUSDT,2026.07.18,15:55:00,0.735100,0.735300,0.734800,0.734800,90207.1000
SUIUSDT,2026.07.18,16:00:00,0.734900,0.735000,0.734100,0.734200,171099.2000
SUIUSDT,2026.07.18,16:05:00,0.734200,0.734900,0.734000,0.734700,161641.4000
SUIUSDT,2026.07.18,16:10:00,0.734700,0.735600,0.734700,0.735400,108603.2000
SUIUSDT,2026.07.18,16:15:00,0.735400,0.735700,0.735000,0.735000,136815.8000
SUIUSDT,2026.07.18,16:20:00,0.734900,0.734900,0.734000,0.734400,111183.2000
SUIUSDT,2026.07.18,16:25:00,0.734400,0.734400,0.734100,0.734300,90817.1000
SUIUSDT,2026.07.18,16:30:00,0.734300,0.735300,0.734200,0.735000,172427.9000
SUIUSDT,2026.07.18,16:35:00,0.734900,0.735600,0.734700,0.734800,174441.1000
SUIUSDT,2026.07.18,16:40:00,0.734700,0.734800,0.734500,0.734800,46504.3000
SUIUSDT,2026.07.18,16:45:00,0.734900,0.735400,0.734800,0.735300,117751.4000
SUIUSDT,2026.07.18,16:50:00,0.735300,0.737700,0.734500,0.736700,1307996.7000
SUIUSDT,2026.07.18,16:55:00,0.736700,0.736900,0.736000,0.736200,178310.2000
SUIUSDT,2026.07.18,17:00:00,0.736200,0.736200,0.735300,0.735600,179516.4000
SUIUSDT,2026.07.18,17:05:00,0.735500,0.735800,0.735300,0.735400,180945.4000
SUIUSDT,2026.07.18,17:10:00,0.735400,0.736400,0.735200,0.736300,241777.8000
SUIUSDT,2026.07.18,17:15:00,0.736300,0.737400,0.736100,0.737100,400677.7000
SUIUSDT,2026.07.18,17:20:00,0.737200,0.738200,0.735700,0.736200,451749.1000
SUIUSDT,2026.07.18,17:25:00,0.736200,0.736500,0.735900,0.736200,277443.4000
SUIUSDT,2026.07.18,17:30:00,0.736300,0.738100,0.736200,0.737700,268089.2000
SUIUSDT,2026.07.18,17:35:00,0.737800,0.739800,0.737700,0.739700,641492.6000
SUIUSDT,2026.07.18,17:40:00,0.739800,0.739900,0.738900,0.738900,291248.6000
SUIUSDT,2026.07.18,17:45:00,0.738900,0.740200,0.738400,0.739400,801858.7000
SUIUSDT,2026.07.18,17:50:00,0.739500,0.739600,0.738100,0.738800,625460.5000
SUIUSDT,2026.07.18,17:55:00,0.738800,0.739600,0.738400,0.739600,175561.4000
SUIUSDT,2026.07.18,18:00:00,0.739600,0.740200,0.739100,0.740200,336630.4000
