<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDCAD,2026.05.26,23:00:00,1.380840,1.381120,1.380500,1.380830,100.0000
USDCAD,2026.05.26,23:15:00,1.380830,1.380900,1.380400,1.380500,100.0000
USDCAD,2026.05.26,23:30:00,1.380690,1.380800,1.380000,1.380440,100.0000
USDCAD,2026.05.26,23:45:00,1.380200,1.380860,1.380000,1.380600,100.0000
USDCAD,2026.05.27,00:00:00,1.380780,1.381010,1.380200,1.380810,100.0000
USDCAD,2026.05.27,00:15:00,1.380810,1.380920,1.380100,1.380530,100.0000
USDCAD,2026.05.27,00:30:00,1.380530,1.380610,1.379900,1.380100,100.0000
USDCAD,2026.05.27,00:45:00,1.380450,1.380800,1.380000,1.380720,100.0000
USDCAD,2026.05.27,01:00:00,1.380680,1.381050,1.380200,1.380850,100.0000
USDCAD,2026.05.27,01:15:00,1.380820,1.381060,1.380400,1.381040,100.0000
USDCAD,2026.05.27,01:30:00,1.381030,1.381460,1.380700,1.381000,100.0000
USDCAD,2026.05.27,01:45:00,1.381220,1.381450,1.380800,1.381290,100.0000
USDCAD,2026.05.27,02:00:00,1.381330,1.381350,1.380400,1.380700,100.0000
USDCAD,2026.05.27,02:15:00,1.381010,1.381150,1.380500,1.381060,100.0000
USDCAD,2026.05.27,02:30:00,1.381070,1.381160,1.380600,1.381040,100.0000
USDCAD,2026.05.27,02:45:00,1.381050,1.381140,1.380400,1.380800,100.0000
USDCAD,2026.05.27,03:00:00,1.381080,1.381130,1.380400,1.381000,100.0000
USDCAD,2026.05.27,03:15:00,1.381010,1.381150,1.380600,1.380700,100.0000
USDCAD,2026.05.27,03:30:00,1.381050,1.381240,1.380600,1.381160,100.0000
USDCAD,2026.05.27,03:45:00,1.381150,1.381210,1.380600,1.381140,100.0000
USDCAD,2026.05.27,04:00:00,1.381180,1.381210,1.380600,1.381020,100.0000
USDCAD,2026.05.27,04:15:00,1.381060,1.381140,1.380500,1.381080,100.0000
USDCAD,2026.05.27,04:30:00,1.381090,1.381130,1.380600,1.380960,100.0000
USDCAD,2026.05.27,04:45:00,1.380970,1.381020,1.380400,1.380870,100.0000
