<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDJPY,2023.11.01,00:00:00,151.317001,151.444000,151.229996,151.363998,100.0000
USDJPY,2023.11.01,01:00:00,151.363998,151.432999,151.251999,151.335999,100.0000
USDJPY,2023.11.01,02:00:00,151.334000,151.348007,151.158005,151.218994,100.0000
USDJPY,2023.11.01,03:00:00,151.218994,151.255997,151.138000,151.240997,100.0000
USDJPY,2023.11.01,04:00:00,151.240005,151.330994,151.212006,151.319000,100.0000
USDJPY,2023.11.01,05:00:00,151.320999,151.369003,151.289993,151.311005,100.0000
USDJPY,2023.11.01,06:00:00,151.307007,151.313004,151.238007,151.253006,100.0000
USDJPY,2023.11.01,07:00:00,151.248993,151.397003,151.197998,151.373993,100.0000
USDJPY,2023.11.01,08:00:00,151.371994,151.378006,151.205994,151.218994,100.0000
USDJPY,2023.11.01,09:00:00,151.218994,151.294998,151.207001,151.216995,100.0000
USDJPY,2023.11.01,10:00:00,151.218994,151.240997,151.134003,151.192993,100.0000
USDJPY,2023.11.01,11:00:00,151.194000,151.242996,151.145996,151.233002,100.0000
USDJPY,2023.11.01,12:00:00,151.231003,151.242996,151.078995,151.179001,100.0000
USDJPY,2023.11.01,13:00:00,151.179993,151.378006,151.139999,151.261002,100.0000
USDJPY,2023.11.01,14:00:00,151.261002,151.261993,150.811005,151.050003,100.0000
USDJPY,2023.11.01,15:00:00,151.052994,151.154007,150.960007,150.962006,100.0000
USDJPY,2023.11.01,16:00:00,150.964996,151.125000,150.947006,151.070999,100.0000
USDJPY,2023.11.01,17:00:00,151.069000,151.179993,151.046005,151.078003,100.0000
USDJPY,2023.11.01,18:00:00,151.087997,151.238998,150.889999,150.990005,100.0000
USDJPY,2023.11.01,19:00:00,150.994003,151.016998,150.658005,150.867004,100.0000
USDJPY,2023.11.01,20:00:00,150.863998,150.966995,150.850006,150.945007,100.0000
USDJPY,2023.11.01,21:00:00,150.932007,150.955002,150.830994,150.903000,100.0000
USDJPY,2023.11.01,22:00:00,150.901001,150.934006,150.604004,150.656006,100.0000
USDJPY,2023.11.01,23:00:00,150.654007,150.686996,150.574997,150.587006,100.0000
USDJPY,2023.11.02,00:00:00,150.576996,150.598999,150.326996,150.339996,100.0000
USDJPY,2023.11.02,01:00:00,150.345001,150.419998,150.261993,150.302002,100.0000
USDJPY,2023.11.02,02:00:00,150.309006,150.330994,150.145996,150.274002,100.0000
USDJPY,2023.11.02,03:00:00,150.264008,150.401993,150.227997,150.347000,100.0000
USDJPY,2023.11.02,04:00:00,150.348007,150.473007,150.317993,150.432999,100.0000
USDJPY,2023.11.02,05:00:00,150.445007,150.479004,150.378998,150.462006,100.0000
USDJPY,2023.11.02,06:00:00,150.460999,150.477005,150.350006,150.389008,100.0000
USDJPY,2023.11.02,07:00:00,150.386993,150.576004,150.164001,150.382996,100.0000
USDJPY,2023.11.02,08:00:00,150.382996,150.578003,150.350006,150.401001,100.0000
USDJPY,2023.11.02,09:00:00,150.401993,150.429001,150.222000,150.294998,100.0000
USDJPY,2023.11.02,10:00:00,150.292007,150.403000,150.281006,150.360001,100.0000
USDJPY,2023.11.02,11:00:00,150.358002,150.380997,150.289993,150.360992,100.0000
USDJPY,2023.11.02,12:00:00,150.363007,150.397003,149.949997,149.985001,100.0000
USDJPY,2023.11.02,13:00:00,149.985001,150.324997,149.839996,150.223999,100.0000
USDJPY,2023.11.02,14:00:00,150.222000,150.414001,150.218002,150.287003,100.0000
USDJPY,2023.11.02,15:00:00,150.281998,150.494003,150.272003,150.483002,100.0000
USDJPY,2023.11.02,16:00:00,150.483994,150.544006,150.427994,150.526001,100.0000
USDJPY,2023.11.02,17:00:00,150.529999,150.539001,150.369995,150.406006,100.0000
USDJPY,2023.11.02,18:00:00,150.404007,150.477005,150.371994,150.416000,100.0000
USDJPY,2023.11.02,19:00:00,150.416000,150.522003,150.397003,150.457001,100.0000
USDJPY,2023.11.02,20:00:00,150.455002,150.533997,150.389999,150.406006,100.0000
USDJPY,2023.11.02,21:00:00,150.391006,150.520996,150.386002,150.429993,100.0000
USDJPY,2023.11.02,22:00:00,150.427994,150.488007,150.416000,150.475006,100.0000
USDJPY,2023.11.02,23:00:00,150.472000,150.516998,150.444000,150.490997,100.0000
USDJPY,2023.11.03,00:00:00,150.492996,150.496994,150.309998,150.389999,100.0000
USDJPY,2023.11.03,01:00:00,150.393005,150.466003,150.386993,150.436996,100.0000
USDJPY,2023.11.03,02:00:00,150.434998,150.438995,150.343994,150.373993,100.0000
USDJPY,2023.11.03,03:00:00,150.373993,150.384003,150.307007,150.345993,100.0000
USDJPY,2023.11.03,04:00:00,150.347000,150.347000,150.268005,150.278000,100.0000
USDJPY,2023.11.03,05:00:00,150.278000,150.341003,150.242004,150.255005,100.0000
USDJPY,2023.11.03,06:00:00,150.255005,150.304001,150.244003,150.298996,100.0000
USDJPY,2023.11.03,07:00:00,150.300995,150.343002,150.231003,150.339996,100.0000
USDJPY,2023.11.03,08:00:00,150.341003,150.417999,150.317993,150.397003,100.0000
USDJPY,2023.11.03,09:00:00,150.399994,150.425995,150.274994,150.302994,100.0000
USDJPY,2023.11.03,10:00:00,150.302002,150.317001,150.199005,150.223007,100.0000
USDJPY,2023.11.03,11:00:00,150.220993,150.225006,150.145996,150.179993,100.0000
USDJPY,2023.11.03,12:00:00,150.179001,150.225006,149.281006,149.401001,100.0000
USDJPY,2023.11.03,13:00:00,149.399002,149.529999,149.199997,149.373993,100.0000
USDJPY,2023.11.03,14:00:00,149.375000,149.755997,149.181000,149.481995,100.0000
USDJPY,2023.11.03,15:00:00,149.475998,149.516006,149.311996,149.365997,100.0000
USDJPY,2023.11.03,16:00:00,149.367004,149.453995,149.246994,149.332001,100.0000
USDJPY,2023.11.03,17:00:00,149.328995,149.419006,149.240005,149.358002,100.0000
USDJPY,2023.11.03,18:00:00,149.354004,149.388000,149.292007,149.311996,100.0000
USDJPY,2023.11.03,19:00:00,149.309006,149.470993,149.307007,149.466995,100.0000
USDJPY,2023.11.03,20:00:00,149.466003,149.477005,149.315994,149.339996,100.0000
USDJPY,2023.11.06,00:00:00,149.449005,149.639008,149.434998,149.528000,100.0000
USDJPY,2023.11.06,01:00:00,149.528000,149.651001,149.498001,149.533997,100.0000
USDJPY,2023.11.06,02:00:00,149.535004,149.667999,149.494003,149.667999,100.0000
USDJPY,2023.11.06,03:00:00,149.664993,149.673996,149.563995,149.574005,100.0000
USDJPY,2023.11.06,04:00:00,149.574997,149.660004,149.496002,149.548004,100.0000
USDJPY,2023.11.06,05:00:00,149.544006,149.565002,149.472000,149.539993,100.0000
USDJPY,2023.11.06,06:00:00,149.542007,149.598999,149.462006,149.546005,100.0000
USDJPY,2023.11.06,07:00:00,149.544998,149.735001,149.511002,149.723007,100.0000
