<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XRPUSDT,2023.09.21,10:00:00,0.507300,0.508000,0.500300,0.501300,87082483.8000
XRPUSDT,2023.09.21,11:00:00,0.501300,0.505400,0.500900,0.505100,37389286.9000
XRPUSDT,2023.09.21,12:00:00,0.505000,0.506500,0.504200,0.505200,36706814.8000
XRPUSDT,2023.09.21,13:00:00,0.505200,0.505300,0.500000,0.503400,58166505.0000
XRPUSDT,2023.09.21,14:00:00,0.503500,0.505200,0.502700,0.504600,28992453.1000
XRPUSDT,2023.09.21,15:00:00,0.504700,0.506000,0.503700,0.504700,18941385.2000
XRPUSDT,2023.09.21,16:00:00,0.504800,0.505100,0.503600,0.504400,18022742.5000
XRPUSDT,2023.09.21,17:00:00,0.504400,0.508800,0.504400,0.508600,42665746.9000
XRPUSDT,2023.09.21,18:00:00,0.508500,0.510400,0.507800,0.510000,31189576.8000
XRPUSDT,2023.09.21,19:00:00,0.510000,0.511000,0.509100,0.510700,20311019.3000
XRPUSDT,2023.09.21,20:00:00,0.510700,0.510900,0.506000,0.507900,39076695.3000
XRPUSDT,2023.09.21,21:00:00,0.507900,0.507900,0.505100,0.507400,13762079.8000
XRPUSDT,2023.09.21,22:00:00,0.507400,0.508200,0.506700,0.507900,10146686.2000
XRPUSDT,2023.09.21,23:00:00,0.507900,0.508000,0.505900,0.506800,13048839.3000
XRPUSDT,2023.09.22,00:00:00,0.506900,0.509400,0.503300,0.509000,45427464.2000
XRPUSDT,2023.09.22,01:00:00,0.509000,0.510500,0.507200,0.509300,22890000.3000
XRPUSDT,2023.09.22,02:00:00,0.509300,0.511400,0.509100,0.509300,22324220.3000
XRPUSDT,2023.09.22,03:00:00,0.509300,0.512800,0.509200,0.512300,22350097.5000
XRPUSDT,2023.09.22,04:00:00,0.512400,0.514000,0.511300,0.513100,28354238.1000
XRPUSDT,2023.09.22,05:00:00,0.513100,0.513200,0.510400,0.510500,22599353.1000
XRPUSDT,2023.09.22,06:00:00,0.510400,0.511200,0.507100,0.508100,36275020.6000
XRPUSDT,2023.09.22,07:00:00,0.508000,0.511400,0.507700,0.511400,29266629.6000
XRPUSDT,2023.09.22,08:00:00,0.511400,0.513900,0.508100,0.508400,46070032.1000
XRPUSDT,2023.09.22,09:00:00,0.508400,0.510000,0.508000,0.509200,16782734.7000
XRPUSDT,2023.09.22,10:00:00,0.509300,0.509300,0.506800,0.508100,25423541.1000
XRPUSDT,2023.09.22,11:00:00,0.508100,0.510600,0.508100,0.509500,17064317.0000
XRPUSDT,2023.09.22,12:00:00,0.509500,0.510700,0.508900,0.509100,18027732.3000
XRPUSDT,2023.09.22,13:00:00,0.509100,0.511200,0.508700,0.510800,23313748.9000
XRPUSDT,2023.09.22,14:00:00,0.510800,0.511800,0.509600,0.511700,22610459.6000
XRPUSDT,2023.09.22,15:00:00,0.511700,0.512000,0.510200,0.510400,19046383.2000
XRPUSDT,2023.09.22,16:00:00,0.510300,0.511300,0.508200,0.508800,21182996.9000
XRPUSDT,2023.09.22,17:00:00,0.508800,0.515500,0.508700,0.514000,77101234.8000
XRPUSDT,2023.09.22,18:00:00,0.514000,0.516000,0.513100,0.514400,34671043.4000
XRPUSDT,2023.09.22,19:00:00,0.514400,0.516800,0.513500,0.514600,33510820.2000
XRPUSDT,2023.09.22,20:00:00,0.514600,0.515500,0.510700,0.511800,42785890.0000
XRPUSDT,2023.09.22,21:00:00,0.511800,0.513400,0.510700,0.513300,11434174.4000
XRPUSDT,2023.09.22,22:00:00,0.513200,0.513800,0.512400,0.513700,15377165.0000
XRPUSDT,2023.09.22,23:00:00,0.513700,0.513800,0.511500,0.512000,13308929.5000
XRPUSDT,2023.09.23,00:00:00,0.511900,0.512800,0.510100,0.512300,20295540.2000
XRPUSDT,2023.09.23,01:00:00,0.512300,0.512500,0.510600,0.511400,13896178.0000
XRPUSDT,2023.09.23,02:00:00,0.511400,0.512800,0.511200,0.512700,11534826.5000
XRPUSDT,2023.09.23,03:00:00,0.512700,0.513000,0.511000,0.511000,12822018.1000
XRPUSDT,2023.09.23,04:00:00,0.511000,0.512800,0.510200,0.512200,17620103.3000
XRPUSDT,2023.09.23,05:00:00,0.512200,0.513500,0.511800,0.512000,12948545.1000
XRPUSDT,2023.09.23,06:00:00,0.512000,0.513100,0.511800,0.512600,8251613.5000
XRPUSDT,2023.09.23,07:00:00,0.512500,0.513200,0.511300,0.511700,10945337.3000
XRPUSDT,2023.09.23,08:00:00,0.511700,0.513100,0.511500,0.512700,9173315.6000
XRPUSDT,2023.09.23,09:00:00,0.512700,0.512900,0.511800,0.512200,6384982.5000
XRPUSDT,2023.09.23,10:00:00,0.512100,0.512200,0.510900,0.511000,10848533.8000
XRPUSDT,2023.09.23,11:00:00,0.511000,0.512600,0.510900,0.512300,11245663.7000
XRPUSDT,2023.09.23,12:00:00,0.512300,0.512500,0.510000,0.510800,16634275.0000
XRPUSDT,2023.09.23,13:00:00,0.510700,0.510800,0.507800,0.509000,30623337.3000
XRPUSDT,2023.09.23,14:00:00,0.509100,0.510600,0.508300,0.509700,14244520.0000
XRPUSDT,2023.09.23,15:00:00,0.509700,0.509800,0.507700,0.509700,18696350.4000
XRPUSDT,2023.09.23,16:00:00,0.509600,0.510500,0.508100,0.510400,12494852.6000
XRPUSDT,2023.09.23,17:00:00,0.510500,0.510600,0.509100,0.510100,11887414.3000
XRPUSDT,2023.09.23,18:00:00,0.510100,0.510800,0.509300,0.509800,9761198.0000
XRPUSDT,2023.09.23,19:00:00,0.509800,0.510500,0.509500,0.509800,6181541.2000
XRPUSDT,2023.09.23,20:00:00,0.509800,0.510000,0.508200,0.508500,8365905.1000
XRPUSDT,2023.09.23,21:00:00,0.508500,0.509100,0.507700,0.508500,8128286.3000
XRPUSDT,2023.09.23,22:00:00,0.508500,0.508900,0.506300,0.506800,14412293.8000
XRPUSDT,2023.09.23,23:00:00,0.506900,0.507400,0.505100,0.507300,24017310.2000
XRPUSDT,2023.09.24,00:00:00,0.507300,0.509300,0.506600,0.507800,24197425.2000
XRPUSDT,2023.09.24,01:00:00,0.507700,0.508000,0.505700,0.507900,16857696.7000
XRPUSDT,2023.09.24,02:00:00,0.508000,0.509000,0.507700,0.508700,9769804.3000
XRPUSDT,2023.09.24,03:00:00,0.508800,0.509300,0.507500,0.507500,7616160.4000
XRPUSDT,2023.09.24,04:00:00,0.507600,0.508800,0.507100,0.508100,11878827.8000
XRPUSDT,2023.09.24,05:00:00,0.508000,0.508700,0.507300,0.508500,6451409.3000
XRPUSDT,2023.09.24,06:00:00,0.508400,0.508500,0.507600,0.507600,6194696.8000
XRPUSDT,2023.09.24,07:00:00,0.507600,0.508500,0.507400,0.508000,6124672.6000
XRPUSDT,2023.09.24,08:00:00,0.507900,0.509100,0.507800,0.509100,6056838.3000
XRPUSDT,2023.09.24,09:00:00,0.509100,0.510400,0.508700,0.510400,15501956.2000
XRPUSDT,2023.09.24,10:00:00,0.510400,0.510800,0.509200,0.509600,11627091.4000
XRPUSDT,2023.09.24,11:00:00,0.509600,0.511500,0.509500,0.510900,13143880.6000
XRPUSDT,2023.09.24,12:00:00,0.510900,0.511400,0.509400,0.510300,15388370.9000
XRPUSDT,2023.09.24,13:00:00,0.510400,0.511100,0.509400,0.509400,10421086.0000
XRPUSDT,2023.09.24,14:00:00,0.509400,0.510800,0.509300,0.510100,10114961.7000
XRPUSDT,2023.09.24,15:00:00,0.510100,0.510200,0.508000,0.509100,15583679.8000
XRPUSDT,2023.09.24,16:00:00,0.509100,0.509200,0.507600,0.508100,15278115.7000
XRPUSDT,2023.09.24,17:00:00,0.508200,0.510600,0.508000,0.509900,13677026.1000
XRPUSDT,2023.09.24,18:00:00,0.509900,0.510500,0.505500,0.508900,35291738.4000
XRPUSDT,2023.09.24,19:00:00,0.509000,0.509100,0.505000,0.506400,25847810.4000
XRPUSDT,2023.09.24,20:00:00,0.506400,0.506500,0.503100,0.505900,26762450.3000
XRPUSDT,2023.09.24,21:00:00,0.505800,0.506700,0.504900,0.506600,7162755.0000
XRPUSDT,2023.09.24,22:00:00,0.506600,0.507500,0.505500,0.506600,9427085.4000
XRPUSDT,2023.09.24,23:00:00,0.506600,0.506700,0.497100,0.501700,71158249.9000
XRPUSDT,2023.09.25,00:00:00,0.501700,0.502000,0.495200,0.500700,77889503.9000
XRPUSDT,2023.09.25,01:00:00,0.500700,0.502000,0.498700,0.499600,33211190.8000
XRPUSDT,2023.09.25,02:00:00,0.499600,0.502300,0.499100,0.502100,19952739.2000
XRPUSDT,2023.09.25,03:00:00,0.502100,0.503700,0.501300,0.501800,16386700.3000
XRPUSDT,2023.09.25,04:00:00,0.501700,0.503200,0.500600,0.502300,16731049.1000
XRPUSDT,2023.09.25,05:00:00,0.502300,0.502400,0.497000,0.498200,50392121.2000
XRPUSDT,2023.09.25,06:00:00,0.498200,0.498500,0.494100,0.495100,55876848.1000
XRPUSDT,2023.09.25,07:00:00,0.495200,0.496900,0.490800,0.495900,94529781.0000
XRPUSDT,2023.09.25,08:00:00,0.496000,0.496800,0.492900,0.494400,40151638.7000
XRPUSDT,2023.09.25,09:00:00,0.494400,0.495400,0.493200,0.494100,23455841.4000
XRPUSDT,2023.09.25,10:00:00,0.494000,0.496300,0.493700,0.495100,17771610.3000
XRPUSDT,2023.09.25,11:00:00,0.495000,0.495700,0.493000,0.495300,25710821.1000
XRPUSDT,2023.09.25,12:00:00,0.495400,0.497300,0.494000,0.496900,33374934.4000
XRPUSDT,2023.09.25,13:00:00,0.496800,0.498200,0.496100,0.497100,27734849.1000
XRPUSDT,2023.09.25,14:00:00,0.497200,0.497600,0.495500,0.495900,18141640.5000
XRPUSDT,2023.09.25,15:00:00,0.495900,0.499700,0.495900,0.498900,35013460.1000
XRPUSDT,2023.09.25,16:00:00,0.498900,0.502700,0.498900,0.500300,58807694.3000
XRPUSDT,2023.09.25,17:00:00,0.500400,0.506400,0.500200,0.504900,72372977.6000
XRPUSDT,2023.09.25,18:00:00,0.505000,0.506900,0.503600,0.505300,43148420.9000
XRPUSDT,2023.09.25,19:00:00,0.505400,0.506100,0.503400,0.505800,28262203.7000
XRPUSDT,2023.09.25,20:00:00,0.505900,0.506900,0.501400,0.501700,44413584.0000
XRPUSDT,2023.09.25,21:00:00,0.501800,0.503800,0.501700,0.503700,15189205.0000
XRPUSDT,2023.09.25,22:00:00,0.503700,0.506100,0.503200,0.504400,25154441.4000
XRPUSDT,2023.09.25,23:00:00,0.504300,0.505600,0.504300,0.505100,12022140.1000
XRPUSDT,2023.09.26,00:00:00,0.505200,0.505500,0.501600,0.501900,27043313.5000
XRPUSDT,2023.09.26,01:00:00,0.502000,0.504300,0.501700,0.504200,19425339.5000
XRPUSDT,2023.09.26,02:00:00,0.504300,0.505800,0.504000,0.505500,17242699.2000
XRPUSDT,2023.09.26,03:00:00,0.505600,0.507400,0.505200,0.505400,28150920.2000
XRPUSDT,2023.09.26,04:00:00,0.505400,0.506200,0.504100,0.504800,24290487.6000
XRPUSDT,2023.09.26,05:00:00,0.504800,0.505000,0.501100,0.502500,43972013.0000
XRPUSDT,2023.09.26,06:00:00,0.502600,0.502900,0.498500,0.499900,45201489.0000
XRPUSDT,2023.09.26,07:00:00,0.500000,0.502100,0.499700,0.501400,26922937.8000
XRPUSDT,2023.09.26,08:00:00,0.501500,0.501900,0.498800,0.499300,31169544.9000
XRPUSDT,2023.09.26,09:00:00,0.499200,0.502500,0.497800,0.501100,56874258.1000
XRPUSDT,2023.09.26,10:00:00,0.501100,0.501600,0.498700,0.499900,25731973.0000
XRPUSDT,2023.09.26,11:00:00,0.500000,0.501400,0.498700,0.501000,22735921.5000
XRPUSDT,2023.09.26,12:00:00,0.500900,0.501800,0.499100,0.500000,24852900.4000
XRPUSDT,2023.09.26,13:00:00,0.499900,0.501900,0.499300,0.501200,35129606.9000
XRPUSDT,2023.09.26,14:00:00,0.501100,0.502500,0.499700,0.502500,25932269.3000
XRPUSDT,2023.09.26,15:00:00,0.502500,0.502500,0.499400,0.500100,32954463.3000
XRPUSDT,2023.09.26,16:00:00,0.500100,0.503900,0.499600,0.502800,41548148.2000
XRPUSDT,2023.09.26,17:00:00,0.502900,0.505300,0.501500,0.504300,48371782.9000
XRPUSDT,2023.09.26,18:00:00,0.504300,0.504800,0.503300,0.504500,17394943.7000
XRPUSDT,2023.09.26,19:00:00,0.504600,0.505600,0.504100,0.504600,20153370.4000
XRPUSDT,2023.09.26,20:00:00,0.504700,0.506000,0.500800,0.501400,39992994.7000
XRPUSDT,2023.09.26,21:00:00,0.501400,0.501700,0.494800,0.500800,45364058.3000
XRPUSDT,2023.09.26,22:00:00,0.500700,0.501600,0.499500,0.500000,19295752.9000
XRPUSDT,2023.09.26,23:00:00,0.500000,0.502000,0.499900,0.501500,11864442.4000
XRPUSDT,2023.09.27,00:00:00,0.501400,0.502400,0.500100,0.500900,19133365.7000
XRPUSDT,2023.09.27,01:00:00,0.500900,0.501200,0.499200,0.500900,14914748.8000
XRPUSDT,2023.09.27,02:00:00,0.500900,0.502000,0.500700,0.500700,9439719.4000
XRPUSDT,2023.09.27,03:00:00,0.500700,0.503700,0.500500,0.502800,20471536.1000
XRPUSDT,2023.09.27,04:00:00,0.502800,0.503000,0.501600,0.502000,19565723.3000
XRPUSDT,2023.09.27,05:00:00,0.502100,0.502200,0.497600,0.497700,43337761.3000
XRPUSDT,2023.09.27,06:00:00,0.497600,0.498700,0.496600,0.497800,37371193.5000
XRPUSDT,2023.09.27,07:00:00,0.497700,0.499700,0.497400,0.499500,24497550.7000
XRPUSDT,2023.09.27,08:00:00,0.499600,0.499600,0.496900,0.497100,21873200.3000
XRPUSDT,2023.09.27,09:00:00,0.497200,0.502600,0.496800,0.501900,59206397.9000
XRPUSDT,2023.09.27,10:00:00,0.501900,0.503200,0.500400,0.502500,35559932.6000
XRPUSDT,2023.09.27,11:00:00,0.502500,0.507000,0.502000,0.506300,68997074.1000
XRPUSDT,2023.09.27,12:00:00,0.506300,0.506600,0.503900,0.504300,39619182.3000
XRPUSDT,2023.09.27,13:00:00,0.504300,0.506800,0.503800,0.504600,34016750.6000
XRPUSDT,2023.09.27,14:00:00,0.504600,0.505200,0.499300,0.500100,86712241.6000
XRPUSDT,2023.09.27,15:00:00,0.500000,0.502300,0.499500,0.501200,33309792.7000
XRPUSDT,2023.09.27,16:00:00,0.501300,0.502300,0.500400,0.501000,16341555.4000
XRPUSDT,2023.09.27,17:00:00,0.501000,0.503100,0.499900,0.502700,37278598.8000
XRPUSDT,2023.09.27,18:00:00,0.502800,0.504000,0.500500,0.503200,29756086.8000
XRPUSDT,2023.09.27,19:00:00,0.503300,0.505000,0.503100,0.504100,20433057.4000
XRPUSDT,2023.09.27,20:00:00,0.504100,0.504900,0.502400,0.502700,14728763.1000
XRPUSDT,2023.09.27,21:00:00,0.502700,0.503000,0.498500,0.499900,42319509.4000
XRPUSDT,2023.09.27,22:00:00,0.499800,0.500900,0.498900,0.500400,12160092.7000
XRPUSDT,2023.09.27,23:00:00,0.500300,0.500600,0.499100,0.499200,12450521.2000
XRPUSDT,2023.09.28,00:00:00,0.499200,0.501100,0.498600,0.499700,22750813.3000
XRPUSDT,2023.09.28,01:00:00,0.499800,0.500800,0.498800,0.500000,17411429.4000
