<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YM,2024.03.26,04:00:00,39720.000000,39761.000000,39717.000000,39718.000000,3609.0000
YM,2024.03.26,08:00:00,39719.000000,39810.000000,39713.000000,39781.000000,7695.0000
YM,2024.03.26,12:00:00,39781.000000,39822.000000,39685.000000,39812.000000,39094.0000
YM,2024.03.26,16:00:00,39810.000000,39810.000000,39657.000000,39689.000000,33898.0000
YM,2024.03.26,20:00:00,39688.000000,39769.000000,39677.000000,39765.000000,4797.0000
YM,2024.03.27,00:00:00,39765.000000,39796.000000,39761.000000,39789.000000,1920.0000
YM,2024.03.27,04:00:00,39787.000000,39843.000000,39782.000000,39783.000000,4192.0000
YM,2024.03.27,08:00:00,39782.000000,39863.000000,39782.000000,39840.000000,7742.0000
YM,2024.03.27,12:00:00,39839.000000,39980.000000,39811.000000,39858.000000,51210.0000
YM,2024.03.27,16:00:00,39858.000000,40153.000000,39825.000000,40150.000000,51792.0000
YM,2024.03.27,20:00:00,40150.000000,40181.000000,40086.000000,40106.000000,7143.0000
YM,2024.03.28,00:00:00,40106.000000,40135.000000,40104.000000,40108.000000,2797.0000
YM,2024.03.28,04:00:00,40108.000000,40129.000000,40095.000000,40102.000000,3082.0000
YM,2024.03.28,08:00:00,40103.000000,40157.000000,40093.000000,40146.000000,7308.0000
YM,2024.03.28,12:00:00,40145.000000,40234.000000,40099.000000,40172.000000,42094.0000
YM,2024.03.28,16:00:00,40172.000000,40240.000000,40117.000000,40157.000000,38558.0000
YM,2024.03.28,20:00:00,40156.000000,40173.000000,40137.000000,40140.000000,4429.0000
YM,2024.03.31,20:00:00,40158.000000,40358.000000,40158.000000,40346.000000,4110.0000
YM,2024.04.01,00:00:00,40345.000000,40347.000000,40284.000000,40314.000000,3142.0000
YM,2024.04.01,04:00:00,40317.000000,40328.000000,40304.000000,40309.000000,2654.0000
YM,2024.04.01,08:00:00,40311.000000,40311.000000,40269.000000,40278.000000,4642.0000
YM,2024.04.01,12:00:00,40276.000000,40278.000000,39842.000000,39842.000000,60736.0000
YM,2024.04.01,16:00:00,39844.000000,39931.000000,39830.000000,39886.000000,33891.0000
YM,2024.04.01,20:00:00,39885.000000,39896.000000,39709.000000,39767.000000,11745.0000
YM,2024.04.02,00:00:00,39767.000000,39790.000000,39756.000000,39763.000000,2654.0000
YM,2024.04.02,04:00:00,39761.000000,39784.000000,39740.000000,39771.000000,5044.0000
YM,2024.04.02,08:00:00,39774.000000,39805.000000,39682.000000,39683.000000,11488.0000
YM,2024.04.02,12:00:00,39683.000000,39693.000000,39368.000000,39409.000000,75965.0000
YM,2024.04.02,16:00:00,39409.000000,39543.000000,39373.000000,39509.000000,38979.0000
YM,2024.04.02,20:00:00,39509.000000,39524.000000,39481.000000,39484.000000,3908.0000
YM,2024.04.03,00:00:00,39483.000000,39483.000000,39441.000000,39460.000000,3161.0000
YM,2024.04.03,04:00:00,39457.000000,39487.000000,39413.000000,39441.000000,5152.0000
YM,2024.04.03,08:00:00,39442.000000,39512.000000,39439.000000,39507.000000,7502.0000
YM,2024.04.03,12:00:00,39507.000000,39634.000000,39440.000000,39541.000000,51275.0000
YM,2024.04.03,16:00:00,39542.000000,39602.000000,39345.000000,39478.000000,56455.0000
YM,2024.04.03,20:00:00,39477.000000,39567.000000,39475.000000,39526.000000,6004.0000
YM,2024.04.04,00:00:00,39526.000000,39535.000000,39503.000000,39534.000000,2660.0000
YM,2024.04.04,04:00:00,39538.000000,39571.000000,39515.000000,39563.000000,4059.0000
YM,2024.04.04,08:00:00,39562.000000,39611.000000,39562.000000,39580.000000,7418.0000
YM,2024.04.04,12:00:00,39580.000000,39759.000000,39566.000000,39656.000000,48232.0000
YM,2024.04.04,16:00:00,39656.000000,39696.000000,38876.000000,38922.000000,111657.0000
