<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YM,2026.06.08,04:00:00,50859.000000,50871.000000,50842.000000,50847.000000,100.0000
YM,2026.06.08,04:05:00,50846.000000,50848.000000,50831.000000,50841.000000,106.0000
YM,2026.06.08,04:10:00,50844.000000,50846.000000,50828.000000,50836.000000,85.0000
YM,2026.06.08,04:15:00,50838.000000,50857.000000,50833.000000,50835.000000,79.0000
YM,2026.06.08,04:20:00,50834.000000,50835.000000,50815.000000,50819.000000,67.0000
YM,2026.06.08,04:25:00,50819.000000,50826.000000,50816.000000,50822.000000,51.0000
YM,2026.06.08,04:30:00,50831.000000,50834.000000,50787.000000,50797.000000,116.0000
YM,2026.06.08,04:35:00,50795.000000,50801.000000,50789.000000,50793.000000,72.0000
YM,2026.06.08,04:40:00,50795.000000,50800.000000,50780.000000,50782.000000,85.0000
YM,2026.06.08,04:45:00,50784.000000,50804.000000,50782.000000,50787.000000,79.0000
YM,2026.06.08,04:50:00,50787.000000,50803.000000,50784.000000,50784.000000,63.0000
YM,2026.06.08,04:55:00,50785.000000,50785.000000,50762.000000,50769.000000,82.0000
YM,2026.06.08,05:00:00,50769.000000,50805.000000,50769.000000,50805.000000,56.0000
YM,2026.06.08,05:05:00,50803.000000,50803.000000,50768.000000,50774.000000,71.0000
YM,2026.06.08,05:10:00,50775.000000,50777.000000,50739.000000,50739.000000,123.0000
YM,2026.06.08,05:15:00,50740.000000,50756.000000,50717.000000,50753.000000,142.0000
YM,2026.06.08,05:20:00,50757.000000,50772.000000,50752.000000,50753.000000,70.0000
YM,2026.06.08,05:25:00,50750.000000,50765.000000,50734.000000,50755.000000,79.0000
YM,2026.06.08,05:30:00,50759.000000,50767.000000,50709.000000,50715.000000,168.0000
YM,2026.06.08,05:35:00,50713.000000,50718.000000,50683.000000,50706.000000,232.0000
YM,2026.06.08,05:40:00,50703.000000,50708.000000,50674.000000,50690.000000,159.0000
YM,2026.06.08,05:45:00,50690.000000,50692.000000,50675.000000,50677.000000,204.0000
YM,2026.06.08,05:50:00,50681.000000,50710.000000,50678.000000,50690.000000,235.0000
YM,2026.06.08,05:55:00,50687.000000,50705.000000,50679.000000,50705.000000,143.0000
