ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
7,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2,2,13128.75,13240.25,-1
14,1,11,1682909220000,1682928900000,5.0,-264.0,-10.0,true,250.0,395.49,49380.3,false,false,false,13249.25,13224.25,true,false,4.0,3,2,13224.25,13335.75,-1
50,1,11,1683734400000,1683791160000,5.0,852.2,-10.0,true,1035.12,866.21,50232.5,false,false,false,13305.879,13392.5,true,false,4.0,4,3,13280.879,13392.5,-1
61,1,11,1683792000000,1683806400000,5.0,-265.3,-10.0,true,377.3,217.4,49967.2,false,false,false,13379.359,13354.229,true,false,4.0,2,2,13354.359,13465.75,-1
68,1,11,1683849600000,1683900060000,5.0,-264.17,-10.0,true,250.18999,387.8,49703.023,false,false,false,13394.269,13369.25,true,false,4.0,4,2,13369.269,13480.75,-1
94,1,11,1684244520000,1684341540000,5.0,851.0,-10.0,true,318.71,865.0,50554.023,false,false,false,13428.5,13515.0,true,false,4.0,8,3,13403.5,13515.0,-1
113,1,11,1684387020000,1684418760000,5.0,851.0,-10.0,true,176.70999,865.0,51405.023,false,false,false,13587.75,13674.25,true,false,4.0,3,3,13562.75,13674.25,-1
122,1,11,1684425600000,1684447620000,5.0,850.42,-10.0,true,688.5,864.41003,52255.45,false,false,false,13771.559,13858.0,true,false,4.0,2,3,13746.559,13858.0,-1
129,1,11,1684454400000,1684476120000,5.0,-263.6,-10.0,true,249.59,125.9,51991.85,false,false,false,13875.209,13850.25,true,false,4.0,2,2,13850.209,13961.75,-1
142,1,11,1684800000000,1684825020000,5.0,-263.37,-10.0,true,249.37,338.62,51728.477,false,false,false,13888.937,13864.0,true,false,4.0,2,2,13863.937,13975.5,-1
155,1,11,1685016180000,1685037600000,5.0,851.0,-10.0,true,829.31,865.0,52579.477,false,false,false,13888.75,13975.25,true,false,4.0,2,3,13863.75,13975.25,-1
165,1,11,1685102400000,1685113200000,5.0,2340.9,-10.0,true,518.10004,2403.48,54920.375,false,false,false,13990.259,14225.75,true,false,4.0,1,16,13965.259,14076.75,-1
170,1,11,1685116800000,1685311200000,5.0,1309.1,-10.0,true,72.0,1323.1,56229.477,false,false,false,14247.989,14380.299,true,false,4.0,3,3,14222.989,14334.5,-1
179,1,11,1685318400000,1685332920000,5.0,-264.48,-10.0,true,304.78,283.5,55965.0,false,false,false,14377.547,14352.5,true,false,4.0,2,2,14352.547,14464.0,-1
189,1,11,1685430540000,1685440080000,5.0,851.0,-10.0,true,206.01,865.0,56816.0,false,false,false,14377.0,14463.5,true,false,4.0,2,3,14352.0,14463.5,-1
196,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,56082.7,false,false,false,14491.327,14419.397,true,false,4.0,2,2,14466.327,14577.75,-1
221,1,11,1685696160000,1685709000000,5.0,-264.0,-10.0,true,250.0,380.99,55818.7,false,false,false,14491.0,14466.0,true,false,4.0,2,2,14466.0,14577.5,-1
228,1,11,1685971860000,1685980800000,5.0,851.0,-10.0,true,68.41,1011.99,56669.7,false,false,false,14556.5,14643.0,true,false,4.0,2,3,14531.5,14643.0,-1
256,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,56405.7,false,false,false,14639.0,14614.0,true,false,4.0,2,2,14614.0,14725.5,-1
263,1,11,1686585600000,1686600000000,5.0,1350.92,-10.0,true,195.58,1382.92,57756.625,false,false,false,14655.657,14792.149,true,false,4.0,2,3,14630.657,14742.25,-1
270,1,11,1686614400000,1686659400000,5.0,851.0,-10.0,true,88.2,865.01,58607.625,false,false,false,14806.249,14892.75,true,false,4.0,4,3,14781.249,14892.75,-1
281,1,11,1686686400000,1686749460000,5.0,-263.27,-10.0,true,249.27,514.6,58344.35,false,false,false,14900.927,14876.0,true,false,4.0,5,2,14875.927,14987.5,-1
294,1,11,1686787200000,1686805380000,5.0,-264.17,-10.0,true,483.0,48.0,58080.176,false,false,false,15018.019,14993.0,true,false,4.0,2,2,14993.019,15104.5,-1
301,1,11,1686859200000,1686874020000,5.0,-264.7,-10.0,true,260.7,67.8,57815.477,false,false,false,15189.319,15164.25,true,false,4.0,2,2,15164.319,15275.75,-1
341,1,11,1688371500000,1688385600000,5.0,-421.6,-10.0,true,424.71002,130.69,57393.875,false,false,false,15216.0,15175.239,true,false,4.0,2,2,15191.0,15302.5,-1
366,1,11,1688751000000,1688751000000,5.0,-31.5,-10.0,true,37.809998,0.89,57362.375,false,false,false,15216.0,15214.25,true,false,4.0,0,16,15191.0,15302.5,-1
371,1,11,1689165000000,1689183000000,5.0,851.0,-10.0,true,146.21,1488.99,58213.375,false,false,false,15216.0,15302.5,true,false,4.0,2,3,15191.0,15302.5,-1
378,1,11,1689192000000,1689236580000,5.0,851.0,-10.0,true,89.6,865.01,59064.375,false,false,false,15311.999,15398.5,true,false,4.0,4,3,15286.999,15398.5,-1
389,1,11,1689249600000,1689264240000,5.0,850.3,-10.0,true,241.8,864.31,59914.676,false,false,false,15414.069,15500.5,true,false,4.0,2,3,15389.069,15500.5,-1
396,1,11,1689278400000,1689294480000,5.0,-262.87,-10.0,true,248.89,116.7,59651.8,false,false,false,15569.639,15544.75,true,false,4.0,2,2,15544.639,15656.25,-1
403,1,11,1689307200000,1689328260000,5.0,-265.1,-10.0,true,258.2,140.1,59386.7,false,false,false,15586.609,15561.5,true,false,4.0,2,2,15561.609,15673.0,-1
410,1,11,1689336660000,1689346800000,5.0,698.5,-10.0,true,220.81,1367.89,60085.2,false,false,false,15586.5,15657.75,true,false,4.0,1,16,15561.5,15673.0,-1
415,1,11,1689350400000,1689364800000,5.0,-1145.5,-10.0,true,1512.6,19.3,58939.7,false,false,false,15682.969,15569.819,true,false,4.0,2,2,15657.969,15769.5,-1
428,1,11,1689616140000,1689687000000,5.0,-264.0,-10.0,true,250.0,655.39,58675.7,false,false,false,15682.75,15657.75,true,false,4.0,6,2,15657.75,15769.25,-1
443,1,11,1689710400000,1689782640000,5.0,851.6,-10.0,true,280.7,865.61,59527.3,false,false,false,15841.939,15928.5,true,false,4.0,6,3,15816.939,15928.5,-1
581,2,11,1695737040000,1695822300000,3.0,-295.0,-6.0,true,285.0,568.266,59232.3,false,false,false,14598.75,14646.25,false,true,4.0,7,2,14646.25,14480.0,-1
655,2,11,1698307200000,1698322620000,3.0,-295.43,-6.0,true,388.02,37.44,58936.863,false,false,false,14215.179,14262.75,false,true,4.0,2,2,14262.679,14096.5,-1
722,1,11,1699952940000,1699964700000,5.0,-264.0,-10.0,true,346.40997,57.89,58672.863,false,false,false,15537.0,15512.0,true,false,4.0,2,2,15512.0,15623.5,-1
729,1,11,1699992000000,1700050200000,5.0,850.13,-10.0,true,271.88,864.13,59522.99,false,false,false,15821.337,15907.75,true,false,4.0,5,3,15796.337,15907.75,-1
760,1,11,1700490840000,1700503380000,5.0,851.0,-10.0,true,231.21,865.0,60373.99,false,false,false,15902.5,15989.0,true,false,4.0,2,3,15877.5,15989.0,-1
767,1,11,1700510400000,1700560860000,5.0,-263.78,-10.0,true,249.79001,267.7,60110.215,false,false,false,16037.229,16012.25,true,false,4.0,4,2,16012.229,16123.75,-1
838,1,11,1702310400000,1702340460000,5.0,850.5,-10.0,true,556.89996,864.50995,60960.715,false,false,false,16164.049,16250.5,true,false,4.0,3,3,16139.049,16250.5,-1
847,1,11,1702353600000,1702389300000,5.0,-262.87,-10.0,true,248.89,775.5,60697.84,false,false,false,16241.889,16217.0,true,false,4.0,3,2,16216.889,16328.5,-1
856,1,11,1702411200000,1702476180000,5.0,850.3,-10.0,true,52.399998,864.31,61548.14,false,false,false,16324.819,16411.25,true,false,4.0,5,3,16299.819,16411.25,-1
869,1,11,1702483200000,1702497600000,5.0,1415.3,-10.0,true,531.1,1619.4,62963.44,false,false,false,16408.559,16551.488,true,false,4.0,2,3,16383.559,16495.0,-1
876,1,11,1702512000000,1702567860000,5.0,-262.8,-10.0,true,248.79,695.80005,62700.64,false,false,false,16596.129,16571.25,true,false,4.0,4,2,16571.129,16682.75,-1
893,1,11,1702653360000,1702653360000,5.0,-44.0,-10.0,true,30.0,3.49,62656.64,false,false,false,16641.25,16638.25,true,false,4.0,0,16,16616.25,16727.75,-1
901,1,11,1702877340000,1702886460000,5.0,-264.0,-10.0,true,250.0,7.4900002,62392.64,false,false,false,16644.25,16619.25,true,false,4.0,2,2,16619.25,16730.75,-1
908,1,11,1702929600000,1702944000000,5.0,-400.5,-10.0,true,481.8,109.6,61992.14,false,false,false,16753.44,16714.79,true,false,4.0,2,2,16728.44,16840.0,-1
918,1,11,1702986720000,1703085660000,5.0,851.0,-10.0,true,158.91,865.0,62843.14,false,false,false,16752.25,16838.75,true,false,4.0,8,3,16727.25,16838.75,-1
940,1,11,1703721600000,1703796840000,5.0,-264.67,-10.0,true,250.69,430.7,62578.465,false,false,false,16925.318,16900.25,true,false,4.0,6,2,16900.318,17011.75,-1
1003,1,11,1705665600000,1705676400000,5.0,-294.67,-10.0,true,772.94,102.95999,62283.79,false,false,false,17117.068,17089.0,true,false,4.0,1,16,17092.068,17203.5,-1
1008,1,11,1705680360000,1705694400000,5.0,1801.98,-10.0,true,183.46,1892.98,64085.766,false,false,false,17119.0,17300.598,true,false,4.0,2,3,17094.0,17205.5,-1
1015,1,11,1705881600000,1705926360000,5.0,851.4,-10.0,true,41.29,865.4,64937.164,false,false,false,17356.46,17443.0,true,false,4.0,4,3,17331.46,17443.0,-1
1035,1,11,1706043600000,1706079120000,5.0,851.0,-10.0,true,339.18,865.0,65788.164,false,false,false,17419.25,17505.75,true,false,4.0,3,3,17394.25,17505.75,-1
1044,1,11,1706083200000,1706110320000,5.0,851.75,-10.0,true,71.950005,865.74,66639.914,false,false,false,17510.926,17597.5,true,false,4.0,2,3,17485.926,17597.5,-1
1057,1,11,1706196120000,1706198400000,5.0,-264.0,-10.0,true,554.58,55.100002,66375.914,false,false,false,17612.5,17587.5,true,false,4.0,2,2,17587.5,17699.0,-1
1103,1,11,1707321600000,1707391740000,5.0,-264.1,-10.0,true,536.95996,340.28998,66111.81,false,false,false,17743.76,17718.75,true,false,4.0,5,2,17718.76,17830.25,-1
1125,1,11,1707465660000,1707490800000,5.0,528.5,-10.0,true,142.79001,808.99,66640.31,false,false,false,17808.5,17862.75,true,false,4.0,2,16,17783.5,17895.0,-1
1132,1,11,1707494400000,1707753180000,5.0,851.08,-10.0,true,260.83002,865.07007,67491.39,false,false,false,17913.492,18000.0,true,false,4.0,6,3,17888.492,18000.0,-1
1183,1,11,1708957860000,1708963200000,5.0,-283.2,-10.0,true,825.08,13.4800005,67208.19,false,false,false,18001.25,17974.33,true,false,4.0,2,2,17976.25,18087.75,-1
1205,1,11,1709236800000,1709261520000,5.0,851.0,-10.0,true,212.08,865.0,68059.19,false,false,false,18001.25,18087.75,true,false,4.0,2,3,17976.25,18087.75,-1
1212,1,11,1709265600000,1709287980000,5.0,-262.87,-10.0,true,248.86,323.63,67796.31,false,false,false,18089.637,18064.75,true,false,4.0,2,2,18064.637,18176.25,-1
1225,1,11,1709539740000,1709553600000,5.0,-321.4,-10.0,true,552.74,106.82,67474.914,false,false,false,18329.25,18298.51,true,false,4.0,2,2,18304.25,18415.75,-1
1241,1,11,1709837400000,1709841600000,5.0,-266.75,-10.0,true,297.42,77.39,67208.164,false,false,false,18329.25,18303.975,true,false,4.0,2,2,18304.25,18415.75,-1
1254,1,11,1709904660000,1709910000000,5.0,378.5,-10.0,true,617.52,457.03998,67586.664,false,false,false,18329.25,18368.5,true,false,4.0,1,16,18304.25,18415.75,-1
1286,1,11,1711023480000,1711043280000,5.0,-264.0,-10.0,true,404.19,500.49,67322.664,false,false,false,18415.75,18390.75,true,false,4.0,2,2,18390.75,18502.25,-1
1440,1,11,1715788800000,1715803200000,5.0,970.15,-10.0,true,168.16,1089.52,68292.81,false,false,false,18498.938,18597.354,true,false,4.0,2,3,18473.938,18585.5,-1
