ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending
16,2,11,1676026800000,1676026800000,3.3,-10.6,-6.6,true,0.0,0.0,49989.4,false,false,false
34,2,11,1677171600000,1677171600000,3.3,-10.6,-6.6,true,0.0,0.0,49978.8,false,false,false
61,2,11,1678388400000,1678388400000,3.3,-10.6,-6.6,true,0.0,0.0,49968.2,false,false,false
64,2,11,1678698000000,1678698000000,3.3,-10.6,-6.6,true,0.0,0.0,49957.6,false,false,false
85,1,11,1680116400000,1680192000000,4.0,68.54,-8.0,true,76.98,517.14,50026.14,false,false,false
159,2,11,1682442000000,1682442000000,3.3,-10.6,-6.6,true,0.0,0.0,50015.54,false,false,false
162,2,11,1682521200000,1682521200000,3.3,-10.6,-6.6,true,0.0,0.0,50004.94,false,false,false
165,2,11,1682532000000,1682532000000,3.3,-10.6,-6.6,true,0.0,0.0,49994.34,false,false,false
171,1,11,1682694000000,1682694000000,4.0,217.48,-8.0,true,152.06,254.036,50211.82,false,false,false
197,1,11,1684450800000,1684508400000,4.0,-183.6,-8.0,true,171.598,140.996,50028.22,false,false,false
250,2,11,1684864800000,1684864800000,3.3,-10.6,-6.6,true,0.0,0.0,50017.62,false,false,false
262,2,11,1685034000000,1685034000000,3.3,-10.6,-6.6,true,0.0,0.0,50007.02,false,false,false
280,1,11,1685714400000,1685718000000,4.0,466.46,-8.0,true,67.1,507.456,50473.48,false,false,false
315,1,11,1687359600000,1687374000000,4.0,-262.0,-8.0,true,250.0,54.994,50211.48,false,false,false
334,2,11,1687489200000,1687489200000,3.3,-10.6,-6.6,true,0.0,0.0,50200.88,false,false,false
337,2,11,1687521600000,1687521600000,3.3,-10.6,-6.6,true,0.0,0.0,50190.28,false,false,false
340,2,11,1687770000000,1687770000000,3.3,-10.6,-6.6,true,0.0,0.0,50179.68,false,false,false
343,2,11,1687788000000,1687788000000,3.3,-10.6,-6.6,true,0.0,0.0,50169.08,false,false,false
346,1,11,1688122800000,1688137200000,4.0,209.9,-8.0,true,57.096,345.364,50378.98,false,false,false
368,1,11,1689091200000,1689174000000,4.0,527.6,-8.0,true,96.0,848.08,50906.58,false,false,false
441,2,11,1691049600000,1691049600000,3.4,-10.8,-6.8,true,0.0,0.0,50895.78,false,false,false
474,2,11,1692183600000,1692183600000,3.4,-10.8,-6.8,true,0.0,0.0,50884.98,false,false,false
480,2,11,1692205200000,1692205200000,3.4,-10.8,-6.8,true,0.0,0.0,50874.18,false,false,false
486,2,11,1692291600000,1692291600000,3.4,-10.8,-6.8,true,0.0,0.0,50863.38,false,false,false
489,2,11,1692298800000,1692298800000,3.4,-10.8,-6.8,true,0.0,0.0,50852.58,false,false,false
