ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending
16,2,11,1676026800000,1676026800000,3.0,-10.0,-6.0,true,0.0,0.0,49990.0,false,false,false
34,2,11,1677171600000,1677171600000,3.0,-10.0,-6.0,true,0.0,0.0,49980.0,false,false,false
61,2,11,1678388400000,1678388400000,3.0,-10.0,-6.0,true,0.0,0.0,49970.0,false,false,false
64,2,11,1678698000000,1678698000000,3.0,-10.0,-6.0,true,0.0,0.0,49960.0,false,false,false
85,1,11,1680116400000,1680192000000,4.0,68.54,-8.0,true,76.98,517.14,50028.54,false,false,false
159,2,11,1682442000000,1682442000000,3.0,-10.0,-6.0,true,0.0,0.0,50018.54,false,false,false
162,2,11,1682521200000,1682521200000,3.0,-10.0,-6.0,true,0.0,0.0,50008.54,false,false,false
165,2,11,1682532000000,1682532000000,3.0,-10.0,-6.0,true,0.0,0.0,49998.54,false,false,false
171,1,11,1682694000000,1682694000000,4.0,217.48,-8.0,true,152.06,254.036,50216.02,false,false,false
197,1,11,1684450800000,1684508400000,4.0,-183.6,-8.0,true,171.598,140.996,50032.42,false,false,false
250,2,11,1684864800000,1684864800000,3.0,-10.0,-6.0,true,0.0,0.0,50022.42,false,false,false
262,2,11,1685034000000,1685034000000,3.0,-10.0,-6.0,true,0.0,0.0,50012.42,false,false,false
280,1,11,1685714400000,1685718000000,4.0,466.46,-8.0,true,67.1,507.456,50478.88,false,false,false
315,1,11,1687359600000,1687374000000,4.0,-262.0,-8.0,true,250.0,54.994,50216.88,false,false,false
334,2,11,1687489200000,1687489200000,3.0,-10.0,-6.0,true,0.0,0.0,50206.88,false,false,false
337,2,11,1687521600000,1687521600000,3.0,-10.0,-6.0,true,0.0,0.0,50196.88,false,false,false
340,2,11,1687770000000,1687770000000,3.0,-10.0,-6.0,true,0.0,0.0,50186.88,false,false,false
343,2,11,1687788000000,1687788000000,3.0,-10.0,-6.0,true,0.0,0.0,50176.88,false,false,false
346,1,11,1688122800000,1688137200000,4.0,209.9,-8.0,true,57.096,345.364,50386.78,false,false,false
368,1,11,1689091200000,1689174000000,4.0,527.6,-8.0,true,96.0,848.08,50914.38,false,false,false
441,2,11,1691049600000,1691049600000,3.0,-10.0,-6.0,true,0.0,0.0,50904.38,false,false,false
474,2,11,1692183600000,1692183600000,3.0,-10.0,-6.0,true,0.0,0.0,50894.38,false,false,false
480,2,11,1692205200000,1692205200000,3.0,-10.0,-6.0,true,0.0,0.0,50884.38,false,false,false
486,2,11,1692291600000,1692291600000,3.0,-10.0,-6.0,true,0.0,0.0,50874.38,false,false,false
489,2,11,1692298800000,1692298800000,3.0,-10.0,-6.0,true,0.0,0.0,50864.38,false,false,false
501,1,11,1693324800000,1693404000000,4.0,232.58,-8.0,true,21.86,546.0,51096.96,false,false,false
589,1,11,1694703600000,1694779200000,4.0,144.56,-8.0,true,52.04,402.76,51241.52,false,false,false
663,2,11,1695132000000,1695132000000,3.0,-10.0,-6.0,true,0.0,0.0,51231.52,false,false,false
672,2,11,1695326400000,1695326400000,3.0,-10.0,-6.0,true,0.0,0.0,51221.52,false,false,false
687,2,11,1695744000000,1695744000000,3.0,-10.0,-6.0,true,0.0,0.0,51211.52,false,false,false
690,2,11,1695826800000,1695826800000,3.0,-10.0,-6.0,true,0.0,0.0,51201.52,false,false,false
714,2,11,1696338000000,1696338000000,3.0,-10.0,-6.0,true,0.0,0.0,51191.52,false,false,false
723,1,11,1696899600000,1697036400000,4.0,153.46,-8.0,true,97.116,536.464,51344.98,false,false,false
838,2,11,1697731200000,1697731200000,3.0,-10.0,-6.0,true,0.0,0.0,51334.98,false,false,false
841,2,11,1697742000000,1697742000000,3.0,-10.0,-6.0,true,0.0,0.0,51324.98,false,false,false
844,2,11,1698051600000,1698051600000,3.0,-10.0,-6.0,true,0.0,0.0,51314.98,false,false,false
859,2,11,1698408000000,1698408000000,3.0,-10.0,-6.0,true,0.0,0.0,51304.98,false,false,false
862,1,11,1698850800000,1698854400000,4.0,-262.42,-8.0,true,250.418,64.16,51042.56,false,false,false
887,1,11,1703620800000,1703862000000,4.0,151.0,-8.0,true,173.92,417.16,51193.56,false,false,false
1076,2,11,1704682800000,1704682800000,3.0,-10.0,-6.0,true,0.0,0.0,51183.56,false,false,false
1091,2,11,1705428000000,1705428000000,3.0,-10.0,-6.0,true,0.0,0.0,51173.56,false,false,false
1097,2,11,1705521600000,1705521600000,3.0,-10.0,-6.0,true,0.0,0.0,51163.56,false,false,false
1100,2,11,1705586400000,1705586400000,3.0,-10.0,-6.0,true,0.0,0.0,51153.56,false,false,false
1130,1,11,1708027200000,1708088400000,4.0,-245.54,-8.0,true,233.55,48.976,50908.02,false,false,false
1219,1,11,1710338400000,1710356400000,4.0,-144.4,-8.0,true,132.398,257.0,50763.62,false,false,false
1248,1,11,1710961200000,1711112400000,4.0,598.46,-8.0,true,15.976,960.0,51362.08,false,false,false
1382,1,11,1711569600000,1711972800000,4.0,133.48,-8.0,true,134.52,417.0,51495.56,false,false,false
1519,2,11,1712847600000,1712847600000,3.0,-10.0,-6.0,true,0.0,0.0,51485.56,false,false,false
1540,1,11,1713808800000,1713812400000,4.0,-262.52,-8.0,true,250.526,83.976,51223.04,false,false,false
1550,1,11,1714690800000,1714744800000,4.0,221.58,-8.0,true,44.4,703.568,51444.62,false,false,false
1605,2,11,1716476400000,1716476400000,3.0,-10.0,-6.0,true,0.0,0.0,51434.62,false,false,false
1614,2,11,1716948000000,1716948000000,3.0,-10.0,-6.0,true,0.0,0.0,51424.62,false,false,false
1626,2,11,1718352000000,1718352000000,3.0,-10.0,-6.0,true,0.0,0.0,51414.62,false,false,false
1629,1,11,1718902800000,1718910000000,4.0,114.5,-8.0,true,64.952,455.952,51529.12,false,false,false
1658,1,11,1720447200000,1720450800000,4.0,-262.42,-8.0,true,250.43,89.168,51266.7,false,false,false
1692,2,11,1721908800000,1721908800000,3.0,-10.0,-6.0,true,0.0,0.0,51256.7,false,false,false
1701,2,11,1722816000000,1722816000000,3.0,-10.0,-6.0,true,0.0,0.0,51246.7,false,false,false
1719,1,11,1723658400000,1723744800000,4.0,1059.46,-8.0,true,128.0,1071.45,52306.16,false,false,false
1801,2,11,1726063200000,1726063200000,3.0,-10.0,-6.0,true,0.0,0.0,52296.16,false,false,false
1804,1,11,1726164000000,1726239600000,4.0,888.48,-8.0,true,359.096,955.952,53184.64,false,false,false
1895,1,11,1728658800000,1728658800000,4.0,89.04,-8.0,true,36.096,150.88,53273.68,false,false,false
1906,2,11,1729764000000,1729764000000,4.0,-12.0,-8.0,true,0.0,0.0,53261.68,false,false,false
1909,2,11,1729782000000,1729782000000,4.0,-12.0,-8.0,true,0.0,0.0,53249.68,false,false,false
1927,1,11,1730858400000,1730876400000,4.0,1060.7,-8.0,true,41.024,1072.698,54310.38,false,false,false
1953,2,11,1731682800000,1731682800000,4.0,-12.0,-8.0,true,0.0,0.0,54298.38,false,false,false
1959,2,11,1731920400000,1731920400000,4.0,-12.0,-8.0,true,0.0,0.0,54286.38,false,false,false
1965,2,11,1732010400000,1732010400000,4.0,-12.0,-8.0,true,0.0,0.0,54274.38,false,false,false
1971,1,11,1732208400000,1732266000000,4.0,-67.58,-8.0,true,120.096,476.024,54206.8,false,false,false
2045,2,11,1733763600000,1733763600000,4.0,-12.0,-8.0,true,0.0,0.0,54194.8,false,false,false
2048,2,11,1733770800000,1733770800000,4.0,-12.0,-8.0,true,0.0,0.0,54182.8,false,false,false
2054,2,11,1733932800000,1733932800000,4.0,-12.0,-8.0,true,0.0,0.0,54170.8,false,false,false
2060,2,11,1733958000000,1733958000000,4.0,-12.0,-8.0,true,0.0,0.0,54158.8,false,false,false
2063,2,11,1734026400000,1734026400000,4.0,-12.0,-8.0,true,0.0,0.0,54146.8,false,false,false
2066,2,11,1734102000000,1734102000000,4.0,-12.0,-8.0,true,0.0,0.0,54134.8,false,false,false
2069,2,11,1734372000000,1734372000000,4.0,-12.0,-8.0,true,0.0,0.0,54122.8,false,false,false
2078,2,11,1734688800000,1734688800000,4.0,-12.0,-8.0,true,0.0,0.0,54110.8,false,false,false
2105,1,11,1736942400000,1736967600000,4.0,1060.04,-8.0,true,130.096,1072.03,55170.84,false,false,false
2130,1,11,1738008000000,1738080000000,4.0,251.86,-8.0,true,167.144,698.448,55422.7,false,false,false
