ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,exit_index,stop_loss,take_profit
16,2,11,1676026800000,1676026800000,3.0,-10.0,-6.0,true,0.0,0.0,49990.0,false,false,false,33634.996,33634.996,false,true,4.0,0,3,-1,33784.996,33635.0
34,2,11,1677171600000,1677171600000,3.0,-10.0,-6.0,true,0.0,0.0,49980.0,false,false,false,32827.24,32827.24,false,true,4.0,0,3,-1,32977.24,32827.0
61,2,11,1678388400000,1678388400000,3.0,-10.0,-6.0,true,0.0,0.0,49970.0,false,false,false,32536.219,32536.219,false,true,4.0,0,3,-1,32686.219,32536.0
64,2,11,1678699800000,1678699800000,3.0,-10.0,-6.0,true,0.0,0.0,49960.0,false,false,false,31817.0,31817.0,false,true,4.0,0,3,-1,31967.0,31817.0
85,1,11,1680116400000,1680194100000,4.0,68.54,-8.0,true,76.98,517.14,50028.54,false,false,false,32672.729,32713.0,true,false,4.0,21,2,-1,32547.729,33268.0
159,2,11,1682442780000,1682442780000,3.0,-10.0,-6.0,true,0.0,0.0,50018.54,false,false,false,33660.0,33660.0,false,true,4.0,0,3,-1,33810.0,33660.0
162,2,11,1682521200000,1682521200000,3.0,-10.0,-6.0,true,0.0,0.0,50008.54,false,false,false,33424.25,33424.25,false,true,4.0,0,3,-1,33574.25,33424.0
165,2,11,1682532000000,1682532000000,3.0,-10.0,-6.0,true,0.0,0.0,49998.54,false,false,false,33366.797,33366.797,false,true,4.0,0,3,-1,33516.797,33367.0
171,1,11,1682694000000,1682694000000,4.0,-96.52,-8.0,true,100.02,2.48,49902.02,false,false,false,33920.258,33878.0,true,false,4.0,0,16,-1,33795.258,34515.0
197,1,11,1684450800000,1684508400000,4.0,94.4,-8.0,true,113.48,140.996,49996.42,false,false,false,33588.8,33642.0,true,false,4.0,17,16,-1,33463.8,34184.0
250,2,11,1684866300000,1684866300000,3.0,-10.0,-6.0,true,0.0,0.0,49986.42,false,false,false,33009.0,33009.0,false,true,4.0,0,3,-1,33159.0,33009.0
262,2,11,1685034060000,1685034060000,3.0,-10.0,-6.0,true,0.0,0.0,49976.42,false,false,false,32627.0,32627.0,false,true,4.0,0,3,-1,32777.0,32627.0
280,1,11,1685714400000,1685718000000,4.0,292.46,-8.0,true,67.1,315.016,50268.88,false,false,false,33421.77,33574.0,true,false,4.0,2,16,-1,33296.77,34017.0
315,1,11,1687361700000,1687376340000,4.0,-262.0,-8.0,true,250.0,54.994,50006.88,false,false,false,34072.0,33947.0,true,false,4.0,5,2,-1,33947.0,34667.0
334,2,11,1687489200000,1687489200000,3.0,-10.0,-6.0,true,0.0,0.0,49996.88,false,false,false,33833.297,33833.297,false,true,4.0,0,3,-1,33983.297,33833.0
337,2,11,1687523340000,1687523340000,3.0,-10.0,-6.0,true,0.0,0.0,49986.88,false,false,false,33796.0,33796.0,false,true,4.0,0,3,-1,33946.0,33796.0
340,2,11,1687770000000,1687770000000,3.0,-10.0,-6.0,true,0.0,0.0,49976.88,false,false,false,33656.008,33656.008,false,true,4.0,0,3,-1,33806.008,33656.0
343,2,11,1687790280000,1687790280000,3.0,-10.0,-6.0,true,0.0,0.0,49966.88,false,false,false,33656.0,33656.0,false,true,4.0,0,3,-1,33806.0,33656.0
346,1,11,1688122800000,1688137200000,4.0,199.9,-8.0,true,57.096,345.364,50166.78,false,false,false,34225.047,34331.0,true,false,4.0,5,16,-1,34100.047,34820.0
