ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
4,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2
11,1,11,1682712000000,1682712000000,5.0,83.0,-10.0,true,39.8,111.899994,49727.3,false,false,false,13245.799,13255.5,true,false,4.0,0
16,1,11,1682928000000,1682942400000,5.0,-348.0,-10.0,true,409.28003,0.0,49379.3,false,false,false,13259.987,13226.587,true,false,4.0,2
38,1,11,1683734400000,1683748800000,5.0,429.7,-10.0,true,1035.12,791.2,49809.0,false,false,false,13305.879,13350.25,true,false,4.0,2
43,1,11,1683777600000,1683804000000,5.0,-264.7,-10.0,true,250.69,297.80002,49544.3,false,false,false,13371.319,13346.25,true,false,4.0,2
53,1,11,1683864000000,1683894120000,5.0,-262.97,-10.0,true,248.97,113.62,49281.324,false,false,false,13421.397,13396.5,true,false,4.0,3
71,1,11,1684244520000,1684267200000,5.0,-26.5,-10.0,true,318.71,707.59,49254.824,false,false,false,13428.5,13427.25,true,false,4.0,3
84,1,11,1684387020000,1684418760000,5.0,773.5,-10.0,true,176.70999,787.5,50028.324,false,false,false,13587.75,13666.5,true,false,4.0,3
93,1,11,1684425600000,1684440000000,5.0,642.92,-10.0,true,688.5,758.38,50671.25,false,false,false,13771.559,13837.25,true,false,4.0,2
98,1,11,1684468800000,1684483380000,5.0,-264.0,-10.0,true,414.31,8.389999,50407.25,false,false,false,13875.0,13850.0,true,false,4.0,2
117,1,11,1685016180000,1685037600000,5.0,773.5,-10.0,true,829.31,787.5,51180.75,false,false,false,13888.75,13967.5,true,false,4.0,2
124,1,11,1685102400000,1685116800000,5.0,2560.8,-10.0,true,518.10004,2723.1,53741.55,false,false,false,13990.259,14247.739,true,false,4.0,2
131,1,11,1685131200000,1685131200000,5.0,74.8,-10.0,true,39.6,89.399994,53816.35,false,false,false,14294.869,14303.75,true,false,4.0,0
136,1,11,1685340900000,1685352300000,5.0,-264.0,-10.0,true,250.0,153.87,53552.35,false,false,false,14377.0,14352.0,true,false,4.0,2
143,1,11,1685430540000,1685437920000,5.0,773.5,-10.0,true,206.01,787.5,54325.85,false,false,false,14377.0,14455.75,true,false,4.0,2
150,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,53592.55,false,false,false,14491.327,14419.397,true,false,4.0,2
169,1,11,1685696160000,1685709000000,5.0,-264.0,-10.0,true,250.0,380.99,53328.55,false,false,false,14491.0,14466.0,true,false,4.0,2
176,1,11,1685736060000,1685736060000,5.0,-14.0,-10.0,true,0.0,2.89,53314.55,false,false,false,14556.5,14556.5,true,false,4.0,0
181,1,11,1685971860000,1685980800000,5.0,817.5,-10.0,true,68.41,1011.99,54132.05,false,false,false,14556.5,14639.649,true,false,4.0,2
206,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,53868.05,false,false,false,14639.0,14614.0,true,false,4.0,2
213,1,11,1686585600000,1686600000000,5.0,1351.93,-10.0,true,195.58,1382.92,55219.977,false,false,false,14655.657,14792.25,true,false,4.0,2
218,1,11,1686628800000,1686653340000,5.0,-263.78,-10.0,true,249.79001,357.8,54956.2,false,false,false,14850.229,14825.25,true,false,4.0,2
225,1,11,1686659400000,1686680820000,5.0,-264.0,-10.0,true,984.81006,888.49,54692.2,false,false,false,14864.75,14839.75,true,false,4.0,2
232,1,11,1686686400000,1686749460000,5.0,-263.27,-10.0,true,249.27,514.6,54428.926,false,false,false,14900.927,14876.0,true,false,4.0,5
248,1,11,1686859200000,1686874020000,5.0,-264.7,-10.0,true,260.7,67.8,54164.227,false,false,false,15189.319,15164.25,true,false,4.0,2
279,1,11,1688371500000,1688385600000,5.0,-421.6,-10.0,true,424.71002,130.69,53742.625,false,false,false,15216.0,15175.239,true,false,4.0,2
295,1,11,1688751000000,1688756400000,5.0,-616.5,-10.0,true,668.91,0.89,53126.125,false,false,false,15216.0,15155.75,true,false,4.0,1
