ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
1,1,11,1673356500000,1673362020000,4.0,217.62,-8.0,true,185.344,1018.416,50217.62,false,false,false,11041.297,11070.0,true,false,4.0,7,2,11008.75,11177.5,-1
20,1,11,1673459580000,1673530140000,4.0,424.0,-8.0,true,177.288,1035.176,50641.62,false,false,false,11334.0,11388.5,true,false,4.0,72,2,11301.5,11470.25,-1
234,1,11,1673549280000,1673554140000,4.0,-258.0,-8.0,true,246.0,243.272,50383.62,false,false,false,11471.75,11441.0,true,false,4.0,6,2,11441.0,11608.0,-1
265,1,11,1674485100000,1674488820000,4.0,1077.86,-8.0,true,2.0,1089.848,51461.48,false,false,false,11674.269,11810.5,true,false,4.0,5,3,11704.0,11810.5,-1
278,1,11,1674489600000,1674500460000,4.0,521.6,-8.0,true,2.0,896.0,51983.08,false,false,false,11809.049,11875.75,true,false,4.0,13,2,11824.5,11945.25,-1
321,1,11,1674742500000,1674744600000,4.0,-220.32,-8.0,true,208.312,574.08,51762.76,false,false,false,11944.539,11918.5,true,false,4.0,3,2,11918.5,12080.75,-1
328,1,11,1674746160000,1674747540000,4.0,-288.0,-8.0,true,276.0,264.792,51474.76,false,false,false,11957.75,11923.25,true,false,4.0,2,2,11923.25,12094.0,-1
343,1,11,1675292400000,1675336080000,4.0,243.04,-8.0,true,211.2,626.24,51717.8,false,false,false,12475.119,12507.0,true,false,4.0,49,2,12444.0,12611.25,-1
488,1,11,1675351020000,1675360860000,4.0,1078.0,-8.0,true,12.168,1090.0,52795.8,false,false,false,12656.75,12793.0,true,false,4.0,12,3,12637.25,12793.0,-1
520,1,11,1675362600000,1675365000000,4.0,184.9,-8.0,true,5.92,642.48,52980.7,false,false,false,12800.389,12825.0,true,false,4.0,3,2,12784.25,12936.75,-1
