ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
1,1,11,1673356500000,1673361240000,4.0,969.62,-8.0,true,185.344,981.624,50969.62,false,false,false,11041.297,11164.0,true,false,4.0,6
27,1,11,1673459580000,1673530140000,4.0,970.0,-8.0,true,177.288,982.0,51939.62,false,false,false,11334.0,11456.75,true,false,4.0,72
253,1,11,1673549280000,1673554140000,4.0,-258.0,-8.0,true,246.0,243.272,51681.62,false,false,false,11471.75,11441.0,true,false,4.0,6
324,1,11,1674485100000,1674487500000,4.0,969.86,-8.0,true,2.0,981.848,52651.48,false,false,false,11674.269,11797.0,true,false,4.0,3
338,1,11,1674489600000,1674500460000,4.0,521.6,-8.0,true,2.0,896.0,53173.08,false,false,false,11809.049,11875.75,true,false,4.0,13
397,1,11,1674742500000,1674744600000,4.0,-220.32,-8.0,true,208.312,574.08,52952.76,false,false,false,11944.539,11918.5,true,false,4.0,3
408,1,11,1674746160000,1674747480000,4.0,-272.0,-8.0,true,260.0,264.792,52680.76,false,false,false,11957.75,11925.25,true,false,4.0,2
454,1,11,1675292400000,1675336080000,4.0,243.04,-8.0,true,211.2,626.24,52923.8,false,false,false,12475.119,12507.0,true,false,4.0,49
603,1,11,1675351020000,1675355640000,4.0,970.0,-8.0,true,12.168,982.0,53893.8,false,false,false,12656.75,12779.5,true,false,4.0,6
629,1,11,1675358100000,1675365000000,4.0,496.0,-8.0,true,158.968,953.592,54389.8,false,false,false,12761.5,12825.0,true,false,4.0,8
668,2,11,1675795680000,1675795680000,3.0,-10.0,-6.0,true,0.0,0.0,54379.8,false,false,false,12424.5,12424.5,false,true,4.0,0
779,1,11,1676376360000,1676381400000,4.0,-272.0,-8.0,true,260.0,223.112,54107.8,false,false,false,12545.5,12513.0,true,false,4.0,7
814,1,11,1676485200000,1676509920000,4.0,970.0,-8.0,true,61.448,982.0,55077.8,false,false,false,12612.5,12735.25,true,false,4.0,21
878,1,11,1676511120000,1676535000000,4.0,-272.0,-8.0,true,260.0,121.752,54805.8,false,false,false,12732.5,12700.0,true,false,4.0,27
1076,2,11,1678712400000,1678712400000,3.0,-10.0,-6.0,true,0.0,0.0,54795.8,false,false,false,11772.179,11772.179,false,true,4.0,0
1085,1,11,1678803300000,1678813980000,4.0,-7.04,-8.0,true,202.0,604.72,54788.76,false,false,false,12143.129,12143.75,true,false,4.0,12
1138,1,11,1678985160000,1679052900000,4.0,420.0,-8.0,true,105.048,911.992,55208.76,false,false,false,12514.5,12568.5,true,false,4.0,69
1348,1,11,1679404500000,1679408100000,4.0,-140.0,-8.0,true,138.888,453.192,55068.76,false,false,false,12651.75,12635.75,true,false,4.0,5
1381,1,11,1679499900000,1679501460000,4.0,-272.0,-8.0,true,260.0,83.112,54796.76,false,false,false,12800.5,12768.0,true,false,4.0,2
1457,1,11,1680178200000,1680185400000,4.0,60.0,-8.0,true,132.408,445.592,54856.76,false,false,false,12916.0,12925.0,true,false,4.0,9
1486,1,11,1680188340000,1680193140000,4.0,-272.0,-8.0,true,260.0,155.352,54584.76,false,false,false,12970.5,12938.0,true,false,4.0,6
1653,1,11,1681409160000,1681423200000,4.0,-171.68,-8.0,true,159.688,225.512,54413.08,false,false,false,13095.5,13075.539,true,false,4.0,10
1694,1,11,1681810200000,1681824780000,4.0,31.54,-8.0,true,24.8,312.72,54444.62,false,false,false,13158.809,13164.25,true,false,4.0,17
1771,1,11,1682609400000,1682625660000,4.0,969.36,-8.0,true,86.48,981.368,55413.98,false,false,false,13059.079,13181.75,true,false,4.0,19
1837,2,11,1683038700000,1683038700000,3.0,-10.0,-6.0,true,0.0,0.0,55403.98,false,false,false,13099.75,13099.75,false,true,4.0,0
1852,1,11,1683570780000,1683583200000,4.0,-149.04,-8.0,true,137.048,179.752,55254.94,false,false,false,13281.75,13264.619,true,false,4.0,8
1884,1,11,1683727320000,1683728280000,4.0,-92.0,-8.0,true,80.0,250.696,55162.94,false,false,false,13340.25,13330.25,true,false,4.0,2
1916,1,11,1684249200000,1684251360000,4.0,-85.1,-8.0,true,75.68,170.0,55077.84,false,false,false,13464.639,13455.5,true,false,4.0,3
1927,1,11,1684252320000,1684260420000,4.0,-166.0,-8.0,true,154.0,122.072,54911.84,false,false,false,13484.0,13464.75,true,false,4.0,10
1962,1,11,1684340940000,1684348440000,4.0,646.0,-8.0,true,28.968,901.992,55557.84,false,false,false,13496.25,13578.5,true,false,4.0,9
2017,1,11,1684422900000,1684426020000,4.0,-89.52,-8.0,true,77.512,343.76,55468.32,false,false,false,13759.439,13749.75,true,false,4.0,4
2043,1,11,1684430700000,1684431000000,4.0,-272.0,-8.0,true,260.328,71.256,55196.32,false,false,false,13776.75,13744.25,true,false,4.0,2
2110,1,11,1685032200000,1685039640000,4.0,-253.82,-8.0,true,241.816,290.496,54942.5,false,false,false,13954.977,13924.75,true,false,4.0,9
2136,1,11,1685106720000,1685110500000,4.0,970.0,-8.0,true,153.048,982.0,55912.5,false,false,false,13993.75,14116.5,true,false,4.0,6
2154,1,11,1685113200000,1685113200000,4.0,62.26,-8.0,true,4.56,86.16,55974.76,false,false,false,14216.469,14225.75,true,false,4.0,0
2159,1,11,1685437380000,1685449860000,4.0,374.0,-8.0,true,25.288,715.176,56348.76,false,false,false,14440.5,14488.75,true,false,4.0,15
2212,1,11,1685454000000,1685454300000,4.0,-296.66,-8.0,true,404.264,14.552,56052.1,false,false,false,14518.5,14482.917,true,false,4.0,2
2291,1,11,1685718120000,1685718120000,4.0,-44.0,-8.0,true,32.0,0.0,56008.1,false,false,false,14572.0,14568.0,true,false,4.0,0
2296,1,11,1685977200000,1685986080000,4.0,-95.42,-8.0,true,167.984,237.12,55912.68,false,false,false,14634.927,14624.5,true,false,4.0,10
2396,1,11,1686319200000,1686321600000,4.0,-138.0,-8.0,true,126.0,271.352,55774.68,false,false,false,14638.75,14623.0,true,false,4.0,3
2419,1,11,1686589200000,1686598860000,4.0,969.6,-8.0,true,38.08,981.608,56744.28,false,false,false,14658.549,14781.25,true,false,4.0,11
2452,1,11,1686599100000,1686649260000,4.0,640.8,-8.0,true,32.88,950.88,57385.08,false,false,false,14767.149,14848.75,true,false,4.0,49
2637,1,11,1686843900000,1686846960000,4.0,-272.46,-8.0,true,260.472,74.72,57112.62,false,false,false,15122.309,15089.75,true,false,4.0,4
2657,1,11,1686856500000,1686858180000,4.0,-272.0,-8.0,true,275.848,67.192,56840.62,false,false,false,15240.5,15208.0,true,false,4.0,2
2721,2,11,1687797900000,1687797900000,3.0,-10.0,-6.0,true,0.0,0.0,56830.62,false,false,false,14720.279,14720.279,false,true,4.0,0
2784,1,11,1687967100000,1687969620000,4.0,-137.34,-8.0,true,191.44,267.376,56693.28,false,false,false,15019.667,15004.0,true,false,4.0,3
2815,1,11,1688133600000,1688137200000,4.0,83.86,-8.0,true,51.36,466.72,56777.14,false,false,false,15158.019,15170.0,true,false,4.0,5
2889,1,11,1689170400000,1689173700000,4.0,-25.92,-8.0,true,77.36,351.28,56751.22,false,false,false,15320.989,15319.25,true,false,4.0,4
2924,1,11,1689260400000,1689277260000,4.0,969.22,-8.0,true,212.8,981.208,57720.44,false,false,false,15472.849,15595.5,true,false,4.0,19
3023,1,11,1689618240000,1689623940000,4.0,10.0,-8.0,true,165.128,392.312,57730.44,false,false,false,15699.25,15702.0,true,false,4.0,7
3055,1,11,1689700500000,1689710100000,4.0,384.26,-8.0,true,134.56,738.48,58114.7,false,false,false,15805.469,15855.0,true,false,4.0,11
3104,1,11,1689782580000,1689783360000,4.0,-272.0,-8.0,true,260.0,161.672,57842.7,false,false,false,15913.0,15880.5,true,false,4.0,2
3114,2,11,1689863400000,1689863400000,4.0,-12.0,-8.0,true,0.0,0.0,57830.7,false,false,false,15628.75,15628.75,false,true,4.0,0
3168,1,11,1690304400000,1690311480000,4.0,9.36,-8.0,true,108.88,319.04,57840.06,false,false,false,15585.829,15588.5,true,false,4.0,8
3199,1,11,1690451280000,1690466160000,4.0,438.0,-8.0,true,95.288,818.072,58278.06,false,false,false,15693.25,15749.5,true,false,4.0,17
3350,1,11,1692644580000,1692655980000,4.0,-272.0,-8.0,true,260.0,151.592,58006.06,false,false,false,14941.5,14909.0,true,false,4.0,6
3389,1,11,1692803700000,1692814800000,4.0,32.5,-8.0,true,165.744,420.176,58038.56,false,false,false,15136.687,15142.25,true,false,4.0,13
3440,1,11,1692832500000,1692869460000,4.0,210.8,-8.0,true,88.64,701.6,58249.36,false,false,false,15276.399,15304.25,true,false,4.0,42
3607,1,11,1693322100000,1693361160000,4.0,968.32,-8.0,true,70.88,980.328,59217.68,false,false,false,15296.459,15419.0,true,false,4.0,37
3785,1,11,1694460000000,1694472480000,5.0,-249.0,-10.0,true,235.0,190.99,58968.68,false,false,false,15464.0,15440.5,true,false,4.0,8
3844,1,11,1694708100000,1694715060000,5.0,-196.5,-10.0,true,298.81,253.06999,58772.18,false,false,false,15485.0,15466.75,true,false,4.0,8
3877,1,11,1694718300000,1694719920000,5.0,-339.0,-10.0,true,325.0,83.990005,58433.18,false,false,false,15506.5,15474.0,true,false,4.0,3
3901,2,11,1695238200000,1695238200000,4.0,-12.0,-8.0,true,0.0,0.0,58421.18,false,false,false,15067.879,15067.879,false,true,4.0,0
3904,2,11,1695247200000,1695247200000,4.0,-12.0,-8.0,true,0.0,0.0,58409.18,false,false,false,14966.319,14966.319,false,true,4.0,0
3952,1,11,1695996000000,1695997380000,4.0,-272.4,-8.0,true,260.392,222.72,58136.78,false,false,false,14878.049,14845.5,true,false,4.0,2
3968,2,11,1696344360000,1696344360000,4.0,-12.0,-8.0,true,0.0,0.0,58124.78,false,false,false,14628.5,14628.5,false,true,4.0,0
4022,1,11,1696873380000,1696918680000,4.0,272.0,-8.0,true,0.0,681.992,58396.78,false,false,false,15011.75,15047.25,true,false,4.0,45
4158,1,11,1696951800000,1696957440000,4.0,-190.88,-8.0,true,178.872,245.44,58205.9,false,false,false,15212.109,15189.75,true,false,4.0,7
4214,1,11,1697065200000,1697113800000,4.0,4.0,-8.0,true,22.888,340.872,58209.9,false,false,false,15273.5,15275.5,true,false,4.0,55
4462,1,11,1698849900000,1698851520000,4.0,-272.72,-8.0,true,260.712,49.6,57937.18,false,false,false,14562.339,14529.75,true,false,4.0,2
4493,1,11,1698876900000,1698926880000,4.0,969.6,-8.0,true,76.24,981.608,58906.78,false,false,false,14692.049,14814.75,true,false,4.0,56
4663,1,11,1698936060000,1698962400000,5.0,-80.12,-10.0,true,235.81,621.39,58826.656,false,false,false,14867.75,14861.139,true,false,4.0,24
4736,1,11,1699020000000,1699020900000,5.0,-338.08,-10.0,true,370.48,347.12003,58488.58,false,false,false,15048.657,15016.25,true,false,4.0,2
4752,1,11,1699369200000,1699375620000,4.0,463.22,-8.0,true,200.064,829.936,58951.8,false,false,false,15223.347,15282.75,true,false,4.0,8
4789,1,11,1699380660000,1699387620000,5.0,-239.0,-10.0,true,225.0,203.39001,58712.8,false,false,false,15316.25,15293.75,true,false,4.0,9
4825,1,11,1699546500000,1699549980000,5.0,-119.0,-10.0,true,196.21,304.09,58593.8,false,false,false,15354.5,15344.0,true,false,4.0,4
4858,1,11,1699974000000,1699979520000,5.0,-29.97,-10.0,true,139.79999,395.7,58563.824,false,false,false,15798.849,15797.25,true,false,4.0,7
4899,1,11,1700055000000,1700055900000,5.0,-501.77,-10.0,true,548.18,508.62,58062.05,false,false,false,15924.837,15876.059,true,false,4.0,2
4921,1,11,1700496000000,1700513520000,4.0,647.44,-8.0,true,5.92,933.92,58709.49,false,false,false,15942.069,16024.5,true,false,4.0,20
5022,1,11,1700663460000,1700664600000,5.0,26.0,-10.0,true,0.0,628.08997,58735.49,false,false,false,16058.5,16062.5,true,false,4.0,2
5072,1,11,1701255240000,1701270240000,5.0,438.5,-10.0,true,104.81,858.89,59173.99,false,false,false,16082.0,16127.25,true,false,4.0,18
5136,2,11,1701356520000,1701356520000,4.0,-12.0,-8.0,true,0.0,0.0,59161.99,false,false,false,15912.0,15912.0,false,true,4.0,0
5145,2,11,1701704700000,1701704700000,4.0,-12.0,-8.0,true,0.0,0.0,59149.99,false,false,false,15718.179,15718.179,false,true,4.0,0
