ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
1,1,11,1673356500000,1673362020000,4.0,217.62,-8.0,true,185.344,1018.416,50217.62,false,false,false,11041.297,11070.0,true,false,4.0,7,2,11008.797,11191.25,-1
30,1,11,1673459580000,1673530140000,4.0,424.0,-8.0,true,177.288,1035.176,50641.62,false,false,false,11334.0,11388.5,true,false,4.0,72,2,11301.5,11484.0,-1
256,1,11,1673549280000,1673554140000,4.0,-258.0,-8.0,true,246.0,243.272,50383.62,false,false,false,11471.75,11441.0,true,false,4.0,6,2,11439.25,11621.75,-1
327,1,11,1674485100000,1674489780000,4.0,1187.86,-8.0,true,2.0,1199.848,51571.48,false,false,false,11674.269,11824.25,true,false,4.0,6,3,11641.769,11824.25,-1
347,1,11,1674490500000,1674500460000,4.0,89.28,-8.0,true,157.68,463.68,51660.76,false,false,false,11863.089,11875.75,true,false,4.0,12,2,11830.589,12013.0,-1
402,1,11,1674742500000,1674744600000,4.0,-220.32,-8.0,true,208.312,574.08,51440.44,false,false,false,11944.539,11918.5,true,false,4.0,3,2,11912.039,12094.5,-1
413,1,11,1674746160000,1674747480000,4.0,-272.0,-8.0,true,260.0,264.792,51168.44,false,false,false,11957.75,11925.25,true,false,4.0,2,2,11925.25,12107.75,-1
459,1,11,1675292400000,1675336080000,4.0,243.04,-8.0,true,211.2,626.24,51411.48,false,false,false,12475.119,12507.0,true,false,4.0,49,2,12442.619,12625.0,-1
608,1,11,1675351020000,1675362660000,4.0,1188.0,-8.0,true,12.168,1200.0,52599.48,false,false,false,12656.75,12806.75,true,false,4.0,14,3,12624.25,12806.75,-1
652,1,11,1675363500000,1675365000000,4.0,-74.22,-8.0,true,62.216,383.376,52525.26,false,false,false,12832.777,12825.0,true,false,4.0,2,2,12800.277,12982.75,-1
675,2,11,1675795680000,1675795680000,3.0,-10.0,-6.0,true,0.0,0.0,52515.26,false,false,false,12424.5,12424.5,false,true,4.0,0,3,12465.75,12424.5,-1
786,1,11,1676376360000,1676381400000,4.0,-272.0,-8.0,true,260.0,223.112,52243.26,false,false,false,12545.5,12513.0,true,false,4.0,7,2,12513.0,12695.5,-1
821,1,11,1676485200000,1676538000000,4.0,646.0,-8.0,true,61.448,1081.752,52889.26,false,false,false,12612.5,12694.75,true,false,4.0,53,2,12580.0,12762.5,-1
