ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
7,1,11,1672858800000,1672859100000,3.0,-382.92,-6.0,true,591.06604,140.32199,49617.086,false,false,false,10955.25,10893.097,true,false,4.0,2,2,10912.75,11059.0,-1
258,1,11,1672922040000,1672923900000,3.0,-260.5,-6.0,true,250.5,28.962002,49356.586,false,false,false,10955.25,10913.5,true,false,4.0,7,2,10912.75,11059.0,-1
725,1,11,1673011800000,1673012100000,3.0,-327.28,-6.0,true,521.166,256.674,49029.305,false,false,false,10827.5,10774.619,true,false,4.0,2,2,10785.0,10931.25,-1
1002,1,11,1673278320000,1673289360000,3.0,-31.0,-6.0,true,21.0,373.542,48998.305,false,false,false,11244.75,11241.25,true,false,4.0,38,2,11202.25,11348.5,-1
1518,1,11,1673377200000,1673448480000,3.0,612.5,-6.0,true,204.966,622.5,49610.805,false,false,false,11177.75,11281.5,true,false,4.0,217,3,11135.25,11281.5,-1
2181,1,11,1673460120000,1673508900000,3.0,203.0,-6.0,true,144.966,455.982,49813.805,false,false,false,11336.0,11371.5,true,false,4.0,143,2,11293.5,11439.75,-1
2662,1,11,1673530560000,1673530800000,3.0,-455.8,-6.0,true,562.62604,4.854,49358.004,false,false,false,11435.0,11360.699,true,false,4.0,2,2,11392.5,11538.75,-1
2672,1,11,1673531580000,1673532600000,3.0,29.0,-6.0,true,52.266003,384.174,49387.004,false,false,false,11435.0,11441.5,true,false,4.0,5,2,11392.5,11538.75,-1
2722,1,11,1673549640000,1673553120000,3.0,-265.0,-6.0,true,255.0,54.954002,49122.004,false,false,false,11493.0,11450.5,true,false,4.0,12,2,11450.5,11596.75,-1
3673,1,11,1673966700000,1673969760000,3.0,195.5,-6.0,true,88.506004,526.734,49317.504,false,false,false,11529.5,11563.75,true,false,4.0,11,2,11487.0,11633.25,-1
3855,1,11,1674009840000,1674010320000,3.0,-265.0,-6.0,true,255.0,85.974,49052.504,false,false,false,11608.75,11566.25,true,false,4.0,2,2,11566.25,11712.5,-1
4043,1,11,1674047700000,1674055140000,3.0,114.5,-6.0,true,193.746,536.39404,49167.004,false,false,false,11602.0,11622.75,true,false,4.0,25,2,11559.5,11705.75,-1
4849,1,11,1674220800000,1674225060000,3.0,-265.0,-6.0,true,255.0,0.654,48902.004,false,false,false,11379.5,11337.0,true,false,4.0,15,2,11337.0,11483.25,-1
4885,1,11,1674225780000,1674226800000,3.0,-71.5,-6.0,true,152.766,183.474,48830.504,false,false,false,11379.5,11369.25,true,false,4.0,5,16,11337.0,11483.25,-1
5070,1,11,1674461100000,1674462600000,3.0,-157.0,-6.0,true,147.0,77.993996,48673.504,false,false,false,11629.0,11604.5,true,false,4.0,6,2,11586.5,11732.75,-1
5204,1,11,1674484500000,1674485700000,3.0,612.5,-6.0,true,167.166,622.5,49286.004,false,false,false,11653.75,11757.5,true,false,4.0,5,3,11611.25,11757.5,-1
6044,2,11,1674646920000,1674658560000,2.0,457.0,-4.0,true,43.356,465.0,49743.004,false,false,false,11695.5,11579.25,false,true,4.0,40,3,11765.75,11579.25,-1
6215,1,11,1674680880000,1674681060000,3.0,-265.0,-6.0,true,255.0,127.614,49478.004,false,false,false,11835.75,11793.25,true,false,4.0,2,2,11793.25,11939.5,-1
6273,1,11,1674709920000,1674739800000,3.0,171.5,-6.0,true,41.826,498.174,49649.504,false,false,false,11858.75,11889.0,true,false,4.0,101,2,11816.25,11962.5,-1
6570,1,11,1674740280000,1674744240000,3.0,74.0,-6.0,true,71.046,502.794,49723.504,false,false,false,11932.5,11946.5,true,false,4.0,14,2,11890.0,12036.25,-1
6688,1,11,1674763140000,1674776520000,3.0,-127.0,-6.0,true,117.0,347.33398,49596.504,false,false,false,11999.0,11979.5,true,false,4.0,24,2,11956.5,12102.75,-1
7752,1,11,1675176060000,1675177200000,3.0,-263.5,-6.0,true,253.5,156.474,49333.004,false,false,false,11975.0,11932.75,true,false,4.0,5,2,11932.5,12078.75,-1
7774,1,11,1675178160000,1675198680000,3.0,612.5,-6.0,true,113.106,622.5,49945.504,false,false,false,11987.25,12091.0,true,false,4.0,69,3,11944.75,12091.0,-1
8322,1,11,1675278420000,1675279800000,3.0,-220.0,-6.0,true,210.0,236.39398,49725.504,false,false,false,12112.5,12077.5,true,false,4.0,6,2,12070.0,12216.25,-1
