ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
7,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2,2,13128.75,13232.5,-1
14,1,11,1682909220000,1682928000000,5.0,91.0,-10.0,true,40.41,395.49,49735.3,false,false,false,13249.25,13259.75,true,false,4.0,3,19,13224.25,13328.0,-1
49,1,11,1683734400000,1683763200000,5.0,527.2,-10.0,true,1035.12,791.2,50262.5,false,false,false,13305.879,13360.0,true,false,4.0,3,19,13280.879,13384.75,-1
57,1,11,1683777600000,1683803700000,5.0,-187.2,-10.0,true,173.19,297.80002,50075.3,false,false,false,13371.319,13354.0,true,false,4.0,2,2,13346.319,13450.0,-1
68,1,11,1683849600000,1683878400000,5.0,105.82,-10.0,true,17.4,387.8,50181.125,false,false,false,13394.269,13406.25,true,false,4.0,3,19,13369.269,13473.0,-1
76,1,11,1683898320000,1683903600000,5.0,-819.0,-10.0,true,973.61,60.97,49362.125,false,false,false,13421.25,13340.75,true,false,4.0,1,16,13396.25,13500.0,-1
96,1,11,1684244520000,1684260420000,5.0,351.0,-10.0,true,318.71,707.59,49713.125,false,false,false,13428.5,13465.0,true,false,4.0,2,2,13403.5,13507.25,-1
116,1,11,1684387020000,1684418400000,5.0,696.0,-10.0,true,176.70999,710.0,50409.125,false,false,false,13587.75,13658.75,true,false,4.0,3,19,13562.75,13666.5,-1
124,1,11,1684425600000,1684447200000,5.0,772.92,-10.0,true,688.5,786.91003,51182.05,false,false,false,13771.559,13850.25,true,false,4.0,2,3,13746.559,13850.25,-1
132,1,11,1684454400000,1684476120000,5.0,-263.6,-10.0,true,249.59,125.9,50918.45,false,false,false,13875.209,13850.25,true,false,4.0,2,2,13850.209,13954.0,-1
145,1,11,1684800000000,1684825020000,5.0,-263.37,-10.0,true,249.37,338.62,50655.074,false,false,false,13888.937,13864.0,true,false,4.0,2,2,13863.937,13967.75,-1
158,1,11,1685016180000,1685037600000,5.0,773.5,-10.0,true,829.31,787.5,51428.574,false,false,false,13888.75,13967.5,true,false,4.0,2,3,13863.75,13967.5,-1
169,1,11,1685102400000,1685113200000,5.0,2340.9,-10.0,true,518.10004,2403.48,53769.477,false,false,false,13990.259,14225.75,true,false,4.0,1,16,13965.259,14069.0,-1
174,1,11,1685116800000,1685132040000,5.0,773.6,-10.0,true,72.0,818.1,54543.074,false,false,false,14247.989,14326.75,true,false,4.0,2,3,14222.989,14326.75,-1
182,1,11,1685318400000,1685332920000,5.0,-264.48,-10.0,true,304.78,283.5,54278.6,false,false,false,14377.547,14352.5,true,false,4.0,2,2,14352.547,14456.25,-1
192,1,11,1685430540000,1685437920000,5.0,773.5,-10.0,true,206.01,787.5,55052.1,false,false,false,14377.0,14455.75,true,false,4.0,2,3,14352.0,14455.75,-1
200,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,54318.8,false,false,false,14491.327,14419.397,true,false,4.0,2,2,14466.327,14570.0,-1
225,1,11,1685696160000,1685709000000,5.0,-9.0,-10.0,true,11.91,380.99,54309.8,false,false,false,14491.0,14491.5,true,false,4.0,2,2,14466.0,14569.75,-1
233,1,11,1685971860000,1685980800000,5.0,817.5,-10.0,true,68.41,1011.99,55127.3,false,false,false,14556.5,14639.649,true,false,4.0,2,3,14531.5,14635.25,-1
262,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,54863.3,false,false,false,14639.0,14614.0,true,false,4.0,2,2,14614.0,14717.75,-1
269,1,11,1686585600000,1686600000000,5.0,1350.92,-10.0,true,195.58,1382.92,56214.227,false,false,false,14655.657,14792.149,true,false,4.0,2,3,14630.657,14734.5,-1
277,1,11,1686614400000,1686642300000,5.0,773.5,-10.0,true,88.2,787.51,56987.727,false,false,false,14806.249,14885.0,true,false,4.0,2,3,14781.249,14885.0,-1
285,1,11,1686643200000,1686657600000,5.0,-513.6,-10.0,true,580.2,181.29999,56474.125,false,false,false,14865.169,14815.209,true,false,4.0,2,2,14840.169,14944.0,-1
292,1,11,1686686400000,1686715200000,5.0,-23.27,-10.0,true,91.18,186.72,56450.85,false,false,false,14900.927,14900.0,true,false,4.0,3,19,14875.927,14979.75,-1
300,1,11,1686745800000,1686758700000,5.0,118.5,-10.0,true,847.41,798.89,56569.35,false,false,false,14940.5,14953.75,true,false,4.0,2,2,14915.5,15019.25,-1
